{'descr': '还行，在火车站旁，方便', 'star': 5}
{'descr': '房间很小，有些冷，离火车站很近交通方便，房间有点暗，充电的插头位置都不是很好。性价比不高，周边吃饭的很多。', 'star': 3}
{'descr': '酒店真的不错', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '位置好，交通方便，房间很大，干净卫生，推荐大家入住', 'star': 5}
{'descr': '交通便利性价比高', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '隔音效果一般，环境还可以吧，离火车站近', 'star': 4}
{'descr': '出差住的，房间很一般，就是交通方便', 'star': 4}
{'descr': '携程上写的有优惠，到了店家给我说这是网站上的，与他们无关', 'star': 4}
{'descr': '被携程给骗了，还自营呢，上面介绍的图片，跟真实情况一点也不符合，该有的没有，脏，看看空调、被单，都是烂的，说好的电脑还没有，说好的水没有，卫生间风扇声音开开，你就不用睡了，给100个差评，希望别人看见的千万不要来，对不起这138，差点忘了卫生间往客房漏水，地板都是湿的也坏了', 'star': 2}
{'descr': '不错不错不错 不错不错不错 不错不错不错', 'star': 5}
{'descr': '还不错吧', 'star': 5}
{'descr': '环境还行，就是房间居然只有一个插座，让人郁闷的很', 'star': 3}
{'descr': '第二次来了，地理位置方便，这次住的是无窗的房间，晚上楼上冲水的声音有点吵。', 'star': 3}
{'descr': '一直就住这里，性价比不错。', 'star': 3}
{'descr': '四平华宇商务酒店，环境卫生都挺好的。下次还去。', 'star': 5}
{'descr': '有早餐，地理位置好，干净', 'star': 5}
{'descr': '离车站很近，水压太小。', 'star': 4}
{'descr': '房间内的味道比较大，中央空调噪音非常大，开了之后睡不着觉。。\n\n房内很暗，只在床头和桌子上面有4个黄色的射灯，开了也就是局部有点亮光，想看书是不可能了。\n\n窗户很小，而且几乎没有什么阳光能照进来。楼下是火车站的站前广场，很吵。\n\n床单、枕头上面到处是暗黄色的污渍，恶心！\n\n退房的时候电梯还坏了，悲剧！\n\n唯一的亮点是早点，虽然很简单，但都是做早点的阿姨当天早晨新做的，几个小菜、豆包、花卷，味道挺家', 'star': 1}
{'descr': '酒店距离火车站很近，交通便利，附近就有步行街，吃饭购物很方便，房间干净卫生，挺不错的，下次去还住那', 'star': 5}
{'descr': '优点就是离火车站近。缺点太多。网线太短，没法接自己的电脑，房间带的电脑网速慢。不方便。', 'star': 1}
{'descr': '地理位置不错，床单不好，卫生间也不好，甚至房间有卫生间的味道，因此空气不是特别好。', 'star': 5}
{'descr': '地里位置很好   有停车场  洗手间太小', 'star': 3}
{'descr': '说是可以刷卡。又不能刷。上当两次了。再也不住了。', 'star': 3}
{'descr': '总体来说还不错，不推荐普通标准间和大床房。商务的还不错，价格没差多少。停车吃饭都还方便。', 'star': 5}
{'descr': '房间不错。房间配有电脑。床不是很舒服。其他都行。', 'star': 3}
{'descr': '没热水，服务员不事先告知，315房间正对着火车站', 'star': 3}
{'descr': '就在火车站对面，位置很方便。有电脑。网速很快，一晚上下载6、7部电影。', 'star': 5}
{'descr': '休闲房就是带麻将桌的大房间，可想而知之前的积累里面肯定有烟味的，这个是我自己失误了，因为本人不抽烟所以很敏感。但是价格还是比较厚道。早餐在这种地方能吃到热粥和花卷也不奢求什么了。', 'star': 5}
{'descr': '还不错，离车站很近，出广场就是。要住有阳光的房间，还是很舒服的。', 'star': 5}
{'descr': '服务人员很热情 态度很友好 酒店坏境也很好 很干净 下次还会在选择入住的', 'star': 5}
{'descr': '离火车站很近，但是没觉得很吵，距离步行街很近，方便，房间也较大', 'star': 5}
{'descr': '不错，就在火车站对面，挺方便，我是冬天去的，有的房间冷', 'star': 5}
{'descr': '涨价了 20元     ..........', 'star': 5}
{'descr': '屡次到四平都住在这里。火车站前面，地理位置不错。房间里设施还可以，就是没有泡茶的茶几沙发，另外网线有问题叫几遍服务员有回应没有实际动作，刚开始说过来看看，结果两个小时朋友走了之后再打电话过去回复说一直这样没办法，晕。楼下旁边有个新开的粥铺，很合胃口。', 'star': 5}
{'descr': '酒店正对四平火车站，交通便利性周边生活机能非常好，但有利必有弊，热闹的地方当然会比较吵，我个人刚好比较不怕吵，所以蛮喜欢的，价格也合理，房间清洁度服务人员态度也都很好，若你怕吵可能需要考虑或是要求比较静的房间（我那间窗是面对火车站所以可能相对较吵点），不然我相信此酒店不会让你失望的。', 'star': 5}
{'descr': '符合快捷酒店的标准。不比如家、汉庭差。地理位置好。', 'star': 5}
{'descr': '＋酒店不错，出了车站就看见了，干净，还有电脑。比以前住的同价位的要好。', 'star': 3}
{'descr': '很不错 尤其是前台的两个小姑娘 很帮忙很热情 下次还会去', 'star': 5}
{'descr': '我住得商务房总体感觉还可以，但是不足之处就是马桶堵塞排不了水，而且一直有一股臭味涌出来，早餐较为简单，就是馒头和三两碟凉菜，不适合南方人的口味。', 'star': 5}
{'descr': '酒店很干净，很好，138元的房间很大，经济实惠', 'star': 3}
{'descr': '不错，还有麻将机，离火车站好近，旁边就是步行街、、、', 'star': 5}
{'descr': '房间不错，装修也很好。就是临街的房间有些吵，洗澡水流太小', 'star': 5}
{'descr': ' 给免费升级了商务大床，很不错，就是热水水流太小了，当时不能刷卡，说银联升级？？？', 'star': 3}
{'descr': '很好不错哦   推荐 下次还回来      怎么让 我 写这么 多 字呢 \n', 'star': 5}
{'descr': '都没热水 水压太小  下次来四平不会住这家酒店了', 'star': 1}
{'descr': '房间很干净，紧临火车站早上有点儿吵。刷卡结帐也不方便。', 'star': 3}
{'descr': '地理位置极佳，酒店环境也很好，只是早餐稍稍差点', 'star': 5}
