{'descr': '不错的酒店', 'star': 5}
{'descr': '还是很不错的～', 'star': 5}
{'descr': '位置很方便 离地铁站很近  ', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '地點超優~捷運旁~去復旦超近~地點超優~捷運旁~去復旦超近~地點超優~捷運旁~去復旦超近~不吵鬧~', 'star': 5}
{'descr': '一家没落的好酒店', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '不错，离地铁近，离复旦大学近，也还安静', 'star': 4}
{'descr': '好。性价比高。卫生 安静 服务好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好好好好好好', 'star': 5}
{'descr': '还不错，挺好的，还不错，挺好的', 'star': 4}
{'descr': '环境还不错地理位置好漏风不错', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '前台服务特别是穿深色制服的收银员态度非常糟糕... 设施是纸杯，卫生是有些发黄的被褥', 'star': 2}
{'descr': '酒店环境很好，离地铁站很近', 'star': 5}
{'descr': '还不错！比较干净！', 'star': 5}
{'descr': '还算干净。大概有20个停车位。', 'star': 4}
{'descr': '连锁酒店普遍性。。空调声音大，隔音差。。价位来说并不便宜', 'star': 1}
{'descr': '交通便利，周边配套设施设备齐全，距离城皇庙很E', 'star': 5}
{'descr': '房间不错。很温馨。干净。下次一定还住。不过房价稍高。', 'star': 3}
{'descr': '离10号线很近，，，，  \n也很干净~  都很好。', 'star': 5}
{'descr': '房间有点小', 'star': 3}
{'descr': '去复旦上课，订了这家锦江之星，酒店距离复旦邯郸路校区步行约15分钟，不算很远。酒店附近有10号线地铁口，非常方便就可以到五角场或者其他地方去。酒店前台的服务态度很好，酒店处于比较安静的地理位置，房间的隔音和配套设施也很不错。唯一的缺陷是每天晚上总有人过来塞黄色小卡片，不过没关系，无视它们就行了。', 'star': 5}
{'descr': '很好，每次来附近出差都住这里，离地铁很近很方便', 'star': 5}
{'descr': '很干净，也很安静。酒店服务态度好，但是晚上有小卡片。很美好的回忆啊。', 'star': 5}
{'descr': '比较干净，离10号地铁近，出行方便，走一点路后能吃到不错的东东。', 'star': 5}
{'descr': '整体不错，但是一个晚上有八张哪种小卡片，不是很舒服。尤其是小孩子住的时候', 'star': 5}
{'descr': '酒店很好 但是晚上一直有小卡片 早上比较吵 新换的床单和毛巾都会有长头发 很不舒服 而且是常态 不知道为什么？ 服务员态度很好 是一家管理的比较好的连锁酒店', 'star': 5}
{'descr': '早餐相当丰盛，服务不错。应该还会选择入住的。', 'star': 5}
{'descr': '一如既往，这次来出差又住这里了，不错，就是网速差点', 'star': 5}
{'descr': '一如既往地支持锦江，这家太方便了，地铁站出口，这两天去还住这里', 'star': 5}
{'descr': '作为经济型酒店，在那个地方算是不错的了。', 'star': 5}
{'descr': '能看出以前的奢华，也是才翻修完毕，对得起这个价格，停车场很大，周围餐饮娱乐都挺方便。', 'star': 3}
{'descr': '服务不错,卫生也不错,住了很多次这个酒店,总体还是挺满意的~!', 'star': 5}
{'descr': '很喜欢这家店的装修风格，服务人员都挺有礼貌的，房间非常干净整洁，床也很舒服，交通方便，出门就是地铁。第一次入住感觉不错，下次还会选择入住！', 'star': 5}
{'descr': '锦江之星品牌有下滑趋势，性价比比两年前要差，房间清洁度、设施维护退步。', 'star': 5}
{'descr': '这家酒店离地铁10号线和五角场很近，交通很方便。', 'star': 5}
{'descr': '：单间房太小', 'star': 3}
{'descr': '住宿比较舒服,也比较干净.但大床房房间明显比标间要小.', 'star': 5}
{'descr': '看起来酒店需要重新作装修了.屋子里异味太大.', 'star': 1}
{'descr': '不错，还可以。安静，房间袖珍。布置可以。', 'star': 5}
{'descr': '已经入住，营口这个城市不错，酒店一般，设施很旧，但是这个价格也差不多只能这样了。', 'star': 3}
{'descr': '很不错的酒店。服务好，环境不错。这次来正好赶上酒店桑拿会馆装修完毕，环境比以前好多了。温泉水不错。酒店的床很舒服。早餐丰富。推荐', 'star': 5}
{'descr': '很好, 很舒服, 特别是早餐自助, 真的特别好.', 'star': 5}
{'descr': '服务态度很好!', 'star': 3}
{'descr': '卫生很干净，位置非常好，与地铁站一路之隔，前台服务态度好', 'star': 5}
{'descr': '位置比较好!很方便,一样的不错!去上海在那个位置选择不会错', 'star': 5}
{'descr': '这家酒店不错，服务特别好。办理住房和退房手续特别快。房间的床特别舒服。整个酒店的环境很大气。酒店有温泉洗浴中心，而且房间内也有温泉水洗浴。早餐品种很多，口味不错。酒店还有个大型体育馆和游泳馆，晚餐是在酒店的皇城老妈吃的，我在沈阳经常吃，这里的皇城老妈味道很地道。第一次去鲅鱼圈，去之前在网上看到网友的评论，才选择这里的。看来真的选对了。下次还住新红运。推荐！！', 'star': 5}
{'descr': '很不错的酒店。服务好，早餐不错，环境一流。酒店内有温泉洗浴中心，房间里也是温泉水。推荐！', 'star': 5}
{'descr': '帮客户订的酒店，客户很麻烦，但这次入住特别满意。他说酒店的服务特别好，环境也不错，还有温泉水洗浴。第二天我陪他吃早餐，酒店早餐很丰富。客户指定下次还住这里。', 'star': 5}
{'descr': '干净卫生，安静温馨。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店离10号地铁口非常近，出行很方便，内部很整洁', 'star': 3}
{'descr': '单人间房间略小，环境很好，但是很多人在酒店里发小广告，感觉有点别扭', 'star': 5}
{'descr': '酒店服务一流，环境卫生相当不错，房间的床特别舒适。在酒店的洗浴中心泡了个温泉，舒服极了。早餐很丰盛，品种多，味道好。这家酒店还真不错。下次还住新红运酒店。', 'star': 5}
{'descr': '经常来鲅鱼圈出差，第一次入住新红运酒店，感觉特别温馨。酒店设施有点旧，但能看出当年装修的豪华程度。值得一提的是酒店的服务一流，卫生环境特别好，客房的床很舒适，早餐也特别可口，下次到鲅鱼圈肯定还住新红运酒店。', 'star': 5}
{'descr': '很不错，就是没吹风机', 'star': 3}
{'descr': '环境好，入住舒适，离地铁口相当近，离五角场也很近', 'star': 5}
{'descr': '房间还可以,但饮食不行,卫生还可以,但电视不行.', 'star': 1}
{'descr': '10号地铁国权路站很近，房间干净，服务员态度很好！\n我要座飞机,早上5：00出发。前晚告诉服务台的话，\n他们定出租车。非常感谢！\n\n\n', 'star': 5}
