{'短评内容': '如果有早餐就更oK了!', '短评打分': 5}
{'短评内容': '非常好好好', '短评打分': 5}
{'短评内容': '还行……', '短评打分': 5}
{'短评内容': '炮房', '短评打分': 4}
{'短评内容': '价格还行，条件也不错，算是比较划算。', '短评打分': 5}
{'短评内容': '领导来杭州玩给他订了这边的行政商务房 总的来说还可以 酒店服务员态度不是很好 房间加了20基本没区别 下次不会选这边了', '短评打分': 3}
{'短评内容': '周边没啥店 早饭都没', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以吧一般般', '短评打分': 5}
{'短评内容': '常住，经济实惠，隔壁快餐也很好！', '短评打分': 5}
{'短评内容': '环境不错，周围吃饭也有。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '安静~', '短评打分': 5}
