{'短评内容': '还行吧！！！', '短评打分': 4}
{'短评内容': '入住环境不错，服务态度很好', '短评打分': 5}
{'短评内容': '蛮清爽卫生的。交通路口方便找。', '短评打分': 5}
{'短评内容': '很好，环境还不错', '短评打分': 5}
{'短评内容': '实在失望，全部是灰尘，而且设备差，以后都不想定了，而且价格也不是特别便宜，安排的房间才1.2的床，太失望', '短评打分': 2}
{'短评内容': '房间可以，但床单被套不太干净', '短评打分': 3}
{'短评内容': '房间装修较新，床单被褥老旧', '短评打分': 4}
{'短评内容': '床品不好，都洗不出来的感觉，黑呼呼', '短评打分': 3}
{'短评内容': '房间大很大，干净舒适，一切都满意续了两天', '短评打分': 5}
{'短评内容': '3点钟入住的，房间卫生太差了、床单太恶心了……', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错不错，环境也好，会再来', '短评打分': 5}
{'短评内容': '前台缺少对客户的礼貌，出现错误不承认，只是争辩。感觉糟糕', '短评打分': 3}
{'短评内容': '半夜还有打电话敲门的。', '短评打分': 3}
{'短评内容': '房间大，设施一般。前台服务员老跟人强词夺理。', '短评打分': 3}
{'短评内容': '酒店大床房电视太小，看不清，没有窗户，性价比不高，不值得推荐，标准间卫生需要加强，性价比不高，以后不会再入住，失望。。', '短评打分': 3}
{'短评内容': '还不错哦，有早饭，还有麻将，还是不错，就是叫服务员有事的话速度比较慢，希望改进一下', '短评打分': 5}
{'短评内容': '酒店大堂 很气派 比一般快捷酒店舒服多了 朋友感觉很有面子。卫生比较干净，房间也挺大 比较满意 超值推荐', '短评打分': 5}
