{'descr': '很喜欢很喜欢很喜欢的产品', 'star': 5}
{'descr': '价格比较实惠', 'star': 4}
{'descr': '如家住的很舒服，hshshshshshsjjssjjsjsjsfhrhfjfjcjsjsjgjgff', 'star': 5}
{'descr': '离目的地很近，距离是选择的主要原因', 'star': 5}
{'descr': '房价稍高，隔音不好，其他还可以', 'star': 4}
{'descr': '枕头睡觉超级舒服。', 'star': 5}
{'descr': '挺好的，方便', 'star': 5}
{'descr': '酒店人员服务热情周到，周边交通，饮食都很便利', 'star': 4}
{'descr': '很棒', 'star': 5}
{'descr': '不喜欢酒店里使用纸杯', 'star': 4}
{'descr': '不错的旅途，', 'star': 5}
{'descr': '房间很干净，也很安静，服务人员态度很好！', 'star': 5}
{'descr': '位置很好找，附近吃的地方也挺多', 'star': 5}
{'descr': '主要是离我家近', 'star': 5}
{'descr': '房间比较小～', 'star': 5}
{'descr': '酒店靠近对外经贸大学，周边环境一般。楼下有个联营的早餐店。由于靠近大学的原因，周边小饭店多。房间内部设施一般，正常如家水平。', 'star': 3}
{'descr': '还好', 'star': 5}
{'descr': '总体还不错，就是房间门关了，跟没关似的，太松动了防盗链还是坏的，弄不上。别的还都好。', 'star': 5}
{'descr': '不错不错，硬件条件还可以，就是有点挤，地理位置也还可以...........', 'star': 5}
{'descr': '很不错很干净。推荐啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '位置很方便，去鸟巢，水立方比较方便，地铁也还好，新开的算干净的', 'star': 5}
{'descr': '很好干净能收到湖南台很开心媳妇！门口吃的玩的出门坐车都很方便', 'star': 5}
{'descr': '不错，就是电视节目有点卡。', 'star': 3}
{'descr': '“如家”真的如家，房间很干净，设备很齐全，服务很热情，照顾很周到。靠近马路，容易寻找而且安全，下次还会考虑来这里！！！！', 'star': 5}
{'descr': '新开业的一家酒店,还不错!\n如家的环保做的不咋的,房间里一股劣质油漆的味道;\n酒店不提供餐饮,早餐与隔壁的粥铺联姻挂帐.\n', 'star': 5}
{'descr': '很好 服务员很好  服务态度很好   下次还会入住的', 'star': 5}
{'descr': '很不错的地方，精致而干净，服务也不错，连锁不会错的', 'star': 3}
{'descr': '酒店离文学馆很近，吃饭方便，卫生不错，房间紧凑，总的来讲还不错', 'star': 5}
{'descr': '房间不大，但服务，卫生都还可以。到地铁两站公交车。', 'star': 5}
{'descr': ' 环境干净  前台服务热情', 'star': 3}
{'descr': '还不错，屋子很宽敞，很暖和，有阳光。总之很舒心', 'star': 5}
{'descr': '住宿条件还可以', 'star': 3}
{'descr': '又续住了一个晚上，不错  推荐，，，，，，，，，，，，，，', 'star': 5}
{'descr': '新装修，服务不错，值得推荐，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '服务态度很好！', 'star': 3}
{'descr': '挺干净，地理位置也好，服务人员很热情，走到哪都打招呼。', 'star': 5}
{'descr': '设施和服务都不错~环境也很好~很安静~就是隔音效果差了点点~', 'star': 5}
{'descr': '环境好，设施不错，推荐', 'star': 3}
{'descr': '环境很不错，但这次的床巨大无比，几乎占了房间的全部，如家一向住得放心。', 'star': 3}
{'descr': '环境不错', 'star': 3}
