{'descr': '比较方便', 'star': 5}
{'descr': '还可以的', 'star': 4}
{'descr': '卫生个方面都很好．很满意', 'star': 5}
{'descr': '酒店不错。价格优惠', 'star': 5}
{'descr': '房间干净卫生，空间也很大，床和洗浴设施也都很卫生，属于快捷酒店里比较好的。酒店位置不错，到外滩打车也就十分钟，细节很不错，有直饮水，美中不足浴室是玻璃的，且空间太小。', 'star': 5}
{'descr': '不错，地段好，性价比高', 'star': 5}
{'descr': '挺好，安静，干净，洗澡水也可以', 'star': 4}
{'descr': '不怎么样', 'star': 3}
{'descr': '挺好', 'star': 5}
{'descr': '还不错.挺好的.', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境还不错，还算好找，周围也很方便', 'star': 5}
{'descr': '定的标间没有了，免费帮我们升级了，环境很好', 'star': 5}
{'descr': '地理位置很方便 火车站一辆车就可以到啦，离人广很近', 'star': 5}
{'descr': '位置稍稍有点偏僻不过环境很好价格实惠！', 'star': 4}
{'descr': '酒店干净，安静，但是硬件一般！算是不错的价格了！', 'star': 5}
{'descr': '用手机就可以订，很方便！', 'star': 4}
{'descr': '前台有个哥们服务态度不错，就是酒店没有无线，这个比较不爽，房间挺大，可能是一楼的原因，被子有点潮，浴室有点小，浴室的水龙头太棱角分明了，有两次划到手，很不爽', 'star': 1}
{'descr': '去的时候酒店刚好空调有点问题，半天不制冷。同样的比起来，设施太陈旧。\n想换一间房间都没有。\n唯一的优点就是网速很不错。。。仅此而已', 'star': 1}
{'descr': '酒店还不错，离八号线近，房间不是很大，不过里面东西很全，值得推荐', 'star': 5}
{'descr': '老婆非常满意，洗澡水很足很好，服务也很好，交通比较方便', 'star': 3}
{'descr': '网速太慢，酒店在一个小巷子，屋子也有点旧，窗外是另一栋楼，离得很近给人感觉很压抑，卫生还好，前台服务一般！附近离地铁8号线的中兴路较近，比较方便，酒店价格相对便宜，离市区较近！', 'star': 3}
{'descr': '第一次来上海入住莫泰168，交通真心很方便，8号线太近了。环境也不错，下面有小吃！下次还来！', 'star': 5}
{'descr': '大床房，卫生间干湿分两间，很好的设计。。采光也很不错。。每天还送两瓶矿泉水。。推荐~', 'star': 5}
{'descr': '挺干净的，离八号线很近，', 'star': 3}
{'descr': '房间比较大，很干净，住的很舒服很舒心，服务态度也很好，就是位置不太好找，不过距离地铁一号线比较近。', 'star': 5}
{'descr': '309的房间空调声音很响，整整想了一个晚上，服务和价格还可以。', 'star': 5}
{'descr': '还行吧。就是地方太偏僻，巷子太深了。对得起这个价格！', 'star': 5}
{'descr': '感觉莫泰168连锁店环境干净。', 'star': 3}
{'descr': '蛮干净的！就是小了点！', 'star': 5}
{'descr': '服務佳', 'star': 3}
{'descr': '莫泰一直挺好的！', 'star': 3}
{'descr': '吃住方便。出行也容易经。房间也很大。早餐也不错。', 'star': 3}
{'descr': '还不错\n整体还行   房间局部不是很干净   特别是墙上', 'star': 5}
{'descr': '价格合理，房间卫生干净，服务态度很好，交通方便，值得推荐。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '隔音效果一般，但是这个价钱，住着还是可以的不强求', 'star': 5}
{'descr': '地理位置比较好，靠近火车站，住宿环境也还可以，就是服务员的普通话不怎么好懂，呵呵', 'star': 5}
{'descr': '交通便利，环境不错，空间也实用！价格挺实惠！', 'star': 5}
{'descr': '总体都还可以，但是市区的店，房间都比较小，再加上这家店比较旧，所以总体来说一般。但是地理位置还是不错的，附近就有地铁站头，所以应该来说，还行。就是不知道旁边住的是哪里来的旅行团，早上叫他们团里的人集合，三次敲错我们的门，受不了，差点就暴走了！！', 'star': 5}
{'descr': '今天本人刚刚入住莫泰，周围还不错，居民小区，价位比较合理，我住的是大床房160.就是卫生间小了点比我在7天还小，不过比7天便宜了7元钱', 'star': 5}
{'descr': '大床房窗户在卫生间，别扭！后来换了标准间，还好。', 'star': 5}
{'descr': '环境不错  也很宽敞 就是晚上会听到隔壁或是外面很多声音有点不好入睡', 'star': 5}
{'descr': '房间还不错 就是外面环境不是怎么好', 'star': 3}
{'descr': '总体还不错···以后就订这里了。交通方便  距地铁站几百米   在小区里面  挺安静的', 'star': 5}
{'descr': '性价比还可以吧，离火车站和地铁站都比较近。。。。。。', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '服务不错', 'star': 3}
{'descr': '公交线路去的话应该更好找，周边环境也还算可以！', 'star': 5}
{'descr': '公交线路去的话应该更好找，周边环境也还算可以！', 'star': 5}
{'descr': '连锁酒店，也就这样，不说什么了，非要我打这么多字', 'star': 1}
{'descr': '连锁酒店，也就这样，不说什么了，非要我打这么多字', 'star': 1}
{'descr': '房间不大，环境还可以，价钱比太差，不会再选择', 'star': 1}
{'descr': '房间不大，环境还可以，价钱比太差，不会再选择', 'star': 1}
{'descr': '还不错，可以接受，就是没有无线网有点可惜', 'star': 5}
{'descr': '还不错，可以接受，就是没有无线网有点可惜', 'star': 5}
{'descr': '位置还不错，离中兴路地铁站很近，但是在小胡同里，不好找，楼下是菜市场', 'star': 5}
{'descr': '位置还不错，离中兴路地铁站很近，但是在小胡同里，不好找，楼下是菜市场', 'star': 5}
{'descr': '价格便宜，离火车站步行15分钟左右，周边不是很繁华，比较安静', 'star': 5}
{'descr': '价格便宜，离火车站步行15分钟左右，周边不是很繁华，比较安静', 'star': 5}
{'descr': '其他都好，是莫泰的风格了，就是那个水壶，超级脏啊。我用清水烧了3遍，再用毛巾手伸进去洗了10分钟，才把里面厚厚的水垢洗干净（估计还是没有完全清除干净），再烧了3遍水才能用啊！这个水壶很重要的啦，莫泰，帮帮忙，如果要是房务每天只是冲一冲，不定期清洗消毒的话，那么你们可一定要即使更换新的，否则哪天客人看到了觉得不干净再也不住莫泰还是小事，万一不知道喝了中毒什么的，那事情就搞大了！见微知著啊！希望莫泰相', 'star': 5}
{'descr': '其他都好，是莫泰的风格了，就是那个水壶，超级脏啊。我用清水烧了3遍，再用毛巾手伸进去洗了10分钟，才把里面厚厚的水垢洗干净（估计还是没有完全清除干净），再烧了3遍水才能用啊！这个水壶很重要的啦，莫泰，帮帮忙，如果要是房务每天只是冲一冲，不定期清洗消毒的话，那么你们可一定要即使更换新的，否则哪天客人看到了觉得不干净再也不住莫泰还是小事，万一不知道喝了中毒什么的，那事情就搞大了！见微知著啊！希望莫泰相', 'star': 5}
{'descr': '价格合理，房间卫生干净，服务态度很好，周办商店很多，交通方便，值得推荐。', 'star': 5}
{'descr': '价格合理，房间卫生干净，服务态度很好，周办商店很多，交通方便，值得推荐。', 'star': 5}
{'descr': '房间还不错，也不是那种自主房间，洗漱用品都有配套的，方便一点。地理位置很方便，离地铁站很近', 'star': 3}
{'descr': '房间还不错，也不是那种自主房间，洗漱用品都有配套的，方便一点。地理位置很方便，离地铁站很近', 'star': 3}
{'descr': '空调效果真心的不想说', 'star': 3}
{'descr': '空调效果真心的不想说', 'star': 3}
{'descr': '我住的是一楼108差评！！1、房间差，墙壁上有水渍，脏脏的，灯光昏暗，像机了黑店。2、卫生差，一进门发现水缸里有烟蒂，电热水壶里还有一包剩下的茶叶。3、排水差，洗澡间面积小就不说了，洗的时候，水道还堵塞，弄得门外都是水。4、服务差，进来个修水道的师傅，一边打电话一边修，完全不听我的意见。就随便拿个筒整了两下就走了，一句话没说。总之，是我在上海住过的最差酒店！', 'star': 1}
{'descr': '我住的是一楼108差评！！1、房间差，墙壁上有水渍，脏脏的，灯光昏暗，像机了黑店。2、卫生差，一进门发现水缸里有烟蒂，电热水壶里还有一包剩下的茶叶。3、排水差，洗澡间面积小就不说了，洗的时候，水道还堵塞，弄得门外都是水。4、服务差，进来个修水道的师傅，一边打电话一边修，完全不听我的意见。就随便拿个筒整了两下就走了，一句话没说。总之，是我在上海住过的最差酒店！', 'star': 1}
{'descr': '交通比较便利离8号线不远，周围还有很多便利店，不远处还有乐购。房间装饰还不错~', 'star': 5}
{'descr': '交通比较便利离8号线不远，周围还有很多便利店，不远处还有乐购。房间装饰还不错~', 'star': 5}
{'descr': '离8号线比较近，交通还挺方便，房间不大，不过还算挺舒适，水超热的', 'star': 5}
{'descr': '离8号线比较近，交通还挺方便，房间不大，不过还算挺舒适，水超热的', 'star': 5}
{'descr': '帮经理订的，应该还不错。没有听到他有不好的评价，希望以后能有更优惠的价格', 'star': 5}
{'descr': '帮经理订的，应该还不错。没有听到他有不好的评价，希望以后能有更优惠的价格', 'star': 5}
{'descr': '还是不错，离地铁站也蛮近的，房间设施一般，热水不错！周边有个菜场，对面就是超市，还算方便。', 'star': 5}
{'descr': '还是不错，离地铁站也蛮近的，房间设施一般，热水不错！周边有个菜场，对面就是超市，还算方便。', 'star': 5}
{'descr': '十一期间入住的，价格相当的便宜，干净卫生就行了', 'star': 5}
{'descr': '十一期间入住的，价格相当的便宜，干净卫生就行了', 'star': 5}
{'descr': '酒店环境还可以，交通也挺方便。周围吃的东西也多，早上很多卖早点的。', 'star': 5}
{'descr': '酒店环境还可以，交通也挺方便。周围吃的东西也多，早上很多卖早点的。', 'star': 5}
{'descr': '非常满意', 'star': 3}
{'descr': '非常满意', 'star': 3}
{'descr': '位置离地铁很近，但是房间隔音不好，晚上小姐声音大，另外早餐准备不足，有一个同性的山东旅游团竟然不够吃，', 'star': 5}
