{'短评内容': '早餐还能吃饱的', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 4}
{'短评内容': '房间还是不错的', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '没有wifi 服务人员都是让你等 房间特别冷 开了一宿空调房间才19度', '短评打分': 4}
{'短评内容': '京东订酒店体验很棒，既可以用优惠券确认也很快，很满意', '短评打分': 5}
{'短评内容': '不知道什么时候有的0.01元这个测试房间。之前入住已经进行了评价。', '短评打分': 5}
{'短评内容': '价格便宜 干净整洁', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '挺好，', '短评打分': 5}
{'短评内容': '位置有点偏 不好打车 优势是价格较便宜 离景点近 有公交车', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '经常去，每次都住这里，挺方便的。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '房间很干净很大', '短评打分': 5}
{'短评内容': '不错，价格适中', '短评打分': 5}
{'短评内容': '带孩子和姥姥姥爷到南宫鹦鹉园看鹦鹉，虽然天气雾霾，但是心情不错；在艺龙上预定了这家距离鹦鹉园最近的酒店，人家主动给我打电话说可以加100元升级套房，我们答应了，房间很大，这回是超值了！！！更好的是套房里还有自动麻将桌，很开心哦！！！，下次来南宫还来！！！', '短评打分': 3}
{'短评内容': '套房高大上', '短评打分': 5}
