{'descr': '挺好的 一直住的这家 方便 车位也多', 'star': 4}
{'descr': '很舒适，服务很好..', 'star': 5}
{'descr': '还不错，价廉物美', 'star': 4}
{'descr': '可以啊，还不错，停车交通都很方便', 'star': 4}
{'descr': '喜欢如家 干净温馨', 'star': 5}
{'descr': '早餐要钱。位置对我来说挺好的。因为不在路边，不喧嚣。家庭房在一楼。', 'star': 5}
{'descr': '一如既往的好', 'star': 5}
{'descr': '可以，来过好几次了', 'star': 5}
{'descr': '可以，比其它的划算', 'star': 5}
{'descr': '很好，以后去就住这了', 'star': 5}
{'descr': '环境不错，服务很好。', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '很好很好跟以前一样', 'star': 4}
{'descr': '很不错的酒店，卫生做得非常好。', 'star': 5}
{'descr': '很好！', 'star': 5}
{'descr': '环境一般，网速倒是蛮快的，出门在外将就点吧', 'star': 3}
{'descr': '很不错，会再来。', 'star': 5}
{'descr': '交通便利，周边美食街，不错的选择！', 'star': 5}
{'descr': '前台服务非常热情周到，环境不错，父母满意。', 'star': 5}
{'descr': '房间很好 干净又安静 服务态度也好 值得入住', 'star': 3}
{'descr': '这家酒店可以作为如家的典范，感觉很好，经常来住', 'star': 5}
{'descr': '设施很新，内部较小，不过很是温馨！感觉非常不错的。', 'star': 5}
{'descr': '感觉快捷酒店都差不多，位置还算好找，挺干净的，服务挺好的。', 'star': 5}
{'descr': '卫生条件还是不错的，房间较小，其它的还可以。', 'star': 5}
{'descr': '干净、安静是这里的优点，离城区繁华区域有一点距离，但离瘦西湖还算近。不明白自主大床房两人入住但只给一份早餐。总体而言，推荐！', 'star': 5}
{'descr': '干净、安静是这里的优点，离城区繁华区域有一点距离，但离瘦西湖还算近。不明白自主大床房两人入住但只给一份早餐。总体而言，推荐！', 'star': 5}
{'descr': '还不错，只是餐厅在客房对面，有些闹，七点之后就不怎么睡得着了。。', 'star': 5}
{'descr': '还不错，只是餐厅在客房对面，有些闹，七点之后就不怎么睡得着了。。', 'star': 5}
{'descr': '还可以。就是吃饭不方便，要走一段', 'star': 3}
{'descr': '还可以。就是吃饭不方便，要走一段', 'star': 3}
{'descr': '服务非常好,房间虽然小也算干净，拉了东西前台帮忙叫了快递到镇江，赞', 'star': 5}
{'descr': '服务非常好,房间虽然小也算干净，拉了东西前台帮忙叫了快递到镇江，赞', 'star': 5}
{'descr': '不错，蛮干净的，服务也比较到位，早餐种类不多，但是很干净', 'star': 5}
{'descr': '不错，蛮干净的，服务也比较到位，早餐种类不多，但是很干净', 'star': 5}
{'descr': '很好，还送了顿早饭……………………………………………………', 'star': 5}
{'descr': '很好，还送了顿早饭……………………………………………………', 'star': 5}
{'descr': '酒店地段不错，住宿环境也还行。客服人员态度挺好，路找到，指点的非常清楚。', 'star': 5}
{'descr': '酒店地段不错，住宿环境也还行。客服人员态度挺好，路找到，指点的非常清楚。', 'star': 5}
{'descr': '位置有点偏，比较安静，卫生不错，设施蛮新', 'star': 5}
{'descr': '位置有点偏，比较安静，卫生不错，设施蛮新', 'star': 5}
{'descr': '服务很好，真的就像回家一样，服务员面带笑容，百问不厌！下次来扬州还会住在这里。酒店卫生很好，干净！周围也不嘈杂，住的很舒服，交通也很方便！', 'star': 5}
{'descr': '服务很好，真的就像回家一样，服务员面带笑容，百问不厌！下次来扬州还会住在这里。酒店卫生很好，干净！周围也不嘈杂，住的很舒服，交通也很方便！', 'star': 5}
{'descr': '酒店挺不错的，前台服务很好，来酒店时车位满了，一位貌似老板的先生马上出来为我挪车位。酒店好像是今年才改成如家的，GPS导航搜不到，只搜到附近的一家本地如家，要设置“杨柳青假日酒店”就能找到。', 'star': 5}
{'descr': '酒店挺不错的，前台服务很好，来酒店时车位满了，一位貌似老板的先生马上出来为我挪车位。酒店好像是今年才改成如家的，GPS导航搜不到，只搜到附近的一家本地如家，要设置“杨柳青假日酒店”就能找到。', 'star': 5}
{'descr': '确实很新很安静，不靠路边，交通方便，服务好', 'star': 5}
{'descr': '确实很新很安静，不靠路边，交通方便，服务好', 'star': 5}
{'descr': '酒店在比较繁华的路段，喜欢如家，去景点和车站都很近，交通便利，服务超好。下次来扬州还会住如家~\n只是酒店在居民区内，不太好找', 'star': 5}
{'descr': '酒店在比较繁华的路段，喜欢如家，去景点和车站都很近，交通便利，服务超好。下次来扬州还会住如家~\n只是酒店在居民区内，不太好找', 'star': 5}
{'descr': '环境不错，服务员超级好的，推荐入住。环境不错，服务员超级好的，推荐入住。', 'star': 5}
{'descr': '环境不错，服务员超级好的，推荐入住。环境不错，服务员超级好的，推荐入住。', 'star': 5}
{'descr': '环境很好，早晨和服务员都不错', 'star': 3}
{'descr': '环境很好，早晨和服务员都不错', 'star': 3}
{'descr': '酒店房间的床单和卫生间很干净！就是附近饭馆太少，吃饭不太方便！', 'star': 5}
{'descr': '酒店房间的床单和卫生间很干净！就是附近饭馆太少，吃饭不太方便！', 'star': 5}
{'descr': '环境很好，就是离扬州大学瘦西湖校区有点远，还好交通比较方便，总体来说很满意。', 'star': 5}
{'descr': '环境很好，就是离扬州大学瘦西湖校区有点远，还好交通比较方便，总体来说很满意。', 'star': 5}
{'descr': '还不错，搞得挺温馨的，就是门口有个本地的如家酒店容易搞混', 'star': 5}
{'descr': '还不错，搞得挺温馨的，就是门口有个本地的如家酒店容易搞混', 'star': 5}
{'descr': '很安静的', 'star': 3}
{'descr': '很安静的', 'star': 3}
{'descr': '干净卫生，也比较安静。就是不能用导航导这家如家，会把你导到另一个如家！', 'star': 5}
{'descr': '干净卫生，也比较安静。就是不能用导航导这家如家，会把你导到另一个如家！', 'star': 5}
{'descr': '还可以，晚上睡觉有蚊子就是了，这家附近居然还有一家如家，两家不一样，别弄错了', 'star': 5}
{'descr': '还可以，晚上睡觉有蚊子就是了，这家附近居然还有一家如家，两家不一样，别弄错了', 'star': 5}
{'descr': '安静，卫生，有回到家的感觉。服务态度好。离公交车站比较近，50米左右的距离。', 'star': 5}
{'descr': '安静，卫生，有回到家的感觉。服务态度好。离公交车站比较近，50米左右的距离。', 'star': 5}
{'descr': '超满意！环境很好，很卫生!值得入住！前台咨询很详细！服务很好', 'star': 5}
{'descr': '超满意！环境很好，很卫生!值得入住！前台咨询很详细！服务很好', 'star': 5}
{'descr': '这是我住过的感觉比较好的如家，很安静，干净，服务态度好', 'star': 5}
{'descr': '这是我住过的感觉比较好的如家，很安静，干净，服务态度好', 'star': 5}
{'descr': '酒店环境不错，服务态度也不错服务的质量也蛮好，就是外面有点吵，隔音效果有点差。', 'star': 5}
{'descr': '酒店环境不错，服务态度也不错服务的质量也蛮好，就是外面有点吵，隔音效果有点差。', 'star': 5}
{'descr': '房间温馨，设施齐全，卫生整洁。服务态度好。晚间休息时，比较安静。下次来扬州还会选择该酒店。', 'star': 5}
{'descr': '房间温馨，设施齐全，卫生整洁。服务态度好。晚间休息时，比较安静。下次来扬州还会选择该酒店。', 'star': 5}
{'descr': '比起瘦西湖店，维扬店门口就是公交，对于自助遊的我们来说非常方便，我们住的大床房也蛮宽敞~', 'star': 3}
{'descr': '比起瘦西湖店，维扬店门口就是公交，对于自助遊的我们来说非常方便，我们住的大床房也蛮宽敞~', 'star': 3}
{'descr': '不错 不错   设施设备齐全   服务态度好 总之一句话  都好  嘻嘻  嘻嘻 嘻嘻', 'star': 5}
{'descr': '不错 不错   设施设备齐全   服务态度好 总之一句话  都好  嘻嘻  嘻嘻 嘻嘻', 'star': 5}
{'descr': '扬州如家维杨店服务良好很温馨常中林', 'star': 3}
{'descr': '扬州如家维杨店服务良好很温馨常中林', 'star': 3}
{'descr': '环境优雅，装修温馨，服务态度一流，值得再次选择的酒店。', 'star': 5}
{'descr': '环境优雅，装修温馨，服务态度一流，值得再次选择的酒店。', 'star': 5}
{'descr': '如家位置很好，离市区很近，房间设施干净，卫生，整洁，下次还会选择如家。', 'star': 5}
{'descr': '如家位置很好，离市区很近，房间设施干净，卫生，整洁，下次还会选择如家。', 'star': 5}
{'descr': '环境很不错哦。地点也挺好的。很安静', 'star': 3}
{'descr': '环境很不错哦。地点也挺好的。很安静', 'star': 3}
{'descr': '挺好的,不错,交通挺方便,服务也好,下次来再住', 'star': 5}
{'descr': '挺好的,不错,交通挺方便,服务也好,下次来再住', 'star': 5}
{'descr': '卫生，环境都可以；微笑服务很满意，就大堂的电脑网速太磨叽了', 'star': 5}
{'descr': '卫生，环境都可以；微笑服务很满意，就大堂的电脑网速太磨叽了', 'star': 5}
{'descr': '衛生間設備很新，白得發亮，很乾淨。公車只有一路，但是打車到景點都很便宜。', 'star': 5}
{'descr': '衛生間設備很新，白得發亮，很乾淨。公車只有一路，但是打車到景點都很便宜。', 'star': 5}
{'descr': '还是比较偏远些，但是很干净。服务也算不错，另外就是周围的相同店名多，容易混淆', 'star': 5}
{'descr': '还是比较偏远些，但是很干净。服务也算不错，另外就是周围的相同店名多，容易混淆', 'star': 5}
{'descr': '感觉蛮好的。很安静服务也不错', 'star': 3}
{'descr': '感觉蛮好的。很安静服务也不错', 'star': 3}
{'descr': '非常不错的选择 位置 服务 整洁 舒心程度 综合来讲 下次去会首选这家酒店', 'star': 5}
{'descr': '非常不错的选择 位置 服务 整洁 舒心程度 综合来讲 下次去会首选这家酒店', 'star': 5}
{'descr': '位置可以  到夫子庙和淮海路都方便,路边有公交站,出租车比较多..  也比较干净和安静', 'star': 5}
{'descr': '位置可以  到夫子庙和淮海路都方便,路边有公交站,出租车比较多..  也比较干净和安静', 'star': 5}
