{'短评内容': '位于景景区核心，环境一流', '短评打分': 5}
{'短评内容': '位于景区核心，园林式酒店，环境、空气、山水极佳，性价比不错。', '短评打分': 5}
{'短评内容': '位于景区核心区，园林式酒店', '短评打分': 5}
{'短评内容': '位于明仕田园风景区核心，园林式酒店，性价比还是不错的。', '短评打分': 5}
{'短评内容': '这样的房间五百元偏贵了', '短评打分': 3}
{'短评内容': '可以哦，感觉还会再用。', '短评打分': 5}
{'短评内容': '风景不错，配套活动还可以，只是有点旧。', '短评打分': 5}
{'短评内容': '家人朋友都挺喜欢的', '短评打分': 5}
{'短评内容': '挺好的，家人朋友都喜欢', '短评打分': 5}
{'短评内容': '环境很好，卫生间很差，抽水马桶下水与下水道竟连通的，一冲水脏东西竟从下水道溢流出来，很恶心。', '短评打分': 3}
{'短评内容': '很舒服，美累！', '短评打分': 5}
{'短评内容': '酒店实在是太老了，床垫塌陷，空调老旧，打开还有异味，卫生还算干净，周围环境真是没话说，在景区里面，依山傍水，环境清幽，空气特别清新！服务不错，有欢迎水果，晚上还有点心和牛奶，很贴心。早餐比较丰富，菜品补给也很及时，周围有不少家农家菜，菜价格不贵，味道也很不错，值得一试。', '短评打分': 4}
{'短评内容': '误打误撞游到了明仕，在明仕跨年。主要是无意中看了机场花千骨广告。坐了个竹筏，青山绿水也很惬意。酒店珍珠鸭味道让人难以忘怀，吃饭时湖对面山歌也不错。', '短评打分': 5}
{'短评内容': '环境不错，服务一般，配套齐全', '短评打分': 5}
{'短评内容': '酒店环境确实不错，朋友聚会的好去处，虽然有点小插曲，服务态度很好！', '短评打分': 5}
{'短评内容': '地理环境非常好', '短评打分': 4}
{'短评内容': '周边自然环境很好，房间也很有特色', '短评打分': 4}
{'短评内容': '整体不错，特别是景区风光优美，值得一看', '短评打分': 4}
{'短评内容': '一切都好，还有表演，晚上有晚会。只可惜设备旧了点，空调声音太大，通知早上8点停电。', '短评打分': 5}
{'短评内容': '价格虽然贵一些，但酒店服务很好，配套设施做得不错，增值服务也很好，位置就在风景区，如果到明仕田园放松休闲旅游，我会极力推荐这家酒店。', '短评打分': 5}
{'短评内容': '我們是要去德天瀑布才住這家酒店 這家酒店離瀑布開車還要一個多小時 但再上去只剩下老木棉了 用餐都是在酒店裡面的 味道還可以 吃飯也便宜又大碗 外面附近比較難找餐廳 這酒店基本上都是觀光團較多 所以吃飯時間 上菜慢 風景區的酒店就不用挑剔太多了 室內的裝潢也還可以', '短评打分': 5}
{'短评内容': ' 烧烤 羊肉串 和鸡翅不错  蔬菜烧烤糊掉 牛肉串是速冻的不好吃 环境不错 房间很干净 ', '短评打分': 5}
{'短评内容': '在奇山秀水中的酒店，感觉真好', '短评打分': 3}
{'短评内容': '景色不错，虽然酒店的面积小了一点。房间很大，不过房间内的插头实在太松了。附近的农家菜值得一去，至于划船的话就一般般了，还有，早餐也不错，很丰盛。', '短评打分': 5}
{'短评内容': '酒店服务可以，有特色，但是六百多元一夜也确实贵了，而且早餐也没有想象中那么好，听说值128元。', '短评打分': 3}
{'短评内容': '居住明仕山庄，尽情享受明仕田园风光。酒店的服务非常好。', '短评打分': 3}
{'短评内容': '清明时节去踏青住在该酒店，住客可以免费游览旁边的民居博物馆，酒店就在风景秀丽之处，度假非常合适，服务员很有礼貌，看得出是经过了很好的培训，租一辆单车去呼吸乡土气息不错。\n特别推荐！还有宝马单车哦！', '短评打分': 5}
{'短评内容': '酒店周围景色很美，确实有人在画中游的感觉。\n因为本次是自驾车，可以免费停车。\n在酒店内走一走，景色很美。晚上在酒店的湖边用餐后，还观看了越南什么艺术中心的表演，还挺有特色。就是一句话也听不懂，一半就走了。\n另外，由于住在一层，坐在阳台上欣赏周围景色，真是惬意。晚上，还看到了在北京几十年没见过的萤火虫，真是很漂亮。因为听说萤火虫对生存环境要求很高，所以印证了酒店周边应该很少污染的。\n值得注意的是，进', '短评打分': 5}
{'短评内容': '价格还是偏高，附件不错，酒店位于明仕田园景区内，风景不错', '短评打分': 5}
{'短评内容': '非常漂亮的酒店，环境很好。早餐20块，实在不值。基本都是公款消费的，难得见到我们这样自费的', '短评打分': 5}
{'短评内容': '服务比较规范，卫生条件好，环境优美。对于自由行的散客来说交通不便，乘竹筏每人120元票价太高。', '短评打分': 5}
{'短评内容': '我们已入住明仕山庄。这里的设施和服务都好，我们较满意', '短评打分': 5}
{'短评内容': '酒店的壯族裝修很有特色, 而且設備齊全, 由於酒店新, 用品都很新,感覺很好. 有個好處是酒店附近的風景特別漂亮, 旁邊可以看到日出!! \r\n但由於酒店太新, 很多宣傳的設施都没建好, 如購物街, 泳池等都没有,餐廳也只開了一間, 選擇太少.  其實在明仕純綷休息一天就好, 久了没事做..\r\n \r\n\r\n\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '周围环境委好，田园气息很浓，但下雨时出去很不方便，停车场的设计也不够人性化', '短评打分': 5}
{'短评内容': '酒店餐厅服务很好，有农家特色，价格合理，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店  在大新算是级别最高的了  ', '短评打分': 5}
{'短评内容': '酒店整体装修的很有民族特色，设施也很新，服务不错。', '短评打分': 5}
{'短评内容': '值得去一次', '短评打分': 5}
