{'短评内容': '质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物', '短评打分': 5}
{'短评内容': '比较旧的酒店，位置好', '短评打分': 5}
{'短评内容': '新装修过，设施比以前好。', '短评打分': 5}
{'短评内容': '不含早，酒店位置超好，房间也很大', '短评打分': 5}
{'短评内容': '早餐不好，很一般，建议去周边的早餐店吃。因为酒店位置很好，地处教工路文教区，外边的餐饮店很不错，有停车场。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '附近交通方便，楼下就有饭店，对商务出差来说是个不错的选择', '短评打分': 4}
{'短评内容': '电视设施比较老，本想投屏工作用的。', '短评打分': 5}
{'短评内容': '帮朋友订的，她说很好', '短评打分': 5}
{'短评内容': '酒店交通比较方便，设施一般！', '短评打分': 5}
{'短评内容': '酒店不错的！', '短评打分': 5}
{'短评内容': '朋友说不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边环境不错、出行方便、设施还行', '短评打分': 4}
{'短评内容': '周末的价格有点小贵，停车方便！自助早餐便宜！伊家鲜菜品性价比高！欧美中心近在咫尺！总体来说还可以！', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
