{'短评内容': '空调不暖', '短评打分': 4}
{'短评内容': '早餐非常不错，有停车场，带孩子没问题', '短评打分': 5}
{'短评内容': '位置很好，早餐一般', '短评打分': 5}
{'短评内容': '房间很大，环境很好，很干净', '短评打分': 5}
{'短评内容': '卫生间有好多虫子，床也很硬，根本算不上4星级的酒店', '短评打分': 3}
{'短评内容': '住宿条件一般，设施有点旧', '短评打分': 3}
{'短评内容': '酒店早餐有待提高。', '短评打分': 4}
{'短评内容': '酒店硬件不错，环境优雅。但是管理上需要提升的空间太大。除了前台相对比较热情，也就无他了。服务人员从来不给客人问好，感觉怪怪的，门童呆若木鸡的黑脸表情在这等档次酒店碰到也可谓本店特色……', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '到的晚，走的早！没来得及欣赏，不过房间很宽敞，干净！', '短评打分': 5}
{'短评内容': '硬件不错 设施齐全 房间宽敞 床舒服 房间大 干净 地毯干净 浴缸不错   环境好服务好  性价比高   服务不错    态度好  ', '短评打分': 4}
{'短评内容': '不错，挺好的。干净。', '短评打分': 5}
{'短评内容': '确实不错，环境服务都很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店的设计是较传统的一种，走廊很宽敞。设施也不错，服务很好，看到房客脚扭伤了，从门口的服务员到前台，房间的所有的服务员都会很关心，每天的早餐都送上门，为了方便出行还帮助换了离门口较近的房间。酒店的环境很好，很静，唯一的不足时周围比较冷僻，没有可以吃东西的餐馆，', '短评打分': 5}
{'短评内容': '很干净的地方，环境也不错.早餐很丰盛，就是窗外觉得有点吓人', '短评打分': 5}
{'短评内容': '环境很好，就是晚上有点吵，不知道是不是隔音问题', '短评打分': 5}
{'短评内容': '莱芜少有还较像样的酒店，酒店背后有个湖，还算不错了，到莱芜首选酒店', '短评打分': 5}
{'短评内容': '装修挺陈旧的  早餐种类非常少  位置比较偏 对不起这个价格  ', '短评打分': 1}
{'短评内容': '服务不错  硬件设施一般 就是早餐有点单调   订了一间套房 价格相当于标间的三四倍  但是设施和服务都是一样的  就是多了一间客厅  不值', '短评打分': 5}
{'短评内容': '酒店硬件看着可以，但进房间后发现房间好大好冷，空荡荡的，感觉像招待所。。开空调后声音巨响，且很长时间没有热风。。。房门铰链已经损坏。。房间的保险柜是锁着的，没有密码也打不开，突然会警报声大作，吓死人，最后让服务员抱走拉倒，不过一个小女孩都能抱走的保险箱如存贵重物品能有保险作用吗？房间里连基本的餐巾纸也没有，卫生间没有洗手液或小肥皂，手纸只够用一次了，用完后遍找不着备用的，只好临时找服务员要。。。早', '短评打分': 1}
{'短评内容': '算是莱芜真正挂牌四星唯一一家，佳悦和馨百只是按照标准，没有正式挂牌，环境很好，房间很舒适，床出乎意料的大，谁三个人都绰绰有余，哈哈哈哈，服务态度很好，房间宽带有些不稳定，离市区中心区略有距离，不过离我工厂隔三个红绿灯，很方便。不错，推荐！！', '短评打分': 5}
{'短评内容': '前台服务人员态度很好，周到热情，房间硬件设施很齐全也很新，整体装修的比较典雅，房间打扫的很干净，没有卫生死角，住着很舒服', '短评打分': 5}
{'短评内容': '房间舒适，硬件设施齐全，周围环境很好，交通便利，服务周到热情，性价比高', '短评打分': 5}
{'短评内容': '酒店房间满宽敞的，住宿条件还可以，房间硬件设施齐全，卫生打扫的很干净，住宿环境还是不错的', '短评打分': 5}
{'短评内容': '酒店周边交通便利，服务态度周到，房间装修的很不错，附近打车很方便，总体感觉住宿环境还是可以的', '短评打分': 5}
{'短评内容': '性价比不错的酒店，早餐很丰盛口味也很好，房间打扫的很干净，整体感觉很不错，周边环境很好，停车也很方便，服务各方面都还可以的', '短评打分': 5}
{'短评内容': '这家园林型宾馆条件优越，使住宿客人感到非常舒适、希望提高早餐质量。', '短评打分': 5}
{'短评内容': '新酒店,条件还不错.走廊有些装修的味道.位置对于自驾车可能更方便.不过总得来说还不错.', '短评打分': 5}
{'短评内容': '周边环境很清静，绿化做得很好，内部也不错，很舒适很干净，住的还舒心的。', '短评打分': 5}
{'短评内容': '我觉得在当地算是不错的酒店的，服务一流，让人感觉很亲切。', '短评打分': 5}
{'短评内容': '管理上很规范，服务很热情周到，有种宾至如归的感觉。', '短评打分': 5}
{'短评内容': '房间里显得挺新的，设施很新，床也很舒适，休息的挺好。', '短评打分': 5}
{'短评内容': '服务很好，房间里也干净舒适，价格也很合适，值得推荐。', '短评打分': 5}
