{'短评内容': '还可以，值得入住一下的耶', '短评打分': 3}
{'短评内容': '旅游，感觉不错。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '环境不错，在国庆这个价格比较值，加了50升级为园床房，房间超级nice，女朋友好喜欢，说要回家把自己家也装修成这样的~', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '公寓在一个小区里，是套房改成，最大的便利是离湖里山炮台很近，但离市中心就有点远。公交车站点就在小区门口。', '短评打分': 3}
{'短评内容': '说实话真的不错。打车没给我送到地方，老板出去接的我。住了两天。老板娘人也不错。\n因为我订的早价格比较便宜，提前一天老板给我打电话确定了。最后给我的房间还是很不错的。赞一个。', '短评打分': 5}
{'短评内容': '房间很温馨', '短评打分': 3}
{'短评内容': '老板对人不错，家庭旅馆，房间环境还可以，总体还是性价比颇高！', '短评打分': 5}
{'短评内容': '该公寓比较卫生，老板也挺好！住的还挺舒服的', '短评打分': 3}
{'短评内容': '真的是很好很好哦~~交通方便，到旅游景点都方便，房间环境很好，干净整洁温馨~最值得一提的是服务真的太好了、、店家最后还主动送我们去火车站~~推荐推荐！', '短评打分': 5}
{'短评内容': '老板的一家很好，很热情，特别是他儿子大热天还送我们走小道到厦大校园去，住的地方是家庭式公寓比较温馨。房间干净整洁，性价比较高，地理位置不错，关键一点是出门就是公交站，去市区码头等都非常方便。离环岛路近，步行10分钟就是沙滩，挺不错~住的附近有很多饭店和烧烤场地，还有菜场。最后一晚回住的地方晚了还向老板讨了一碗饭吃，哈哈！我和我老婆再次谢谢老板！总之这几天住的很满意，是一次愉快的旅行。我们以后还会来', '短评打分': 5}
{'短评内容': '老板人和气，好，会耐心的跟客人讲解附近旅游线路，景点，房间好大漂亮配套设备齐全，门口有好几两公交车到，鼓浪屿，中山路，胡里山炮台，木战法，白城沙滩，火车站市中心、、、、、都好方便，走路到海边几分钟，下午有很多很多的游客在海边洗澡，', '短评打分': 5}
{'短评内容': '出门就有公交，挺方便，住的条件还可以，挺干净，隔音差点，总体感觉还行，不过作为家庭式旅馆，还是希望价格能再便宜些', '短评打分': 5}
{'短评内容': '虽然是家庭旅馆房间设计漂亮，设备齐全，卫生好干净，交通好方便门口就有公交车到附近旅游景点都好方便，老板，老板娘娘非常好客，最后用自家车送我们去车站，好感动...给卡乐邦一个好评的同时给厦门一个好评下次我有朋友来厦门一定会推荐他们住开心连锁公寓，', '短评打分': 5}
{'短评内容': '酒店虽是家庭旅馆，但干净卫生，在小区里比较安静，关键是地理位子较好，离海边步行不超过10分钟，也有公交到达，公交到火车站和市中心方便，老板人很好，热情。', '短评打分': 5}
{'短评内容': '旅馆位置不错，厦大边上，是三路公交的起点站。设施就是普通的私人标间，老板人很好，有空就愿意送我们去景点。总体都比较满意！', '短评打分': 3}
{'短评内容': '设施一般，像钟点房。\n第二天我就换酒店了。', '短评打分': 1}
{'短评内容': '房间大，比较干净，但地理位置描述有点问题。', '短评打分': 3}
{'短评内容': '还行吧 厦门的酒店旅馆都很贵 这家服务态度很好 ', '短评打分': 5}
