{'短评内容': '挺不错的房间，老板人很好，给介绍旅游路线', '短评打分': 5}
{'短评内容': '酒店住着还不错，卫生条件也还挺好。', '短评打分': 4}
{'短评内容': '很不错，房东收藏很多石头，门口种了很多花草，住起来挺舒服', '短评打分': 5}
{'短评内容': '民宿环境不错，房间宽敞干净，主人爱好雅致，无线网络很快，有点缺憾的是卫生间排风扇没电开不了，我订的三人间，洗澡时有点闷热，房间开灯不关窗户必须拉窗帘和窗纱，主人说有灯光会引来小虫子从窗纱里钻进来。空调制冷给力，还有就是在酒店比不上的晾晒阳台，给人家居之感，很方便～', '短评打分': 5}
{'短评内容': '好评！老板很客气！', '短评打分': 5}
{'短评内容': '很干净。吃饭要去邻居家。', '短评打分': 5}
{'短评内容': '环境还不错 干净卫生 比较满意', '短评打分': 5}
{'短评内容': '标准间很大，服务设施都很好。', '短评打分': 5}
{'短评内容': '总体还算不错', '短评打分': 4}
{'短评内容': '酒店还算干净，不错', '短评打分': 4}
{'短评内容': '老板和老板娘也是年轻夫妇，一家子还有一个大妈和一个小儿子，人都很好还挺腼腆，看我只有一个人还让我和他们家一起免费吃了晚饭，非常感谢。位置用百度地图会出现错误，其实就在进清华镇的路口附近的南市小区，离彩虹桥不近，但是可以很近地等清华回县城的车。房间干净卫生，小区也挺安静，总体来说很不错。', '短评打分': 4}
{'短评内容': '值得选择', '短评打分': 4}
