{'短评内容': '房间、环境还可以，服务态度蛮好的，晚上比较安静。', '短评打分': 5}
{'短评内容': '位置很好，可惜小吃街在重建，吃货们要跑路了。洗手间不错，电视电脑合一，方便了懒人!', '短评打分': 3}
{'短评内容': '購物交通方便去车站近酒店算可以就是空调嘈杂声希望酒店改善下', '短评打分': 5}
{'短评内容': '卫生还可以，通风不是很好，热水比较好，前台一般般，早餐太差了。总体性价比还可以。', '短评打分': 5}
{'短评内容': '很简洁很舒适！如果房间里面能在摆点矿泉水饮料之类的话，会更完美点', '短评打分': 3}
{'短评内容': '床很软，电影很齐全，还有电脑，网速很快，出行方便。', '短评打分': 3}
{'短评内容': '床很软，电影很齐全，出行方便。', '短评打分': 3}
{'短评内容': '蛮好的，电脑和电视连接在一起，可以趴在床上玩，我看了一个晚上的电视连续剧，一般酒店都是12点退房，那边可以1点退，可惜我8点多就退了，朋友一直感慨浪费啊。', '短评打分': 5}
{'短评内容': '酒店性价比很高，地理位置比较热闹，吃东西的地方很多，很方便，但有一点不是很理想，就是床太软了，睡的时候会感觉到床的弹簧。', '短评打分': 5}
{'短评内容': '床太差了，可以摸到里面的弹簧，还是豪华大床，里面一张桌子也没有，很不方便，总之无语。旁边的宜必思价格便宜了50元，还干净卫生。', '短评打分': 1}
{'短评内容': '定的是商务大床房，感受：1、服务员业务水平有待提高，不知道无锡有无锡东站。2、地毯很脏，第二天发现衣服上有蚂蚁。3、床上用品颜色不好，感觉不干净。', '短评打分': 1}
{'短评内容': '  感觉还行，电脑房实在太卡了，。蛮干净 的', '短评打分': 5}
{'短评内容': '酒店设施还行,只是普通大床房小了一点,下次订商务大床房了', '短评打分': 5}
{'短评内容': '地段比较好，周围满热闹的，酒店看上去也蛮气派，可惜我住的房间太小，而且有股味道，下次要换一间看看', '短评打分': 5}
{'短评内容': '酒店地理位置、交通环境都很好，卫生干净，值得向朋友们推荐。', '短评打分': 5}
{'短评内容': '就这价位,酒店还算可以.出门还是比较方便的.', '短评打分': 5}
{'短评内容': '很不错的酒店，卫生和设备相当好，地理位置也很好，不过就是早餐差了点，还是值得推荐！', '短评打分': 5}
{'短评内容': '房间物超所值，这个价格的确很划算，环境也不错，', '短评打分': 5}
{'短评内容': '房间的卫生条件还行，床不是非常很舒服，离火车站很近。', '短评打分': 5}
{'短评内容': '酒店位置还可以，交通购物饮食都比较方便，不过总台接待员没一个有笑脸的，有待改善，还有周末房价调高这点好像做的不怎么贴切。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，住的也比较舒服，价格公道，很方便。', '短评打分': 5}
{'短评内容': ' 很不错', '短评打分': 3}
{'短评内容': ' 地上不是很干净，住的208的电脑商务房，3楼的，没有窗户！不满意！', '短评打分': 3}
{'短评内容': ' 酒店非常好，住的很舒服。', '短评打分': 3}
{'短评内容': '地段不错 开车出行比较方便 而且酒店有停车场 很不错（对于自驾的朋友们） 酒店硬件设施蛮好  两点让我不满意：其一，酒店自费早餐价格为12元 早餐东西太差 竟然还有过期的面包 让人寒心 幸好吃了没啥事 不然我就要发飙了 其二,酒店装修有点陈旧 我们住的还是所谓的豪华套房呢 建议重装一下吧  ', '短评打分': 5}
{'短评内容': '内部装饰可以的，服务态度一般，值得一住，不理那些服务员就可以了', '短评打分': 5}
{'短评内容': '很好，地点很好，装修的很漂亮！没有餐厅，但是，周围的饭店很多，很方便，而且还紧邻一个大超市。下次到无锡，我还会去的。', '短评打分': 5}
{'短评内容': '酒店的服务不错,靠近火车站.房内设施齐全,性价比较高', '短评打分': 5}
{'短评内容': '地理位置和好，也非常干净，不过早餐就差点，还是值得入住的。', '短评打分': 5}
{'短评内容': '酒店不错，安静，舒适！值得一住！下次还会选择！', '短评打分': 5}
{'短评内容': '服务态度很一般\n设施旧 网速慢 不推荐..............................', '短评打分': 1}
{'短评内容': '房间布局还可以，要是有个电脑办公桌之类的更好，被子有点脏的感觉', '短评打分': 1}
{'短评内容': '地段，交通和环境都还可以，下次还会去的。。。。', '短评打分': 5}
{'短评内容': '环境太差，服务不好，房间里小的不能再小了，床也小的很，不够长', '短评打分': 1}
