{'短评内容': '不错，环境非常好，就是离热闹的地方有点距离', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '环境优美，干净卫生，服务很好', '短评打分': 5}
{'短评内容': '太好啦，下次一定会再去。干净，有特色，早餐不错，老板娘热情。位置也比较方便，逛古镇恰到好处。必须点赞点赞。', '短评打分': 5}
{'短评内容': '闲适安静的院子，徽派院子别具一格，三进三出的格局让你领略不一样得感受，仿佛瞬间来到清朝时期的状态……有时间会再来', '短评打分': 5}
{'短评内容': '这次真是说走就走的旅行，车上选了这家。好喜欢这家的格调，都不想走了。多么想在这样的房子生活到老呀。', '短评打分': 5}
{'短评内容': '闹中取静，内部环境很好', '短评打分': 5}
{'短评内容': '特别有感觉的小院子！第一次来满房，第二次终于住上了！', '短评打分': 5}
{'短评内容': '客栈环境不错，在古镇边上，整洁干净，很安静', '短评打分': 5}
{'短评内容': '位置很好就在古城内。酒店本身是市级文保。 ', '短评打分': 5}
{'短评内容': '环境很好，有格调，设施设备稍微差点，听说要重新装修了，期待', '短评打分': 5}
{'短评内容': '还是淡季可能更好', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '客栈是古钱庄，有小院落古色古香，可体检古民居情趣，在步行街方便逛古城。客栈服务热情，为人诚实。', '短评打分': 5}
{'短评内容': '在老街上，离地下停车场200米左右，环境不错，服务和卫生还可以，就是沐浴门有问题，沐浴头也有问题。', '短评打分': 5}
{'短评内容': '不错的客棧', '短评打分': 3}
{'短评内容': ' 很干净，服务员热情，还算清静，最难得热水很大，其他很多古城内客栈做不到', '短评打分': 3}
{'短评内容': '干净还是比较干净，就是停车太不方便了。另外280元的价格也太高了，因为过节也就忍了。关键是不含早餐，有点过分。', '短评打分': 5}
{'短评内容': '服务环境什么的都不错、只是木材不太好有点小异味', '短评打分': 5}
{'短评内容': '非常满意\n环境很有特色\n服务也很到位\n位置也比较好\n安静\n', '短评打分': 5}
{'短评内容': '很不错的客栈，地理位置不错古色古香，服务员特很热情。就是节假日价格比较高。平日应该是性价比很高的。', '短评打分': 5}
{'短评内容': '有家的感觉，客栈的服务员热情、周到。下次还住你们家，谢谢！', '短评打分': 5}
{'短评内容': '酒店服务很好，房间很有特色，唯一不足是一楼房间比较潮湿', '短评打分': 5}
{'短评内容': '交通很方便。住宿环境很安静。服务人员服务很好。连住三天。每天都来收拾房间。', '短评打分': 5}
{'短评内容': '房间还是挺好的，服务也很热情，酒店的交通还是挺方便，但是价格还是稍微贵了些。', '短评打分': 5}
{'短评内容': '＋小院环境不错，但离游览区远了点', '短评打分': 5}
