{'短评内容': '环境还行，离火车站很近，周边很多吃的', '短评打分': 4}
{'短评内容': '酒店位置很好，在火车站附近，出行很方便，有停车位', '短评打分': 4}
{'短评内容': '位置方便，其它一般', '短评打分': 3}
{'短评内容': '位置很好，在火车站对面，房间大，性价比高', '短评打分': 5}
{'短评内容': '酒店不错，位置好，卫生好', '短评打分': 5}
{'短评内容': '价格便宜，房间有点小。', '短评打分': 5}
{'短评内容': '环境卫生都很不错，距离车站很近，景点也离得不远', '短评打分': 5}
{'短评内容': '还不错，就是稍微有点吵', '短评打分': 5}
{'短评内容': '卫生好，吃、交通方便，正对火车站。', '短评打分': 5}
{'短评内容': '不错，安静', '短评打分': 5}
{'短评内容': '个人感觉不错，离火车站很近，过马路就是，出门就是共交车站，出门向右直走，过十字路口马路斜对面，就是客运总站。卫生我认为可以。', '短评打分': 5}
{'短评内容': '酒店位置方便，对面就是车站，公交也很多。房间设施不错，住着挺安静的。', '短评打分': 5}
{'短评内容': '干净整洁，环境不错，下次还会光顾！！！！', '短评打分': 5}
{'短评内容': '电视不错，服务很赞', '短评打分': 5}
{'短评内容': '环境好，服务也好_，赞一个', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '前台接待很漂亮热情服务周到', '短评打分': 5}
