{'短评内容': '无', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '交通便利，房间洁净、舒适。', '短评打分': 5}
{'短评内容': '酒店位置很好，设施尚可。是一个出差不错的选择', '短评打分': 5}
{'短评内容': '早餐挺好吃的 特别是牛腩粉', '短评打分': 5}
{'短评内容': '房间干净，用品很新鲜，服务也很好，价格不贵，值得入住', '短评打分': 5}
{'短评内容': '还可以，很好～很好～很好用～很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '一直住这儿，环境早餐都可以吧，比我原来的协议价低', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '性价比不错，位置很好，适合做建材出差的人。特别是这个价还含早餐，牛腩粉好吃。', '短评打分': 5}
{'短评内容': '挺不错的，不过早餐没上次的种类多了。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '总体上还行', '短评打分': 4}
{'短评内容': '1.房间卫生间不怎么干净  2.房间WIFI网速太慢了，打开网页很卡  3,早餐到早上9点半基本上没什么东西吃  ', '短评打分': 4}
{'短评内容': '性价比高～～～～～～～～', '短评打分': 4}
{'短评内容': '还可以，早餐满意。。。。', '短评打分': 4}
{'短评内容': '地处城中，闹中取静，办事方便。', '短评打分': 3}
{'短评内容': '房间宽敞，卫生整洁。', '短评打分': 3}
{'短评内容': '在贵港算不错的宾馆，服务很全面，下次还来', '短评打分': 5}
{'短评内容': '酒店不错。设施很新。晚上很安静', '短评打分': 3}
{'短评内容': '很不错的一个酒店，价格也不高，挺干净安静', '短评打分': 5}
{'短评内容': '房间布置挺古朴的，卫生很好，服务也不错，住的还比较舒适。', '短评打分': 5}
{'短评内容': '服务上挺有礼貌，办事挺周到，房间挺干净，出行购物也挺方便的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店周边挺繁华的，附近有商场有广场，交通也挺便利的。', '短评打分': 5}
{'短评内容': '我觉得还不错，房间挺干净的，设施也齐全，住的挺舒适的。', '短评打分': 5}
{'短评内容': '宾馆的房间整洁干净，空间也不小，感觉蛮舒服的。', '短评打分': 5}
{'短评内容': '客房装修的很温馨，配套设施齐全，使用效果也不错，感觉像家一样。', '短评打分': 5}
{'短评内容': '价格很实惠，服务员都挺热情的，宾馆的早餐也不错。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施也很新，地理位置不错，下次如果在附近出行，还会入住的。', '短评打分': 5}
{'短评内容': '酒店的整体还可以的,位置不错的,坐车很方便的,服务卫生以及设施都可以的,性价比还可以的酒店的', '短评打分': 5}
{'短评内容': '这家酒店地理位置挺好，交通很方便。价格适中且含早，解决附近早餐不太方便的问题。但是2号楼跟1号楼不在一个院子里面，不方便，也有安全隐患。建议住客指定要住1号楼，即主楼。', '短评打分': 5}
