{'短评内容': '酒店很干净整洁舒适 老板娘还帮忙规划了登山路线 酒店内就有特色美食   酒店离南大门很近  非常喜欢超赞的一家店', '短评打分': 5}
{'短评内容': '房间很干净，整齐，很舒服', '短评打分': 2}
{'短评内容': '不错，离换乘点很近，只是我不知道他们会免费接站，没有享受到，可惜。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '房间干净，离换乘中心5分钟的路程，服务态度也很好。', '短评打分': 5}
{'短评内容': '没有入住', '短评打分': 5}
{'短评内容': '国庆期间，价格偏高，不过可以理解，酒店靠马路，早上四点多就开始有噪音，不能好好休息，第二天一早就退房上黄山旅游了。热水供应很一般，时有时无，希望能改善。', '短评打分': 3}
{'短评内容': '酒店不错，服务态度很好，黄山商务出行首选', '短评打分': 5}
{'短评内容': '不是很理想，希望店家对客户进行改造，客户体验不好，其他都好', '短评打分': 3}
{'短评内容': '步行就可到达黄山的登山大巴，周边环境很好，有街区。', '短评打分': 5}
{'短评内容': '不错呢，老板也热情，这个价格非常合理', '短评打分': 5}
{'短评内容': '房间设施太差啦，房间不隔音，床中间塌下去啦，睡的很不舒服，晚上是什么风机声音太吵啦，受不了，以后再不会住啦，受不了啦。', '短评打分': 1}
{'短评内容': '不怎样', '短评打分': 3}
{'短评内容': '酒店设施平平，服务态度好', '短评打分': 4}
{'短评内容': '物美价廉，挺干净的，房间的窗面对山，服务态度也很好。', '短评打分': 3}
{'短评内容': '服务很差的酒店', '短评打分': 2}
{'短评内容': '服务很差的酒店', '短评打分': 4}
{'短评内容': '地理位置很好，就在黄山脚下，价格超实惠，老板娘人很好。特别推荐的是就带你的菜很好吃，入住酒店价格还可以优惠！', '短评打分': 5}
{'短评内容': '服务到位，价格合理，酒店位置佳。只是给我们介绍的包车价格高，早餐也简单。', '短评打分': 5}
{'短评内容': ' 酒店价格还行，就是卫生条件有点差', '短评打分': 3}
{'短评内容': '很不错的酒店，值得推荐，老板人很好很热情，顶下！！！', '短评打分': 5}
{'短评内容': '宾馆离黄山南大门只有7,8分钟的走路距离 好像是离大门最近的一家酒店了 老板很热情 免费接送 还帮忙找车 \n定的三人间 因为价格很便宜所以对房间并没有什么太高的要求 结果住进去之后真心觉得太值了 房间很大 还有隔间 被子很舒服 也提供一次性洗漱用品 总之很推荐啦！', '短评打分': 5}
{'短评内容': '环境不错 老板也很热情的 吃饭学生还可以打折  真心不错的额 ', '短评打分': 5}
