{'descr': '老板很好，很给力，老板很实在。', 'star': 5}
{'descr': '酒店服务到挺好，但是感觉携程太垃圾，冲着返现去订的酒店，结果是各种坑，只希望大家再次定酒店的时候一定要看仔细各种坑，给携程差评', 'star': 4}
{'descr': '还可以该有的都有', 'star': 5}
{'descr': '房间很潮湿，有点霉味，国庆没办法，其他家没有对比不知道怎么样，估计差不多，就这样吧，', 'star': 4}
{'descr': '有专门的停车场，老板非常热情，离周庄很近', 'star': 5}
{'descr': '环境挺好，距离周庄300米，', 'star': 5}
{'descr': '客栈老板人不错，热情，守信，提前联系我接站，而且在我告知其车次时间后提前就在车站候着我了，后得知我下车点更改后又赶赴过来，赞。办理入住手续后专业性地跟我说景点游玩路线次序，哪里取票。客栈附近吃饭地儿巨多，离景点入口很近，取票口及古牌楼景区入口也不算远。', 'star': 4}
{'descr': '我们住的是一楼的房间，还算干净，但床比较小，距离检票口较近。到周庄汽车站的时候，店主派人来接的我们，但是回程的时候店主就不送我们去汽车站了，结果自己打车去的。当时明明看到其他人的评价是往返接送，所以没送站觉得很不爽，提醒下打算预定的朋友问清楚。', 'star': 4}
{'descr': '床有吱吱的声音，别的都还好。', 'star': 4}
{'descr': '除了卫生条件有些堪忧，其他都很好。房间格局合理。外部环境也很好，夜景很好看，地理位置也非常合适，离景点很近', 'star': 5}
{'descr': '这个位置离周庄入口很近，老板很热情。门票什么的都可以在这里买，只是对于出行讲究的人来说由于是家庭旅馆设施肯定是不如酒店的，但在周庄这个地方基本上都是家庭旅店还是不错的。特别是地理位置很好', 'star': 5}
{'descr': '位置很不错就在景区外面 步行大概5mins距离。到周庄客运站时 老板出来接的。 床挺舒服的 就是厕所简陋了些。', 'star': 4}
{'descr': '特别好 ！', 'star': 5}
{'descr': '房间挺大的，空调电视洗澡什么的都齐全，比较干净，也很安静，距离周庄仅需两分钟。话说周庄有证件是可以免票的。', 'star': 5}
{'descr': '还不错，离景区近，带着老人可以随时出来休息。一楼两间大床房，有一间卫生间设施旧了些，挺干净的，只是房间外面不知是什么，总有点泔水桶的味道。老板人不错，还有停车场。', 'star': 5}
{'descr': '酒店环境清幽，宁静。距景区入口3分钟，出门吃饭、闲逛方便。主人热情，亲自来带领我们到店入住，并传授攻略?', 'star': 5}
{'descr': '装修特别好', 'star': 5}
{'descr': '环境不错，距离景点很近，停车也方便，老板也很热情。', 'star': 5}
{'descr': '老板很好哇，不错的客栈', 'star': 3}
{'descr': '不知道是不是因为离水太近，房间太潮，拖鞋不是一次性的，不敢给孩子穿，感觉房子挺旧。', 'star': 1}
{'descr': '简单/干净.老板人很好.去车站接了我们.位置去景区非常便利.', 'star': 5}
{'descr': '老板人很不错，非常热情啊。是一个家庭旅馆，设施简单，但是蛮干净的！', 'star': 5}
{'descr': '挺好，房间不错', 'star': 3}
{'descr': '居住环境以及服务都很好……', 'star': 3}
{'descr': '还可以。旅游景点这个价位可以接受。如果网络设施更健全就更好了', 'star': 5}
{'descr': '刚刚回到家乡，便来评价一下预定的各个酒店宾馆。周庄鑫盛客栈位于周庄景区门口马路斜对面，距离景区只有两分钟的路程。景区内的客栈也很多，但是游人太多很吵闹也很潮湿，所以很庆幸选了这家客栈。客栈提供免费接站服务，从周庄长途车站把我们接到客栈里，安排了一间大床房，掌柜很热情也很实在，不收押金直接结账，很爽快。并热情地指导我们游览周庄的注意事项。房间干净整洁，虽然比不上连锁酒店的设施，但也五脏俱全，有热水空', 'star': 5}
{'descr': '客栈挺好找的，延着新牌楼直走，老板会在路边等着你。老板和老板娘都很热情，无线网络很给力，热水器也挺热的。很不错，就是房间的门锁让人看着不放心，希望老板改进，谢谢！', 'star': 5}
{'descr': '房东热情。好的', 'star': 3}
{'descr': '客栈老板服务态度好.可以打电话老板来车站接.环境简朴干净.不错', 'star': 3}
{'descr': '房间好小 ，空调不能制热，还有蚊子，没有休息好', 'star': 3}
{'descr': '还行，不过做为民居260着实不便宜。交通还算便利。就是老板不给开发票。', 'star': 5}
{'descr': '还行，不过做为民居260着实不便宜。交通还算便利。', 'star': 5}
{'descr': '这家店在景区的外面，有停车的地方，老板也不错，还给我们地图告诉我们周庄怎么玩。周庄不大，从客栈到售票处也就十来分钟路，门票还可以三天内免费进出，很不错，周庄的确挺美的。不知道是不是因为国庆节期间吃的超贵，景区里和景区外一样的价，景区里有家店还有一百以下不让点，最普通的西红柿蛋汤都是１５元以上，有家早餐店不错，在景区外，永和豆浆旁，豆浆，花卷，包子都不错，挺好吃的。', 'star': 5}
{'descr': '条件一般，但老板服务态度还行', 'star': 3}
{'descr': '酒店设施一般，毕竟是民宿，要求不要太高了，老板很热情，像其他网友描述的一样，出来用车接到酒店门口的，人很实在的。', 'star': 5}
{'descr': '还可以。老板也热情，就是到早上空调被关了。', 'star': 1}
{'descr': '环境还不错，就是有间空调坏的，也算是物有所值', 'star': 3}
{'descr': '房间比较小。别的还好，，老板还是满客气的，', 'star': 5}
{'descr': '不错.房间小点.卫生间干净.有认何问题或要求,老板都很好地解决.', 'star': 3}
{'descr': '找了好久才在一个小巷子里找到，花了260住了只值50的旅馆，实在不敢恭维，晚上睡觉更是折磨人，反正我没睡着，悔得肠子都青了。', 'star': 1}
{'descr': '老板人很热情，很健谈\n老板娘厨艺不错，进他家门会被卤猪蹄的香味吸引\n', 'star': 5}
{'descr': '很朴实的家庭旅馆，离古镇入口走路只要三四分钟，楼上有个天台，适合天气好的晚上看星星。老板人很好。', 'star': 3}
{'descr': '地段好，出行还算方便，而且周边公车出租车都挺方便打得到，客房内设施及卫生做得很好.', 'star': 5}
