{'短评内容': '同等价格，有点差了，也是因为比较老了，只能说方便一些。', '短评打分': 1}
{'短评内容': '位置很好安全有停车场，住宿要求不高的话值得一去。', '短评打分': 5}
{'短评内容': '挺干净的 而且离泉城路 趵突泉都很近 总之还不错', '短评打分': 3}
{'短评内容': '交通较方便，设施一般。广告牌上写88元，我网上订118元，服务员解释：那是很早的事了，我怀疑是否订贵了', '短评打分': 3}
{'短评内容': '离大明湖呀！趵突泉呀都很近，价格也挺合理的，不错不错 强烈推荐', '短评打分': 5}
{'短评内容': '酒店服务还不错，也挺干净的，性价比比较高。适合商旅', '短评打分': 5}
{'短评内容': '优点： 价格比较便宜，离泉城路和泉城广场很近，晚上自己溜达着回去就行\n\n不足：两位前台，其中一位（带眼镜的）不是很好，不是态度差，而是冷漠，就是你问什么都是不知道，你让她弄什么都是让你自己弄。\n\n     早晨挺吵的，车来车往的噪音很大（北面的房价），不知道南边的会不会好些。', '短评打分': 5}
{'短评内容': '第二次住了，价格很合适，离泉城广场算是很近，还有早餐提供虽然早餐简单了些。', '短评打分': 5}
{'短评内容': '很差劲，差劲透顶，马桶不下水，空调没有风，地毯到处都是洞，但是好歹有地方睡觉就行了', '短评打分': 1}
{'短评内容': '住房条件比较差，设备陈旧，而且服务员（特别是上午）态度差，附近还有一个工地。', '短评打分': 1}
{'短评内容': '环境还可以，在济南这种消费也算合理，就是地点太偏了些，特别不好找，在济南机场打出租在市里转了好多圈都没找到。最后还是打电话才找到的，还有一大特点就是每天下午会送次水果，在客人不在房间的时候送进去，所以如果你不想他们未经同意进入你的房间，还是要提前打招呼的好。总体来说还不错，安静干净。满意！', '短评打分': 5}
{'短评内容': '地段和价格的性价比很高，但总体居住环境没有跳脱出招待所的范畴，厕所有异味，不过这么说可能有点过于挑剔了，毕竟是穷游，可以打到7分以上吧。', '短评打分': 5}
{'短评内容': '价格 算合适的 离泉城广场泉城路挺近  设施老了一些 但 是实体墙蛮好', '短评打分': 5}
{'短评内容': ' 良好', '短评打分': 3}
{'短评内容': '环境较好 交通方便', '短评打分': 3}
{'短评内容': '经济实惠，房间设备较旧，但很宽敞，招待所闹中取静。虽有电脑，但寿命最起码有8年了', '短评打分': 5}
{'短评内容': '还可以吧，这个价钱的相当不错了，就是地方不是很好找啊', '短评打分': 5}
