{'descr': '走廊很小,还很暗,但是房间还不错,比较干净,总体还算满意', 'star': 3}
{'descr': '位置不错，酒店性价比不错，床很舒服，下次还会考虑入住', 'star': 5}
{'descr': '房间贼拉暖和，需要增加挂毛巾的地方，卫生间应该加个门。价格再低点更好。', 'star': 5}
{'descr': '服务基本可以，就是地毯太脏，好久没清洗了，希望卫生加强。', 'star': 1}
{'descr': '房间布置独特，干净；地理位置不错，距离火车站和购物广场很近，最值得推荐是网络畅通，好！下次出差，还入住这家酒店。', 'star': 5}
{'descr': '环境和条件还好！但是周边环境也还可以！距离火车站比较近！价位也还不错！', 'star': 5}
{'descr': '房间还算干净，也比较有特点，就是房间面积小些有些活动的朋友施展不开\n但是自己入住还挺温馨的，个人觉得还是不错的经济型酒店，有机会还会入住的。', 'star': 5}
{'descr': '位置不错，很好找，就在广场边，但是酒店的房间的地毯味道太大了，一晚上开着窗还没散，呼吸都困难了！', 'star': 1}
{'descr': '性价比相当高的商务酒店，房间设施堪比三星', 'star': 5}
{'descr': '性价比较高。但是作为商务酒店，网速实在不匹配。', 'star': 5}
{'descr': '宾馆交通比较方便，离火车站不远，单房间比较小。', 'star': 3}
{'descr': '性价比很高，房间大、床大很软很舒服，而且可以延迟到2点退房。\r\n\r\n下次去还会再住。', 'star': 5}
{'descr': '时尚和安静，觉得很不错的，就是房间小了点，但是要是换个心情，觉得紧凑的也是一样的美，什么都不耽误', 'star': 3}
{'descr': '以前就住过，不错，蛮温馨的！', 'star': 5}
{'descr': '刚入住、，第一印象还不错。房间也大。推荐！！！', 'star': 5}
{'descr': '设施陈旧，毛巾上还有窟窿呢，希望能在这方面有所提高。', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '＋不错。虽然服务台不起眼，房间到还宽敞，住着舒服。', 'star': 5}
{'descr': '很温馨的一个宾馆，卫生干净，装修到位，除了房间比较小其他的都很不错', 'star': 5}
{'descr': '非常不错，够大，就是房间有味道，其他都很好！！', 'star': 5}
{'descr': '酒店位置较偏，出入不太方便；房间小，很拥挤；配套服务稀少，但房费便宜。', 'star': 5}
{'descr': ' 环境非常不错，性价比高，下次还会过去！！', 'star': 5}
{'descr': ' 环境非常不错，性价比高，下次还会过去！！', 'star': 3}
{'descr': '还不错  就是房间有点小  下次住天籁房看看', 'star': 5}
{'descr': '位置很好，离火车站步行大约10分钟，很方便。客房内装修及设施非常人性化，不奢侈但很亲切。网上预订很方便也很经济，总体感觉很好，下次来长春还会选择本店。', 'star': 5}
{'descr': '服务员服务态度不错 这次房间也不错 唯一一个缺点:网速太慢 下载才几k的速度。希望改善！', 'star': 3}
{'descr': '如果去火车站或者客运站，不错的住处.如果逛街出门离长江路也很近哦', 'star': 5}
{'descr': '地理位置比较优越 离车站近 服务人员热情！', 'star': 5}
{'descr': '环境还算整洁，只是附近实在没找到啥吃饭的地方。。。。。。', 'star': 3}
{'descr': '房间太小，距火车站不远，还可以。', 'star': 3}
{'descr': '优势离火车近，缺点房间比较小，没有性价比。', 'star': 5}
{'descr': '环境太差', 'star': 1}
{'descr': '还是天籁房好。', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '位置挺好找的，到火车站很方便~~', 'star': 5}
{'descr': '网络不通.说是外网问题,可我ping不通网关.(声明:兄弟我是网络工程师,一年到头几乎都在外面).晚上六点后要吃饭就打车去外面吧,酒店不提供!', 'star': 3}
{'descr': '房间蛮小的。住的门市价RMB159的印象A。不知道RMB122印象B能小成什么样子。卫生间也不是干湿分离的。周围是老式居民区。但是离长江路步行街不远。总体还行了。呵呵。', 'star': 5}
{'descr': '酒店实际入住客人很少，房间有些潮.位置有些偏.不太好找.其它各方面一般.', 'star': 1}
{'descr': '干净卫生，设施好，服务态度也挺好，性价比很好。\r\n', 'star': 5}
{'descr': '房间太小了。网络根本无法使用', 'star': 1}
{'descr': '首先，从地理位置上讲，距离火车站不远，打车5块钱。交通还算便利。但是，所处的位置吃饭不方便，周围没有合适的饭店，而且看起来周围环境也很落后。酒店整体装修风格简约舒适，干湿卫生间能分开我很喜欢。而且客房还算干净，只不过从窗口看出外面都是一些破旧的平房什么的，风景不好。下次去长春还会考虑住那里。', 'star': 5}
{'descr': '位置好，设计独特，如果价格再合理一些就更完美了。', 'star': 5}
{'descr': '房间太小。电视不好。网线根本上不了网。。。就地址好。离车站近。', 'star': 1}
{'descr': '房间卫生很差地点也不是太好吃东西不方便', 'star': 1}
{'descr': '总体感觉一般', 'star': 5}
{'descr': '挺干净的，房间里有阳光，交通便利，唯一的缺点就是吃饭不太方便，附近没有什么吃饭的地方，其他都很好', 'star': 5}
{'descr': '连锁酒店还有待发展～早餐太一般了', 'star': 5}
{'descr': '位置还好，离火车站和办事的地方较近。价格还算实惠，交通便利。', 'star': 5}
{'descr': '我住的是天籁的房间，房间在拐角那边，屋子空间比较大，30多平应该。主要说说缺点吧，地毯很脏，但能理解因为有的污垢是不能清除的，但给人的印象还是不好的。酒店其他方面都很优秀。', 'star': 5}
