{'短评内容': '环境好，设施齐全！', '短评打分': 5}
{'短评内容': '酒店设施很差！床垫已经坍塌了还给客人使用！房间电话也是坏的！给前台打电话报修前台告知你坏了就坏了！就把电话挂了！这样的酒店还是不住为妙！', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '方间设施太差，被子黄黄的，卫生间狭小。', '短评打分': 3}
{'短评内容': '早餐一般般', '短评打分': 3}
{'短评内容': '物美价廉，值得购买，首选-狗-东', '短评打分': 5}
{'短评内容': '物美价廉，值得购买，首选-狗-东', '短评打分': 5}
{'短评内容': '第一次房间空调坏了 给换的房间电视又只有一个台 但是态度很好 希望下次房间可以空调和电视都是好的 谢谢', '短评打分': 5}
{'短评内容': '条件一般，位置不错', '短评打分': 4}
{'短评内容': '非常好方便………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '房间不算大，卫生也还可以，主要是方便', '短评打分': 4}
{'短评内容': '我们是去儿童医院的，比较方便。价格也很实惠', '短评打分': 4}
{'短评内容': '偶买噶，谁去谁知道', '短评打分': 4}
{'短评内容': '不错 方便', '短评打分': 4}
{'短评内容': '不错 方便', '短评打分': 4}
{'短评内容': '不错 方便', '短评打分': 4}
{'短评内容': '酒店很新，位置很好，离观前街很近，酒店服务员态度很好', '短评打分': 5}
{'短评内容': '还好，隔音效果实在不好，隔壁的电视声和说话声都能听的很清楚。', '短评打分': 1}
{'短评内容': '优点：离苏州儿童医院比较近，缺点：设施陈旧，服务没有', '短评打分': 5}
{'短评内容': '＋隔音真的很一般早上很闹', '短评打分': 3}
{'短评内容': '房间比较小，环境还行，就是被子很薄，看着不太干净。不过价格算是比较便宜的吧', '短评打分': 5}
{'短评内容': '房间还不错,吃饭也方便,\n就是空调不太好,有些冷', '短评打分': 5}
{'短评内容': '酒店整体还可以，距离观前街不远，周边满热闹的', '短评打分': 1}
{'短评内容': '地点好，离观前近。环境也还好，连续住了3天， 就是房间有点点小。', '短评打分': 5}
{'短评内容': '不错，很温馨', '短评打分': 3}
{'短评内容': '还比较安静，但是电源插头离桌面距离太近了，笔记本电源插座都没法插，给前台要插座都没有，太不人性化了。没吃早餐，考到价钱涨到了15元，不知道怎么样', '短评打分': 1}
{'短评内容': '还不错，就是白天水温不稳定。。。挺干净的。。。墙上贴的东西很可爱。。。', '短评打分': 5}
{'短评内容': '酒店离观前挺近的，环境很温馨，闹中取静，价格适中下次还会去。', '短评打分': 5}
{'短评内容': '别的都还可以，就是水温太底了，到早上基本没什么热水', '短评打分': 3}
{'短评内容': '很规矩的一家酒店 有一点很奇怪 房间内的电话只能房间之间打 没外线 外面也打不进来\n这点有点罕见  其他的还好 离观前街走着15-20分钟吧', '短评打分': 5}
{'短评内容': '环境挺好的，卫生也不错，性价比蛮高的哦，下次还会住的，离步行街也不远', '短评打分': 5}
{'短评内容': '地理位置与内部环境还可以，服务态度也还行，就是晚上吵了点。', '短评打分': 5}
{'短评内容': '我己在凯华世家酒店入住、住4间', '短评打分': 3}
{'短评内容': '房间蛮清洁的，也蛮舒适的。东西也挺齐全的。价格也合理。好像我们定的那间空调制热有点问题。', '短评打分': 5}
{'短评内容': '环境还是不错的，就是拖鞋有点薄，还是希望能改进下。', '短评打分': 3}
{'短评内容': '1,环境不错！\n2，交通便利；\n3，服务周到！\n4，就是洗澡水温偏低', '短评打分': 5}
{'短评内容': '很不错的酒店，我比如家温馨！...................................................................', '短评打分': 5}
{'短评内容': '1,干净卫生，整洁！\n2，服务热情！\n3，位置便利！', '短评打分': 5}
{'短评内容': '太小了，简直是无法忍受的小，仅仅位置是不错的', '短评打分': 1}
{'短评内容': '不错的呀，外面的小吃挺多，感觉挺好~就是服务员速度有点慢耶', '短评打分': 5}
{'短评内容': '酒店很干净，服务很热情，交通方便，出门不远处就有公交车站，去火车站，虎丘等景点都有车，下次还会选择这里', '短评打分': 5}
{'短评内容': '还好吧，比较方便，下次去苏州还住那,离观前街很近的！', '短评打分': 5}
{'短评内容': '还不错，服务很好…就是太吵了…', '短评打分': 3}
{'短评内容': '比较实惠', '短评打分': 3}
{'短评内容': '比较干净，价位合适，用餐方便，离商业街观前街很近', '短评打分': 5}
{'短评内容': '还算不错，挺实惠，就是小了点，另外旁边有个小学，白天挺吵的。', '短评打分': 3}
{'短评内容': '和上半年住感觉有点差别了，特别是房间的被单什么的都感觉有点脏脏的，而且沐浴露有点发臭的问题，后来请值班人员换了点才敢用，希望能够改善。。。。', '短评打分': 5}
{'短评内容': '发生不愉快的事，我给了300押金，结果夜里10点打电话给我，说我少给了100。真是郁闷！！！', '短评打分': 5}
{'短评内容': ' 今天入住 环境可以', '短评打分': 3}
{'短评内容': '房间不干净，被子上还有霉斑,房间离前面的房子超级近，很不舒服', '短评打分': 1}
{'短评内容': '房间有点小，不过挺干净的！不错！', '短评打分': 3}
{'短评内容': '还算清静', '短评打分': 3}
{'短评内容': '一般吧，就是便宜，对面是个小学，我们是周末所以听安静的，卫生部是太好', '短评打分': 5}
{'短评内容': '位置不错，房间设施还可以，早餐实在是太差了，还不如没有！旁边有个小学早上有点吵。', '短评打分': 3}
{'短评内容': '酒店环境还好交通便利好!', '短评打分': 3}
{'短评内容': '一般，还可以吧，还是卫生间太小了呀，想2个人洗澡都不行！', '短评打分': 1}
{'短评内容': '由于是国庆期间，房间比较紧张，能够订到房间已非常不容易，相对而言，这个酒店位置稍微偏了点，不过胜在交通还算方便，对出行不会造成影响。房间也是比较紧凑的，不过布置风格相对而言不是我很喜欢的。不过这个是个人喜好问题了。总体还是OK的。', '短评打分': 5}
{'短评内容': '装饰很可爱,干净卫生，很值得推荐！！！！', '短评打分': 5}
{'短评内容': '环境还不错，就是我住的那个房间跳了一夜的闸，早上起来却好了…', '短评打分': 3}
{'短评内容': '我们是十一去苏州玩的，人特别多开导航很快就找到了，房间有点小。', '短评打分': 5}
{'短评内容': '1,位置不错！\n2，交通便利\n3,fuwu zhoudao !\n建议参考', '短评打分': 5}
{'短评内容': '1，很好 ；；2，位置不错； \n3，价格合理经济实惠；', '短评打分': 5}
{'短评内容': '什么都还可以，就是房间太小了，要是房间能在大一些就好了。', '短评打分': 5}
{'短评内容': '地理位子很好！去观前也近，门口的公交站能去好多景点！', '短评打分': 5}
{'短评内容': '1,环境卫生不错！\n2，位置优越！\n3，服务灵活！\n但是电视在做进步升级会更佳', '短评打分': 5}
{'短评内容': '房间很温馨', '短评打分': 3}
{'短评内容': '还好，环境不错。\n卫生条件也可以。\n空间有点小，不过还是挺好的。', '短评打分': 5}
{'短评内容': '房间环境感觉很温馨…位置好…去玩的公交车很方便哦…', '短评打分': 3}
{'短评内容': '房间装饰的倒挺卡哇伊的。就是隔音效果太差。住了两晚都吵的睡不着。还有半夜竟然有人敲门!!!', '短评打分': 1}
{'短评内容': '床大，很舒适，如果下次去苏州还是会去这家酒店', '短评打分': 5}
{'短评内容': '服务很好，交通也很便利。和介绍的一样.很满意', '短评打分': 5}
{'短评内容': '这个价格，只能这样了，电压不稳定，晚上总响，硬件设施也一般..不过橙色的调调感觉还是不错的....卫生也一般...', '短评打分': 5}
{'短评内容': '凯华世家酒店位于苏州市中心，离大洋百货和观前街只有“一步之遥”非常适合苏州购物休闲旅游。酒店服务很好，设施完备，干净整洁。。。闹中取静，物美价廉！', '短评打分': 5}
{'短评内容': '条件一般,去旅游的,位置还好,,,,,吃饭也算方便', '短评打分': 1}
{'短评内容': '酒店不错，简单但不简陋，周围环境也很好，闹中取静，里市中心观前街也很近', '短评打分': 5}
{'短评内容': '房间太小，床单不干净！', '短评打分': 3}
{'短评内容': '还好，交通很方便，离周围的景点也很近。很好。', '短评打分': 5}
{'短评内容': '环境很好，从前台到客房的服务都很好。地段也很好。', '短评打分': 5}
{'短评内容': '很干净很便宜，地点也方便去很多地方\n性价比比较高', '短评打分': 5}
{'短评内容': ' 旅馆就在景德路边，很好找，房间挺干净，感觉不错。', '短评打分': 3}
{'短评内容': '说实话卫生不是很好，毛巾有些脏，地垫也不是很好，位置还可以吧', '短评打分': 3}
{'短评内容': '服务态度一般吧 其他还行 管理还需改善 感觉不是很值这个价', '短评打分': 5}
{'短评内容': '酒店很干净,而且交通方便,很满意,推荐这里', '短评打分': 3}
{'短评内容': '酒店挺干净，住的很舒服', '短评打分': 3}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '6环境不错', '短评打分': 3}
{'短评内容': '非常不错的地方。地理位置好，价格实惠，酒店设施不错～', '短评打分': 5}
{'短评内容': '我觉得挺好的，设施也还好吧，没有什么不方便的，而且它的地理位置特别好，靠观前街', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间确实有点小，服务员少，其它还行……', '短评打分': 3}
{'短评内容': '应该说这根本算不上酒店，简陋得一塌糊涂，牙刷柄像纸一样的薄，根本没法用，电视纯粹是古董级，靠近马路边吵死了，平生第一次把耳朵塞起来睡觉，强烈建议去品牌连锁店，这就是一小旅馆！', '短评打分': 1}
{'短评内容': '         酒店真的不错，房间，卫生间都很干净！而且地理位置很好啊，去哪里都很近的！！！！！！', '短评打分': 5}
{'短评内容': '位置不错，跟观前街也比较近，但是住了一晚身上很多跳蚤包,房间很小，洗手台也没有，178的单间，性价比不高', '短评打分': 1}
{'短评内容': '如果你对噪音、气味、空间等没有任何要求的话是可以住的，，，，\n不光是马路上车流的声音，附近应该还有工厂，半夜会听到很大的钢铁的东西掉落的声音。', '短评打分': 1}
{'短评内容': '地理位置还不错，总的来说挺安静的，要是早上服务员能安静点就更好了，收拾东西的时候太吵了。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间不错，设施还行，挺干净的。。就是押金缴纳很奇怪。。。我觉得还不错，风格，装潢都比较新，但是会觉得卫生间有点小。。洗浴设施不是特别多。。', '短评打分': 5}
{'短评内容': ' 房间还行就是外面的学校有点吵', '短评打分': 3}
{'短评内容': '还不错，蛮好的', '短评打分': 3}
{'短评内容': '不错，价格和位置都不错，和网上看到的展示图片一致。不过和如家，七天等相比，卫生和服务方面 还有待提高。', '短评打分': 5}
{'短评内容': '便宜 交通方便离那些主要景点都比较近 房间设置都还好 就是挂机声音好大，窗户外就是学校，服务人员态度不算太恶劣 总之还不错', '短评打分': 5}
{'短评内容': '我感觉这个价位对于这个地段来说是很有竞争力的，算是干净卫生。不过楼下服务台那边的饮料这些跟高铁上的价格一样。我亲眼看到一帮人拿了一堆，开喝了再给钱，然后就傻眼了。所以嘛，还是辛苦一点出门再买饮料喝吧。', '短评打分': 5}
{'短评内容': '环境好，室内比较通风。有停车位，酒店服务员态度好，住的人挺多的，房间比较紧张。因此可能会被安排到非标准房，非标准房住着不舒服，不过酒店的服务态度还好，如果房间有空的话基本会满足客户需要的。', '短评打分': 5}
{'短评内容': '总的来说还是不错，交通比较便利，用GPS可以顺利的搜索到，对第一次到苏州自驾游的朋友来说是个不错的选择，价格适中，房间面积卫生的是在这个价位可以接受的', '短评打分': 5}
{'短评内容': '里面的毛巾，围巾用品消毒后最好能用真空包装，还有就是房间里的用品太少了，想用的时候没的用，很不方便。早上洗澡没有热水，这些需要改进。', '短评打分': 5}
{'短评内容': '位于市中心的经济型酒店，客房和服务都中规中矩；当时是看中门前可以停车的小院，房间面积不算大，但都整洁干净，卫生间陈设和设备都很新，使用方便；晚上安静，都很舒服地睡觉；开车去石路和观前街都在5分钟以内；一百多块的房价能这样，我很满意了！', '短评打分': 5}
{'短评内容': '环境还可以，一楼不要住有潮起 其他还好 价格很公道                                                                                                                        ', '短评打分': 5}
{'短评内容': '门口不是很大，招牌不是很明显，停车位比较少，设施、卫生条件都还不错，价格也不贵，地段好，出门很方便。服务员态度很热情。', '短评打分': 5}
{'短评内容': '房间还不错，环境也好，安静，\n周围吃饭也方便\n整体还不错，这个价位算可以了\n\n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '苏州凯华世家酒店环境还不错，条件设施比较齐全。', '短评打分': 5}
{'短评内容': '干净、舒适、附近就有小吃街。服务也不错。性价比好', '短评打分': 5}
