{'短评内容': '位置还行，早餐一般！', '短评打分': 5}
{'短评内容': '需要翻新，灯光昏暗，早餐简单', '短评打分': 5}
{'短评内容': '不怎么样，房间里面什么都没有', '短评打分': 2}
{'短评内容': '258豪华标间 不值这个价格 房间环境一般 枕头芯发黄 早上饭菜真心不好吃  车子停了一夜还要10元停车费 坑', '短评打分': 2}
{'短评内容': '环境还行，就设施太差，太旧，有的柜门都坏了', '短评打分': 3}
{'短评内容': '還不錯，比之前服務好很多', '短评打分': 5}
{'短评内容': '酒店房间设施一般，周围环境一般，交通出行比较方便，但是客人预定后房间安排不恰当，应该对先预定的客人安排较好房间，不过，客人提出要求后服务员服务态度还可以。', '短评打分': 3}
{'短评内容': '除了停车非常方便之外,其他完全不符合这个档次酒店的标准,在河南省的县城里同价位的酒店就属这一家差了,尤其是房间的卫生状况,想起来就觉得够了!不推荐!', '短评打分': 4}
{'短评内容': '还可以，交通便利，酒店好像比较老了', '短评打分': 5}
{'短评内容': '老酒店', '短评打分': 4}
{'短评内容': '环境不错，地理位置优越，出行方便，早餐网上报价10元每位，酒店加价20元每位，质量很一般，不值10元', '短评打分': 5}
{'短评内容': '酒店硬件不错，出门打车不方便。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好，不错！', '短评打分': 3}
