{'短评内容': '不错，每次从重庆走都住那，也比较方便', '短评打分': 5}
{'短评内容': '多次入住了，去机场首选。', '短评打分': 5}
{'短评内容': '在双龙老城区，自己单独一栋楼，环境挺好，主要是离机场好近，很棒', '短评打分': 5}
{'短评内容': '帮人预定！', '短评打分': 4}
{'短评内容': '入住等了一个小时！酒店比较旧！唯一就是离机场距离近！服务很一般！', '短评打分': 3}
{'短评内容': '酒店服务还要？', '短评打分': 5}
{'短评内容': '帮人订的，看评价不错，可惜没去住', '短评打分': 5}
{'短评内容': '不错 不错 还是可以的！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务态度很好，不错不错', '短评打分': 5}
{'短评内容': '还不错???', '短评打分': 5}
{'短评内容': '很不错的服务，临时更换了房型，很快就办理好了。', '短评打分': 5}
{'短评内容': '经济实惠&hellip;，房间太小', '短评打分': 5}
{'短评内容': '好好好？？！！！', '短评打分': 5}
{'短评内容': '来旅游，很不错的酒店有机会还会来这里入住', '短评打分': 5}
{'短评内容': '酒店豪华很好我很喜欢', '短评打分': 5}
{'短评内容': '有朋友亲戚来都定这儿', '短评打分': 5}
{'短评内容': '朋友满意', '短评打分': 5}
{'短评内容': '朋友还满意', '短评打分': 5}
{'短评内容': '值得入住，距离机场很近', '短评打分': 4}
{'短评内容': '离机场相当的近  酒店卫生还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度很好！周边环境很好，房间特别大', '短评打分': 5}
{'短评内容': '性价比高  不错', '短评打分': 5}
{'短评内容': '性价比高  不错', '短评打分': 5}
{'短评内容': '装修太久了！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常不错的酒店！服务态度也不错~特别是门口迎宾男生！行政房间空间很大 就是卫生间照明不够~', '短评打分': 5}
{'短评内容': '酒店离机场很近，也挺干净，早餐挺不错。\n因为离机场近，机场打的挺困难，司机脸色非常难看，说话也很难听，导致一路上心情非常不好。之前有一次过被司机拉到相反方向，紧急制止后中途下车，再打的回酒店，以至于对重庆印象极差。\n', '短评打分': 5}
