{'短评内容': '酒店环境很好，很好。但别在携程上订，直接去酒店还便宜', '短评打分': 5}
{'短评内容': '十分好  ', '短评打分': 5}
{'短评内容': '停车场非常大', '短评打分': 2}
{'短评内容': '只有二楼三楼，所以没电梯！带小孩想住高爬楼梯麻烦，房间有蚂蚁！大公路进去有点远，说离温泉五百米，应该是直线！走路最起码要二十分钟以上', '短评打分': 3}
{'短评内容': '多次入住，酒店有些歴史了，最早是二十年二前和老公蜜月來過的。雖然舊但干淨，清靜。', '短评打分': 5}
{'短评内容': '很不错……', '短评打分': 5}
{'短评内容': '很不错……', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '出差 干净 住的舒服', '短评打分': 5}
{'短评内容': 'Good...', '短评打分': 5}
{'短评内容': '套房不错', '短评打分': 5}
{'短评内容': '离温泉很近，不错，下次应该还会选择这里', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '交通方便，设施齐全，卫生整洁，房间舒适', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
