{'descr': '非常好', 'star': 5}
{'descr': '舒适满意', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '有停车场没有？', 'star': 5}
{'descr': '有停车场吗？', 'star': 5}
{'descr': '还可以，一般般', 'star': 5}
{'descr': '没住，网上房间照片与实地房间不一致', 'star': 5}
{'descr': '噪音很大，服务很好，价位定的有点高', 'star': 4}
{'descr': '一般的环境，而且168的房间太小了，感觉不好', 'star': 3}
{'descr': '房间很大，第三次住了，很舒服，不潮湿', 'star': 5}
{'descr': '很好，干净，住着舒服', 'star': 5}
{'descr': '对房间还是比较满意的，环境还是挺好。被子保暖性', 'star': 5}
{'descr': '那地方破的。当时我记得在前台登记入住的时候单独交钱、但是之前还特么让我携程上交的押金，半年了都特么没退给我，钱倒不是很多、只是这样的欺骗行为早晚得被人投诉。', 'star': 4}
{'descr': '酒店位置不是很好找，房间小', 'star': 5}
{'descr': '服务很好，环境不错', 'star': 5}
{'descr': '一', 'star': 1}
{'descr': '中午只能12退房。高房价脏乱差。', 'star': 1}
{'descr': '无论是环境还是服务，都还不错，就是感觉有点小~', 'star': 5}
{'descr': '环境挺不错的  价格优惠  服务态度也挺好的', 'star': 5}
{'descr': '房间很整洁，虽然小，不过设施都很新。唯一不好的地方是不能刷卡结账～', 'star': 3}
