{'短评内容': '环境不错，卫生也好', '短评打分': 5}
{'短评内容': '服务好，环境好', '短评打分': 4}
{'短评内容': '还行住的很舒服，还干净', '短评打分': 5}
{'短评内容': '差差差，脏脏脏……价值20元的旅馆！坑人！！！', '短评打分': 2}
{'短评内容': 'Wi-Fi速度水温空调/暖气酒店位置好', '短评打分': 5}
{'短评内容': '服务不错，设施老了一点。', '短评打分': 4}
{'短评内容': '很好，干净卫生，服务周到', '短评打分': 5}
{'短评内容': '酒店比较老了..不过不错!!住的还行..', '短评打分': 5}
{'短评内容': '环境可以干净整洁', '短评打分': 5}
{'短评内容': '安静不错啊安静不错安静安静', '短评打分': 3}
{'短评内容': '环境还不错，向阳，安静，干净。还可以的。', '短评打分': 3}
{'短评内容': '服务优，卫生环境优，下次过去还住。', '短评打分': 4}
{'短评内容': '怎么说呢，总体还不错，最大的问题就是隔音不好。隔壁的大姐一大早打电话，那个吵。。。', '短评打分': 5}
{'短评内容': '  416  418房间', '短评打分': 3}
{'短评内容': '卫生与居住条件很好，环境都很好，肃静。交通方便。', '短评打分': 5}
{'短评内容': '前台美眉很养眼，服务还行，硬件设施较老，至于网速嘛！QQ都登不上晚上，自己想有多烂！', '短评打分': 5}
{'短评内容': '很一般，档次也就跟快捷酒店相当，房间感觉潮湿，不是特别的干净。不过有停车场，自驾的相对方便一点', '短评打分': 1}
{'短评内容': '入住一晚，价格还行，房内设施齐全，可上网，就是设施比较旧。', '短评打分': 3}
{'短评内容': '还不错，挺暖和的,住过一个月了，其他的忘了', '短评打分': 5}
{'短评内容': '房间比较旧', '短评打分': 3}
{'短评内容': '服务态度良好.酒店环境也不错.如果到这里的朋友我推荐这一家还是很不错的.希望大家和一样把 旅途愉快', '短评打分': 5}
{'短评内容': '不好不卫生', '短评打分': 3}
{'短评内容': '设施很一般很一般,服务员态度还可以.', '短评打分': 3}
{'短评内容': '房间还算大，装潢有点陈旧，但实施还算完善，网速很好，性价比一般。', '短评打分': 3}
{'短评内容': '房间还可以   外观有点差   换了好几个房间  才能上网', '短评打分': 5}
{'短评内容': '房间装修一般，称不上4星，服务员普通话不行，交流略费劲，早餐说7.30开始，但7.45才有人打开餐厅门，现做，有待提高服务水准。', '短评打分': 3}
{'短评内容': '酒店还可以。餐厅的菜只能说是一般。', '短评打分': 3}
{'短评内容': '酒店一般，早餐是酒店规定的套餐，有点郁闷。', '短评打分': 3}
{'短评内容': '住了好几次了，还行吧，条件一般，餐厅太贵，别的还行', '短评打分': 5}
{'短评内容': '酒店设施比较新，也很干净价钱适中值得入住，唯一开票太麻烦不是在前台还要跑到后院', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店在商业区里，交通挺便利，前台服务挺有礼貌，房间挺干净，用品挺齐全，就是自费的多点。希望今后能改进一下。', '短评打分': 3}
{'短评内容': '位置挺不错，交通挺便利，服务态度挺热情的，价格也不算贵，住的挺满意。', '短评打分': 5}
{'短评内容': '这家酒店还不错，房间宽敞干净，服务态度很好，价格也挺合理，值得推荐。', '短评打分': 5}
{'短评内容': '酒店看着还比较新，服务卫生挺好，设施也挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '大堂不是很大，前台服务人员素质挺好，卫生挺好的，整体感觉还不错。', '短评打分': 3}
{'短评内容': '这家酒店第二次住了，还不错，下次来朔州还来这住。', '短评打分': 5}
{'短评内容': '前台服务态度还好，早餐挺丰盛，口味挺好，位置挺好，出行挺便利。', '短评打分': 5}
{'短评内容': '位置挺好，乘公交打车都挺方便，内部环境挺干净，让人感觉挺舒适。', '短评打分': 5}
{'短评内容': '住着还行，对得起价位。房间有电脑可以上网，就是早餐不怎么样，如果能加钱自己点就好了', '短评打分': 5}
{'短评内容': '房间还是挺宽敞的，朝阳的房间采光很好，感觉很舒适。', '短评打分': 3}
