{'短评内容': '算是周邊不錯的酒店，性價比還可以', '短评打分': 4}
{'短评内容': '算是附近周邊還不錯的飯店', '短评打分': 4}
{'短评内容': '总体来说还可以，费用不好，环境也不错', '短评打分': 5}
{'短评内容': '酒店老了一点，地毯空调一股味道', '短评打分': 3}
{'短评内容': '环境不错，停车方便', '短评打分': 5}
{'短评内容': '四星级酒店，还不错，环境优雅', '短评打分': 5}
{'短评内容': '啊啊啊啊七夕你的', '短评打分': 5}
{'短评内容': '还不错性价比比较高。', '短评打分': 5}
{'短评内容': '是？？？？？？？？？', '短评打分': 5}
{'短评内容': '还不错的酒店，周围交通方便，离机场候机楼很近。适合商务出差，性价比很高，下次还会入住的。如果早餐再丰盛些就好了。', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '非常舒适！', '短评打分': 4}
{'短评内容': '可以舒适，连续住了几天', '短评打分': 4}
{'短评内容': '舒适', '短评打分': 4}
{'短评内容': '可以舒适', '短评打分': 5}
{'短评内容': '这家酒店听附近朋友说还不错的，先住下在看看！', '短评打分': 5}
{'短评内容': '印象。。。太有历史的电视伤不起 ~~~~', '短评打分': 5}
{'短评内容': '住了好几次了，下次来还是会继续住~\n早餐不是很丰盛，但也OK了~', '短评打分': 5}
{'短评内容': '酒店位置还算不错 房间面积也挺大的 旁边有个不错的餐馆 ', '短评打分': 1}
{'短评内容': '我觉得是大朗性价比比较高的酒店，虽然是老酒店，但是我觉得内部比天域好，价格比天域低，但是如果又想高一级别的就要帝豪，但是帝豪贵两倍多，所以如果只是想住的舒适又不想太贵，这里是可以的', '短评打分': 5}
{'短评内容': '第二次入住了，还是住到第一次的房间~~房间没有窗户~~床挺舒服的，就是被子太保暖了，睡到半夜踢被子~上次入住就是这个原因感冒了~~(>_<)~~这次有备而来了~', '短评打分': 5}
{'短评内容': '走廊天花修理过没有搞好手尾.有些难看,酒店没有高档次的吃饭地方.', '短评打分': 1}
{'短评内容': '房间大，服务好。还可以。停车方便。而且出门就有KTV和足疗', '短评打分': 5}
{'短评内容': '服务不错，就是装修旧了一些，最夸张的是卫生间的毛巾都是破的，非常旧。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总之没有想象的好！', '短评打分': 5}
{'短评内容': '酒店的服务还可以，员工都比较热情周到，效率很高。', '短评打分': 5}
{'短评内容': '房间面积还是比较大的，比较宽敞舒适的酒店。', '短评打分': 5}
{'短评内容': '这家酒店的一些娱乐休闲设施比较全，环境舒适。', '短评打分': 5}
{'短评内容': '酒店的硬件配置设施都还不错，比较齐全达标的。', '短评打分': 5}
{'短评内容': '卫生做的很不错，房间比较干净舒适。像是被褥都非常整洁。', '短评打分': 5}
{'短评内容': '设施和位置还可以，价钱比较便宜，而且早餐是自助餐，比较实惠，其它的比较一般；', '短评打分': 5}
{'短评内容': '卫生设施还行，位置很好找，价格服务都还可以。', '短评打分': 5}
{'短评内容': '挺不错的一家酒店。物有所值。值得推荐', '短评打分': 3}
{'短评内容': '值得一住', '短评打分': 5}
{'短评内容': '网速好慢啊公司的邮箱都打不开下载才几十K其他啥都好！纠结啊', '短评打分': 5}
{'短评内容': '酒店的服务意识很好，环境也不错，床很软。但是网速太慢了发邮件加载附件都不行，对于商务出差的人来说很郁闷', '短评打分': 5}
{'短评内容': '第三次回来入住该酒店，上次是1年前，老酒店，约有6年了，但现在装修和细节翻新上比以前好了很多，听说是今年挂了管理公司进行管理。员工们都很热情，服务意识比以前强很多。我扔在地上的臭袜子在我回来的时候都发现洗好了挂在房间里。真是满意加惊喜啊。另外酒店的走廊里都以现时流行的主题来做装饰，我住的那楼的走道里都是世博会的图片，好像每层楼的都不一样呢。还有就是早餐也给了个惊喜，，酒店打着为爱看世界杯的客人争取', '短评打分': 5}
