{'短评内容': '价格合适的酒店 比较推荐', '短评打分': 5}
{'短评内容': '不错不错哈哈。物美价廉。不错不错哈哈。物美价廉。不错不错哈哈。物美价廉。不错不错哈哈。物美价廉。就是有点房间小。', '短评打分': 5}
{'短评内容': '早餐超赞，有超级好吃的虾饺，不用再去茶餐厅专门吃虾饺了，房间比较小，跟国内的没法比，但是床很舒服，跟老婆住的标间，一人一张床刚刚好。', '短评打分': 5}
{'短评内容': '公司旁边的酒店，以前都是公司账户订的，每次来都一样宾至如归', '短评打分': 5}
{'短评内容': '卫生可以，也很容易找到，有免费移动WiFi，但离地铁站也不叫太近，也走了七八分钟，房间也很小，优点就是离铜锣湾只有一个地铁站距离。', '短评打分': 5}
{'短评内容': '有早餐，有健身房，有游泳池，价廉物美', '短评打分': 5}
{'短评内容': '总体一般吧，个人比较注重酒店环境卫生，卫生比较差。', '短评打分': 3}
{'短评内容': '不错，房间不算小，设施齐全，早餐令人满意！', '短评打分': 5}
{'短评内容': '非常好的酒店，建议来港住这里', '短评打分': 5}
{'短评内容': '还好，算方便吧', '短评打分': 5}
{'短评内容': '超级无敌的好，下次还这家', '短评打分': 5}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '房间环境舒适安静，交通方便，确认速度快，售后服务好', '短评打分': 5}
{'短评内容': '确认块。就是售后差一些', '短评打分': 5}
{'短评内容': '很好，周边就有翠华和seven-eleven', '短评打分': 5}
{'短评内容': '酒店不错，离铜锣湾也很近，走过去才15分钟左右，酒店附近有很多小酒吧！', '短评打分': 5}
{'短评内容': '房间很大，说真的这么大的房间在香港来说很少了，价格非常给力才400多。第一次住这么高性价比的地方，房间卫生地理位置方便。下次还会入住，酒店服务生态度也很好。', '短评打分': 5}
{'短评内容': '环境很好，服务周到。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通和用餐都很方便，还会再来', '短评打分': 5}
{'短评内容': 'nice hotel，room is so good&amp;clean!', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '经常都是订这家酒店，很方便，也很干净', '短评打分': 5}
{'短评内容': '朋友入住挺满意的，酒店房间设施比较新，服务也没什么可挑剔的地方，性价比挺高的。周边交通比较便利，购物也方便。', '短评打分': 5}
{'短评内容': '还可以，商务 出差，位置不错，附近有地铁。周边便利店、银行、药店都有，酒店有车到机场。房间小但干净舒适，窗户很大可以看外面街景，每个房间配一台手机，可以免费打本地国内国际，无限流量上网。', '短评打分': 5}
{'短评内容': '还可以，商务 出差，位置不错，附近有地铁。周边便利店、银行、药店都有，酒店有车到机场。房间小但干净舒适，窗户很大可以看外面街景，每个房间配一台手机，可以免费打本地国内国际，无限流量上网。', '短评打分': 5}
{'短评内容': '还可以，商务 出差，位置不错，附近有地铁。周边便利店、银行、药店都有，酒店有车到机场。房间小但干净舒适，窗户很大可以看外面街景，每个房间配一台手机，可以免费打本地国内国际，无限流量上网。', '短评打分': 5}
{'短评内容': '第二次入住了 服务态度很好 入住后换房也好及时 配免费下午茶什么的 态度好. 交通便利 会坐巴士的话比地铁方便. 楼下的机场快线小巴很好，直接就到香港站了，托运等超方便', '短评打分': 5}
{'短评内容': '第二次入住了 服务态度很好 入住后换房也好及时 配免费下午茶什么的 态度好. 交通便利 会坐巴士的话比地铁方便. 楼下的机场快线小巴很好，直接就到香港站了，托运等超方便', '短评打分': 5}
