{'短评内容': '早餐挺好！能加床！适合带孩子！酒店位置极佳！有停车场！', '短评打分': 5}
{'短评内容': '早餐不错，能加床！适合带孩子！酒店位置非常不错，停车场车位足够的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境不错，性价比可以', '短评打分': 5}
{'短评内容': '安静！位置很好，酒店内设施很好，虽然是部队招待所，但是比外面酒店一点都不差，很干净，服务人员很热情，早餐也不错。', '短评打分': 4}
{'短评内容': '酒店位置很中心，去青泥洼和西安路都有公交，设施挺新，早餐样式多，下次还会选择', '短评打分': 5}
{'短评内容': '位置不错，室内干净，下次还住。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '带孩子去照相。正好影楼就在宾馆楼下。很方便。位置也不难找。就是去的时候正好赶上旁边修路，整晚都在施工。', '短评打分': 5}
{'短评内容': '单间房间比较大，周围还算安静。部队招待所，设备并不是很新，不过价格也不高，作为商务出差还是不错的选择。另外，暖气太足，外面才2度，晚上到酒店后，我们一群人穿羽绒服，冒汗，居然发现服务员都成短袖....', '短评打分': 5}
{'短评内容': '很好，下次还去', '短评打分': 5}
{'短评内容': '出行方便，离星海广场不远，房间干净。', '短评打分': 4}
{'短评内容': '交通方便，住宿条件可以，价钱可以。', '短评打分': 4}
{'短评内容': '感觉还不错，只不过赶上装修，有点吵', '短评打分': 5}
{'短评内容': '酒店还可以，性价比高，干净、安静，下次还会住这里。', '短评打分': 5}
{'短评内容': '????????', '短评打分': 3}
{'短评内容': '普通的标准间，没什么特别的地方，倒是很干净。服务也还可以，就是普通的宾馆。', '短评打分': 5}
{'短评内容': ' 比较满意', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
