{'短评内容': '早餐有稀饭面条，糕点不错不错！', '短评打分': 5}
{'短评内容': '早餐还行，就是酒店设施略陈旧。', '短评打分': 4}
{'短评内容': '布草  家具  浴室太旧，不推荐住', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '早餐丰富', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 3}
{'短评内容': '很不错的，就是灯光有点暗，我住的是单间，睡床上可以看见波光鳞麟的江水，很不错的体验，也比较好停车！周边是好吃街，吃的也多！', '短评打分': 5}
{'短评内容': '环境一般，价格还比较合理，不过房子点旧', '短评打分': 5}
{'短评内容': '江景房可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一切都还好，除了早餐简单之外', '短评打分': 4}
{'短评内容': '很好，每次回云阳都住这里，价格不高，设施还不错，长江边，很喜欢！', '短评打分': 4}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '云春大酒店在云阳是比较好的酒店,酒店里面床上用品比较干净、干燥，有别于一些经济型酒店。', '短评打分': 5}
{'短评内容': '早餐一般，设施较旧，江景还可以，空调不给力，其他还行', '短评打分': 3}
