{'descr': '房间很大，很不错', 'star': 4}
{'descr': '值得再来', 'star': 4}
{'descr': '还可以，值得再住', 'star': 4}
{'descr': '还不错，免费给我升级两次，床舒服', 'star': 4}
{'descr': '可以', 'star': 5}
{'descr': '不打他肚饿不发达饿不饿绝不饿不', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '不错，干净，卫生，风景好', 'star': 5}
{'descr': '大窗户，高楼层，漂亮的夜景，方便的周边，舒适的住宿，还有一个小冰箱，性价比很高，那个A座和B座是可以绕着走一圈的，然后就会比较容易找到了，两栋大楼是挨着的找到附近就可以找到了', 'star': 5}
{'descr': '很棒。', 'star': 5}
{'descr': '很棒!近地铁。美女老板果然不错!很有条理。', 'star': 5}
{'descr': '还不错，有点小贵', 'star': 4}
{'descr': '不错 一直住', 'star': 5}
{'descr': '一如既往的好。', 'star': 5}
{'descr': '住太多次了，赞！', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '给北京来的同事订的 家庭式的房间 位置可以！ 价格yiban !', 'star': 5}
{'descr': '同行的几个都超爱这酒店，一是因为位置极佳，周边就是北城天街，二是因为房间超宽敞超漂亮，下次来还要住这家！', 'star': 5}
{'descr': '非常棒的酒店，就在北城天街商业圈，出门就是各种商场，各种小吃，房间超大超漂亮，下次肯定还是要住这里，强烈推荐~', 'star': 5}
{'descr': '此次入住不是太愉快。入住当天电视没有信号看不了，调试了很久可以看了，可是到第三天早上电视又出现问题，影响我看奥运，因为要退房了就算了。另外发现第二天搞卫生做得不认真，桌子、地板上都有上一天留下的脏东西没有清理。', 'star': 5}
{'descr': '说实话这家酒店蛮家庭化的，价格也公道划算，附近就是观音桥很热闹，感觉像是蛮新的。不会推荐朋友来是因为酒店所在的大厦环境一塌糊涂，大厦大厅什么烟头啊垃圾啊食物啊到处都是，电梯里面也很脏，经常还有人在电梯里面抽烟，重庆那么热的天，竟然大厅和电梯都没空调通风也不好，第一次见到这么脏的大厦。', 'star': 1}
{'descr': '这次到重庆来专门来爱尚酒店住了三天哈房间设施很不错哈，服务也很热情周到哈。老板很厚道对人诚恳，房间空调特别凉快哦，酒店离观音桥步行街很近哈两分钟就到咯，以后来重庆还住这哈，肯定还要给朋友推荐哈。', 'star': 5}
{'descr': '服务很好    这是我第一次来重庆    酒店让人感觉很温馨    有机会再来我还会住这个酒店    描述的跟现实没有区别 ', 'star': 5}
{'descr': '因为飞机晚到天色已晚，找不到大门，前台美女特地来楼下接我们，还帮我们抬了行李，真心感谢，大赞赞赞！', 'star': 5}
{'descr': '不错，周围方便。楼层高，安静。', 'star': 3}
{'descr': '地理位置非常好，地铁站走10分钟即到。楼下是个公园，旁边是商业街，好多好吃的，晚上的夜景很美，但也很吵，不能早睡或晚起。住的是大床A，没有冰箱和洗衣机，下水很慢。不过总体还不错，推荐。', 'star': 5}
{'descr': '自助式的，第一次碰到这种酒店。就住了一个晚上。还可以把。', 'star': 5}
{'descr': ' 很干净，很舒服，有家的感觉', 'star': 3}
{'descr': '酒店环境很好，位置不错', 'star': 3}
{'descr': '上次入住了还没有评，今天又要订酒店，所以上来评了。环境还可以，卫生也不错，空气也好，特别是房间有真的绿色植物，阳台也安逸。交通也方便，下面就是轻轨站，观音桥广场也安逸。就是价格有点点高，呵呵\u3000。', 'star': 5}
{'descr': '每次去重庆都住这里了，真的没话说，赞一个\ue415！', 'star': 5}
{'descr': '不管从价格，环境，服务态度来说都绝对是一流的，同价位里绝对最具性价比', 'star': 5}
{'descr': '还可以哦，老板也很好....就是一次性洗簌用品不是每天更换', 'star': 5}
{'descr': '地理位置好，性价比高，床很舒服，服务也挺好的！', 'star': 5}
{'descr': '离轻轨观音桥站只需要15分钟的样子，楼下就有公交车，小苑站，附近很多吃的，大队长火锅，齐齐火锅就在马路对面。\n大堂在29楼，房间安排在26楼，门口灯一闪一闪，好惊\n房间很新，但是没有厕纸，灯光不够亮啊\n店家人很好，行李在他们家放了2天。\n期待他们发展起来', 'star': 5}
