{'短评内容': '还行吧，位置不错。', '短评打分': 5}
{'短评内容': '位置不错，可以。', '短评打分': 5}
{'短评内容': '位置好交通便利小吃不错', '短评打分': 5}
{'短评内容': '酒店位置不错，因为答辩正好在这家酒店，就定这里了，早餐也可以一般吧。网上定的178，店里便宜很多，很划算', '短评打分': 3}
{'短评内容': '无线就是个摆设  根本不能用。其他都不错   无线忍不了', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '还不错，特别早餐', '短评打分': 5}
{'短评内容': '太老了，像90年代初的感觉，设施陈旧。没有电梯，房间价格相比之下比较高。真不知道这个酒店是怎么活到现在的！', '短评打分': 3}
{'短评内容': '帮同事定的。', '短评打分': 5}
{'短评内容': '非常好，这个价位超值', '短评打分': 5}
{'短评内容': '设施略显陈旧，总体还行', '短评打分': 5}
{'短评内容': '不错，适合出差办公的人士居住', '短评打分': 5}
{'短评内容': '住过好多次了，离办事地点近，其他方面无优势，早餐不行', '短评打分': 4}
{'短评内容': '住过好多次了，离办事地点近，其他方面无优势，早餐不行', '短评打分': 4}
{'短评内容': '很干净，就是房间隔音很差，楼道里一有人，隔壁讲电话听的一清二楚', '短评打分': 5}
{'短评内容': '酒店较安静，但位置较偏，热水时大时小，房间烟味较大，早攴还可以，中性评级。', '短评打分': 3}
{'短评内容': '挺好的，干净卫生，服务周到。有点偏~~~~', '短评打分': 5}
