{'短评内容': '酒店环境非常不错，距离机场很近，交通方便，房间卫生比较好，早餐品种非常丰富，而且供应的菜品都很新鲜。', '短评打分': 5}
{'短评内容': '地理位置等我都可以给五星，唯一不足的是上面写的温泉，实际是没有温泉的，所以去的人如果冲着温泉去的话，就别选这家乐，可以换其他的岛外有温泉，岛内的基本没有温泉。', '短评打分': 4}
{'短评内容': '房间有太小了，这个价位还不含早餐，有些不值！', '短评打分': 4}
{'短评内容': '卫生，方便，早餐丰富', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间偏小', '短评打分': 4}
{'短评内容': '不错，就是有点小，床还不错。', '短评打分': 5}
{'短评内容': '情人节那天订的房间，挺大的还有早餐', '短评打分': 5}
{'短评内容': '很好很好 非常便宜', '短评打分': 5}
{'短评内容': '冲凉房的门总关不上', '短评打分': 4}
{'短评内容': '卫生', '短评打分': 5}
{'短评内容': '还行，适合出游', '短评打分': 5}
{'短评内容': '唯一优点就是洗澡水非常大很舒服，房间超级小，房间热的要命窗户只能开个小缝隙，隔音差路上车声吵得睡不着！', '短评打分': 4}
{'短评内容': '还可以，行政房，有电脑，有书桌，小孩喜欢，有她的活动区域了', '短评打分': 4}
{'短评内容': '还可以，中等吧', '短评打分': 4}
{'短评内容': '交通還可以吧，酒店基本還算舒適，但是馬桶旁排水口會傳出異味，而且房間有蟑螂，，其他就那樣吧。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间小点', '短评打分': 5}
{'短评内容': '无窗', '短评打分': 1}
