{'短评内容': '没有早餐     位置明显    门前停车 停车位少', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错，就是没电梯不好', '短评打分': 5}
{'短评内容': '条件可以了，如果再有吹风机就更好了～', '短评打分': 5}
{'短评内容': '每次来德州都住这里，离亲戚家近，离菜市场也很近，周边有好多商铺、超市、小饭馆，非常方便。卫生状况还不错，但卫浴设施比较陈旧，花洒漏水、门锁开胶、房间座机不能用。10月3号下午2点半前台值班的姑娘服务特别周到，主动帮我确认了一个麻烦问题，非常感谢！', '短评打分': 4}
{'短评内容': '服务好   房间干净   说过也很客气', '短评打分': 5}
{'短评内容': '服务还不错，位置还行。', '短评打分': 5}
{'短评内容': '666663663', '短评打分': 5}
{'短评内容': '然而我并不满意', '短评打分': 5}
{'短评内容': '挺干净的还可以就是服务态度有待提高', '短评打分': 4}
{'短评内容': '好！很好！非常好！！房间卫生好！！！！！周边环境好！！！！！！！酒店服务好！！！！！！！！！设备设施好！！！！！', '短评打分': 5}
{'短评内容': '只住了两三个小时，其他的没啥子体验了', '短评打分': 5}
{'短评内容': '房间大 舒适 物美价廉 周围环境好 ', '短评打分': 5}
{'短评内容': '不好，看着脏兮兮的，跟20-30的旅馆。没有电梯，车只能停在马路边上。', '短评打分': 3}
{'短评内容': '还好，就是酒店没电梯不太方便。', '短评打分': 4}
{'短评内容': '第一次住，还不错！各方面都非常满意！', '短评打分': 5}
{'短评内容': '环境好。。。。。。。。', '短评打分': 3}
{'短评内容': '性价比很好，下次还会入住', '短评打分': 3}
{'短评内容': '。。。。。很好。。很多少好好好', '短评打分': 3}
{'短评内容': '不错，没噪音，干净，环境优雅，服务态度不错', '短评打分': 5}
{'短评内容': '便宜，卫生，网速好。只是2楼有些担心安全问题。没有电梯。', '短评打分': 5}
{'短评内容': '新酒店，   环境不错。   值这个价。', '短评打分': 5}
{'短评内容': '很好，价格便宜又实惠', '短评打分': 3}
{'短评内容': '不贵，离德州学院不远，这次就是为了考试去住的，不过房间不是很大，洗浴的热水不好，一会热一会凉，一晚上没调好。希望改正', '短评打分': 5}
{'短评内容': '服务特别差 定了三间就给留了一个 千万都别去了 信不过', '短评打分': 1}
{'短评内容': '干净整洁，环境也不错，价格优惠。', '短评打分': 3}
{'短评内容': '温馨舒适，干净卫生，价钱也很实惠，值得。', '短评打分': 5}
{'短评内容': '感觉很温馨，干净舒适', '短评打分': 3}
{'短评内容': '\u3000\u3000感觉不错服务态度很好，', '短评打分': 3}
