{'短评内容': '可以可以可以可以', '短评打分': 5}
{'短评内容': '酒店很好，位置很好，卫生很干净', '短评打分': 5}
{'短评内容': '房间很干净l', '短评打分': 5}
{'短评内容': '除了位置不错外，其它真是全方位烂', '短评打分': 2}
{'短评内容': '可能因为老写字楼，房间内下水道的臭味很明显，卫生间尿骚味也有，望能改进', '短评打分': 4}
{'短评内容': '感觉挺好的', '短评打分': 5}
{'短评内容': '酒店很好，体验很满意，七天的风格很简约很温馨，价格也很实惠，性价比超高，酒店位置很好很优越，附近有两个地铁站，很近酒店，交通便利，出行方便，房间很大很宽敞，设施设备齐全，硬件很好，房间卫生干净整洁，住的很舒服，Wi-Fi速度很快很给力，上网流畅，热水出水速度很快，淋浴舒服，房间隔音效果好，很安静，床单被套都很干净，最重要的是前台服务态度很好很热情，清洁阿姨也很好，服务很到位，体验很棒，酒店位置很好', '短评打分': 5}
{'短评内容': '位置很好，距离太古汇不到五十米，天河住宿首选', '短评打分': 5}
{'短评内容': '住过最差的七天   地方又难找   而且空调房间还不怎么样', '短评打分': 5}
{'短评内容': '房间还可以，就是贵了点', '短评打分': 5}
{'短评内容': '非常好住的很舒服。很舒服 很舒服 舒服。舒服 舒服 舒服', '短评打分': 5}
{'短评内容': '还行！！！！', '短评打分': 5}
{'短评内容': '包装完好，送货快，服务态度好。东西也不错，网购就认京东了。下次还来买。', '短评打分': 5}
{'短评内容': '包装完好，送货快，服务态度好。东西也不错，网购就认京东了。下次还来买。', '短评打分': 5}
{'短评内容': '还没住，不好评价!', '短评打分': 5}
{'短评内容': '还没去住，不好评价!', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '这地板不说，看我的手？我请问，我是来喂蚊子的嘛？我跟收银台工作人员问了，他说房间里有蚊香，可用了，我的手还这样，！', '短评打分': 1}
{'短评内容': '蚊子太多，被咬的！卧槽，受不了', '短评打分': 5}
{'短评内容': '房间有点小，地板嘎吱嘎吱响，环境还是不错的，就是有点难找。性价比太低', '短评打分': 5}
{'短评内容': '有蚊子！其他的还好', '短评打分': 5}
{'短评内容': '房间比较干净，环境安静，不错', '短评打分': 4}
{'短评内容': '位置很好，距离太古汇不到五十米，天河住宿首选', '短评打分': 4}
{'短评内容': '房间很小，价格不贵，在这个位置也还称得上性价比不错了。', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '看看吧，床单有血，窗户竟然少了一扇，黑天无法入睡啊。房价可不低', '短评打分': 2}
{'短评内容': '地处广州天河中心区，太古汇旁，地铁公交吃饭方便。', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '安静，地点方便，总体不错。', '短评打分': 5}
