{'短评内容': '因为去眼科医院看病，这里离医院比较近，环境相对还是不错。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '从来没有住过卫生间像这样臭的客房，差点人都被熏晕，就算服务员用水袋盖住排水孔还是很臭。投诉携程不受信用，1、之前1天已经订好了的酒店当天下午3点多才打电话过来说没有房。2、协议换酒店后退8元补偿没有到位，虽然钱不多，但信誉有问题', '短评打分': 4}
{'短评内容': '环境不错离地铁口很近，无早餐。', '短评打分': 4}
{'短评内容': '环境还可以。', '短评打分': 5}
{'短评内容': '住13楼，环境还好，对着大路，但还算静，比较经济。', '短评打分': 5}
{'短评内容': '酒店有点老了，还行吧！', '短评打分': 4}
{'短评内容': '质量很好值得推荐', '短评打分': 5}
{'短评内容': '位于市中心繁华地段，逛街、吃饭、娱乐都很方便，强力推荐！房间大、出行方便，设施有点陈旧    性价比高，不错', '短评打分': 5}
{'短评内容': '酒店房间很好很干净整洁，交通便利，房间够大。总体住的很满意', '短评打分': 5}
{'短评内容': '相信京东，比我其他软件订要便宜很多。', '短评打分': 5}
{'短评内容': '多次住宿，不错的。位置好。', '短评打分': 5}
{'短评内容': '感觉前台不怎么样，住宿条件还是可以的。', '短评打分': 5}
{'短评内容': '蛮不错', '短评打分': 5}
{'短评内容': '房间干净明亮，通风好，离地铁区庄站近，挺好的！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '比较老牌的酒店了，所以里面的设施也相对比较陈旧，不过前台的服务还是可以的。房间不大，因为选择了朝南的酒店，所以光线很足，就是空调有点不给力，如果是长头发的女孩子，记得带发圈，因为没有浴帽提供，没有吹风筒，不过不知道可以向前台借用不。', '短评打分': 4}
{'短评内容': '虽然有点旧，但也是干净卫生整洁，地段非常好，就在地铁口旁，出差很方便，周围也很多吃的', '短评打分': 4}
{'短评内容': '不错的地理位置，出行、用餐方便，设施卫生还好，价格适中。', '短评打分': 4}
{'短评内容': '卫生环境不好，其余都可以的', '短评打分': 4}
{'短评内容': '华山宾馆是广东省政府机关指定的会议及住宿酒店之一，虽然有点老旧，但比较干净，可免费上网，交通也很便利。', '短评打分': 3}
{'短评内容': '这个酒店连洗漱用具都收钱.收就收吧还要当时收现金.算到房费里统一结帐都不行.只能一声叹息.', '短评打分': 3}
{'短评内容': '  我已经入住华山宾馆，还好吧', '短评打分': 3}
{'短评内容': '交通很方便，但是房间实在太老旧了，停车场竟然还收费30元。', '短评打分': 1}
{'短评内容': '房间设施比较老，有霉气，但是离中山眼科中心走路3分钟，看病方便，推荐！', '短评打分': 5}
{'短评内容': '位置还可以，设施太老了，没有洗漱用品，需单独付费5元一套，让人不太舒服。', '短评打分': 3}
{'短评内容': '设施较陈旧，但总体还不错，交通、餐饮很方便，下次还会住那边。', '短评打分': 5}
{'短评内容': '位置方便，空间还行，去火车站挺方便的。地铁也很近，还算不错', '短评打分': 5}
