{'短评内容': '还不错，价格还行', '短评打分': 5}
{'短评内容': '这是我住过的500以上最差的酒店，没有之一。晚上大堂和过道不停的有人聊天说话，声音就在耳边，室内装修比快捷酒店还差，竟然就一个一平方米的窗户，这是柴房吗？然后设施真是烂的可以，永远不会再来，太坑了', '短评打分': 1}
{'短评内容': '好好的休息一下就好了', '短评打分': 5}
{'短评内容': '干净整洁服务好', '短评打分': 5}
{'短评内容': '服务周到，环境卫生，酒店舒适', '短评打分': 5}
{'短评内容': '很不错，很满意', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '早餐很不错 但是单独加早餐就要68元/位 比较贵啊 酒店环境很安静', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '淡季人少，几乎是包场的感觉。总体来说蛮自在，温泉内在加点娱乐项目会更吸引人.', '短评打分': 5}
{'短评内容': '非常不错，价格便宜，房间很大，早餐也好吃，送的温泉泡着很舒服，推荐！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '京东上预定的酒店，还是挺划算，只是这个酒店温泉，换了经营者之后没有以前好了，服务态度不好，', '短评打分': 1}
{'短评内容': '条件还是不错，唯一就是订的泡温泉套票的房间，结果票和房间是分开的，初六打了无数个电话才解决这个问题，下次切记不要订这种类型的房间。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很舒服，很满意，不愧是咸宁第一温泉', '短评打分': 5}
{'短评内容': '800开头的标准间居然是无阳台的！昏！豪华标准间才有！预定没有注意到这个细节！另外上来也是非常奇怪弯弯绕绕的楼梯上来的，感觉很坑！', '短评打分': 5}
{'短评内容': '环境还好，一开始定的碧桂园没有房了就换到这里了，环境还可以，服务一般，相对于这个价格来说有点偏高，温泉离着也有点远，要自己步行到户外再去温泉馆，对于宝宝来说不方便就没去体验了', '短评打分': 5}
{'短评内容': '住宿当地最好了', '短评打分': 4}
{'短评内容': '出游住这不错', '短评打分': 4}
{'短评内容': '酒店环境不错，就是被子厚了点', '短评打分': 5}
{'短评内容': '日式房非常漂亮，酒店装修也很新，满意。紧挨的小蓝鲸菜品也不错', '短评打分': 5}
{'短评内容': '房间的装修风格是日式的，还配有木屐，很有新意很喜欢；\n酒店旁边就是泡温泉的地方，很方便', '短评打分': 5}
{'短评内容': '套房很乾淨漂亮 很喜歡', '短评打分': 3}
{'短评内容': '酒店设施很不错，房间宽敞，尤其是窗外能够看到潜山，感觉很好。当然价格也确实不便宜。', '短评打分': 5}
{'短评内容': '很不错，酒店设施不错，温泉也不错，但出租车不容易打到，饮食也不是很好。', '短评打分': 5}
{'短评内容': '春节去的，，服务员少，服务态度不好，房间还有味道', '短评打分': 1}
{'短评内容': '住的环境很不错。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '硬件不错,管理一般,房间里地都没扫干净.但总体能在咸宁有这样的酒店,也还不错了.', '短评打分': 5}
{'短评内容': '客房很舒适，环境很好，房价偏高。', '短评打分': 3}
{'短评内容': '还可以，性价比不高。', '短评打分': 3}
{'短评内容': '环境很好··下次还来住·就是这次没有日式的房间有点遗憾·', '短评打分': 5}
{'短评内容': '日式房很有特色！还有家庭套房有两间卧室，比定两间标间要划得来，酒店豪华，不错！', '短评打分': 5}
{'短评内容': '酒店去年下半年开业的，设施都很新，环境也很好，紧挨着酒店有一家小蓝鲸，吃饭很方便哦！', '短评打分': 5}
{'短评内容': '很不错,安静整洁,服务态度也很亲切.以后还来这里度假.', '短评打分': 5}
{'短评内容': '定的家庭套房，房间很舒服。服务也不错。温泉比较一般，小蓝鲸酒店的早餐还可以。', '短评打分': 5}
{'短评内容': '不错，环境很好，很舒适，服务也还不错。不过价格贵了点。', '短评打分': 5}
{'短评内容': ' 被子厚了', '短评打分': 3}
{'短评内容': '：满意！很好！', '短评打分': 3}
{'短评内容': '还可以，但与五星级不匹配，卫生间的设施差了点。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '110元一间的标准间太陈旧，空调效果太差，冷，卫生间也太过陈旧，使人难受。不知其它客房怎样？', '短评打分': 1}
{'短评内容': '早上没热水，设备比较老，晚上也没热水洗澡！', '短评打分': 1}
{'短评内容': '老酒店和新酒店离得太远，；老酒店根本不在三江温泉里面~！！', '短评打分': 1}
{'短评内容': '这家是叫泉山宾馆，是三江森林温泉酒店的前身。所以装修陈旧，人气不旺。', '短评打分': 1}
