{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '给朋友定的', '短评打分': 5}
{'短评内容': '欢迎亲自体验我感觉到了', '短评打分': 5}
{'短评内容': '房间有浓浓的味道，开始是一间古木床，进去感觉很奇怪，想换一个其他形式的，前台服务员表示不五更换，不过最后还是答应了。早饭还不错。', '短评打分': 4}
{'短评内容': '房间里有股怪味，温泉水冷热要自己调整，不是很方便。酒店整体比较昏暗，墙纸已开缝。没有健身房等设施。一般。', '短评打分': 5}
{'短评内容': '卫生间有窗，关上卫生间的门卧室就是无窗状态，房间通风很差，有股味道。夜里风大，房门一直有响动，感受不太好。', '短评打分': 5}
{'短评内容': '周六夜里10点多到达 入住温泉标间 公共温泉到晚上11:30 我们就没有去 需要自备泳衣 周末票价68/人 直接去了房间 进门暖和和 房间布置也还可以 快圣诞节摆放了很多圣诞节造型的灯光设备 看上去都挺好 地毯厚厚的 我们光脚走了一圈 卧室和卫生间门的接驳处地毯湿漉漉的 淋浴处的洗发水没有了 只剩一个空壳 里面的私汤小池泡了一会 发现水位下降 再补水 没多久又少了 想必是塞口不紧 第二天早上外卖了', '短评打分': 4}
{'短评内容': '适合带孩子，酒店位置很好，有车位', '短评打分': 5}
{'短评内容': '整天环境还行，就是房间设施不全，没有之前好了！', '短评打分': 4}
{'短评内容': '温泉挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '常去的一家私汤酒店～胜在性价比！', '短评打分': 5}
{'短评内容': '酒店环境相当好，服务也很好，价格便宜，以后常来', '短评打分': 5}
{'短评内容': '不错呦，五一因为娃去旁边的球场踢球所以订了这里，酒店挨着&amp;ldquo;二宫&amp;rdquo;公交车站，离中山门地铁就800米，地理位置还不错，内部环境还好，就是有两个缺点：第一蚊子太多，住两晚上咬了好几个包，第二房间里没有冰箱，平时喝惯了鲜奶酸奶，想买几包放到早上喝，也没法实现，保险柜都配了冰箱也得跟上啊。WIFI信号好，但是到卫生间就不行，只能在房间用。\n打车10块可以到万达那边，爱琴海购物公园好多吃的逛的，\n近点的推荐：\n1、45中对面的肘子酥，很棒，北京反正没吃过；2、离酒店300米的北塘海鲜，很早就开始营业，海鲜真的很鲜，两大一小点了三个必点的没有吃完，价格也不贵。\n酒店对面的那个叫什么婆婆小面就别去了，非常难吃。唯一的优点是北冰洋挺便宜，3块。', '短评打分': 5}
{'短评内容': '这个以后怎么评价呢，没有客房服务啊，打扫卫生算吗？不算吧，所以没法评价。但是前台热情的，门口的服务生也很好，开门都会打招呼，很有礼貌。', '短评打分': 5}
{'短评内容': '房间整体不大，私汤占到一半，所以可放置个人物品的地方就很少了，并且充电座只有一个。好在走廊很安静，卫生状况良好。私汤池晚上用时，水断断续续停了好几次，打前台电话被告知周末水压不稳，正在处理。从入住到退房服务态度一般，查房应该很仔细，退房等待时间略长。会去其他私汤酒店体验后，来决定会不会再次入住了。', '短评打分': 5}
{'短评内容': '非常好，便宜。环境好，在市区', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '温泉票不给 打客服也没用 app中没有写任何限制 入住后才被告知 而且酒店不怎么样 墙纸都脱落了 很潮湿', '短评打分': 1}
{'短评内容': '房间各方面都不错，服务人员也很和善，对面就是条餐馆很集中的街，总之这次出行很满意', '短评打分': 5}
{'短评内容': '非常棒的体验！酒店服务态度非常好！浴池的热水可以随便用，房间内的各种用具也很丰富！\n床睡着很舒服，楼下的餐厅真是太便宜了，而且味道非常好！让人不敢相信四星级酒店这么物美价廉！', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '天津市郊，从火车站打车二十多块钱就到了。亲子房显得局促了点，尤其开窗子费点劲。但孩子玩的挺开心的，作为游泳启蒙，是很不错的去处。另外附近有家烤肉盖饭不错，值得一去。', '短评打分': 4}
{'短评内容': '离家近，环境好', '短评打分': 5}
{'短评内容': '离家近，环境好', '短评打分': 5}
{'短评内容': '离家近，环境好', '短评打分': 5}
{'短评内容': '离家近，环境好', '短评打分': 5}
{'短评内容': '不值', '短评打分': 3}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '附近吃东西很方便，酒店里的餐很一般。暖风不热，热水也不是很热', '短评打分': 4}
{'短评内容': '房间很宽敞，孩子在房间玩水玩的很开心，外面买东西很方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很好，服务质量好。', '短评打分': 5}
