{'短评内容': '老宾馆，设施比较旧，地理环境不错，早餐一般', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '淋浴器有点漏水，其它都比较满意！', '短评打分': 5}
{'短评内容': '房间陈旧，暖气不好', '短评打分': 3}
{'短评内容': '很不错，经济实惠，每次来都住这里！', '短评打分': 5}
{'短评内容': '整洁卫生，舒服。', '短评打分': 5}
{'短评内容': '酒店还行。主要便宜。再就是商业街繁华，距离万辉国际也很近', '短评打分': 3}
{'短评内容': '还可以，太老了，设施换下吧', '短评打分': 5}
{'短评内容': '环境不错，住了好几次了，前台服务也不错！', '短评打分': 5}
{'短评内容': '环境不错，服务也很好，已经住过好几次了，', '短评打分': 5}
{'短评内容': '环境不错，第二次入住了，价格也很适中！', '短评打分': 5}
{'短评内容': '还可以吧！都挺好的', '短评打分': 5}
{'短评内容': '前台服务不错，服务也挺好的，被子上到处都是洞！', '短评打分': 5}
{'短评内容': '前台服务态度很好，但是房间设施不是很好！', '短评打分': 5}
{'短评内容': '离办事的地方近就住了，真心伤心了，房间潮湿，床单都没有换，叫服务员来换床单结果来了两男保安，吓死宝宝了！', '短评打分': 2}
{'短评内容': '房间很大 服务态度很好', '短评打分': 5}
{'短评内容': '房间很大，绝对超值！另外地处连接安宁、七里河、西固的交通枢纽地带(老兰州西站)，交通非常便利，购物餐饮都方便！赞一个。', '短评打分': 5}
{'短评内容': '酒店一般，设施比较陈旧，周围很方便，就在西站最繁华的地方，就是前台太牛逼，多问了几句话，不难烦的很。', '短评打分': 3}
{'短评内容': '每次来兰州必住的酒店、虽然设施比较陈旧、但是隔音效果真好、还有购物、交通、吃饭都很方便', '短评打分': 5}
{'短评内容': '老来 还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '在兰州为数不多的酒店里，算不错的，信价比比较高', '短评打分': 3}
{'短评内容': '价格一般，还行吧', '短评打分': 4}
{'短评内容': '总体还好，就是卫生间用品简陋了。 地毯太脏', '短评打分': 4}
{'短评内容': '酒店外观有些欧式的建筑风格，房间里装修的很简约，硬件设施齐全，服务一般，周边出行交通很方便，总体感觉各方面还可以，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店距离兰州火车西站很近，出行方便，附近有很多购物的地，买东西没问题，房间干净整齐，服务很好，随叫随到，住宿条件很满意', '短评打分': 5}
{'短评内容': '酒店位置不错，地处繁华地段西站附近，周边有很多公交车站，楼下就是建兰路购物一条街，晚上还有夜市，可以品尝到当地小吃美食，附近超市，酒吧，KTV，餐厅应有尽有，出行很方便，房间内部设计的很温馨，住宿环境，蛮好', '短评打分': 5}
{'短评内容': '酒店地处商业中心附近，蛮繁华的，周边出行交通很方便，房间很宽敞，服务一般，卫生还好，其他都还可以', '短评打分': 3}
{'短评内容': '酒店距离黄河蛮近的，门口公交车站很多，出行很方便，服务很好，周到热情，卫生条件不错，干净整洁，性价比较高', '短评打分': 5}
{'短评内容': '酒店的服务质量很高，服务员随叫随到，做事很积极主动，负责任，前台办事效率蛮快的，房间硬件设施齐全，卫生很好，周边吃喝玩乐很方便，住宿条件很不错', '短评打分': 5}
{'短评内容': '地处市中心的酒店，位置不错，附近有西太华超市，买东西方便，周边有一些小的旅游景点，出行很方便，房间内饰很讲究，干净整洁，住宿条件不错', '短评打分': 5}
{'短评内容': '酒店位置不错，周边出行蛮方便的，整体印象很不错，卫生条件很好，干净整洁，服务周到热情。舒适度很好', '短评打分': 5}
