{'descr': '酒店位置离新街口近', 'star': 5}
{'descr': '很好，很安静，空间也很大', 'star': 5}
{'descr': '不得不说，前台效率不怎么样。', 'star': 2}
{'descr': '非常舒适！推荐一下！', 'star': 5}
{'descr': '一般，唯一优点就是方便', 'star': 3}
{'descr': '非常好的环境！', 'star': 4}
{'descr': '出差', 'star': 5}
{'descr': '出差', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '除了位置好，别的真心不想多说，自己看吧～被子盖完第二天皮肤会痒，第二天果断换酒店，这个价格周边四星很多选择', 'star': 3}
{'descr': '酒店干净卫生，闹市区中心地段', 'star': 5}
{'descr': '我跟朋友一起去了。都还好。位置很好服务很好很满意！', 'star': 5}
{'descr': '经常去那，位置好，设施不错，性价比高', 'star': 5}
{'descr': '比较满意，很居家。', 'star': 5}
{'descr': '酒店住宿环境太不干净了，很多都需要自己清洗，也没有卫生人员打扫', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '整體還可以,但是有兩三隻小隻的小強,可能是夏天吧.', 'star': 5}
{'descr': '住的标准间，条件还可以，床很大，隔音效果也很好', 'star': 5}
{'descr': '环境还不错 高级大床房比较舒服  普通大床房比较一般', 'star': 5}
{'descr': '位置好吃住行方便，一次性用品品质有待提高，床上用品如果选雪白的就好辨别是否干净。', 'star': 3}
{'descr': '还好吧，比较老的酒店，只有四楼没电梯，房间还可以。', 'star': 5}
{'descr': '设施是很齐全，不过我们基本没用到。比同等价位的酒店确实是好。空间很大，不会感觉到很压抑。也很安静，完全听不到外面的嘈杂声。\n就是床单不给每天换。住了三个晚上，用的是同一个床单。这可以勉强忍受。不能接受的是，床单上为什么有一个一个的白色的化学试剂灼烧后留下的印痕。看起来很不舒服。向服务台提出更换床单的提议后，还是被拒绝更换。很郁闷啊。\n还有浴巾，看起来不是白白的，像没洗干净的样子，不敢用。那个洗发水', 'star': 5}
{'descr': '厕所是全透的\u3000其他还可以吧', 'star': 3}
{'descr': '前台素质不高，房间很简陋，大床房的床是用两个小床垫拼的。住一次就够了', 'star': 1}
{'descr': '还好。。就是洗漱用品收费小高。。。。其他的还凑合。交通不太方便', 'star': 5}
{'descr': '位置有些偏，坐公交要走蛮远不太好找。但是周围没有什么嘲杂声。房间还是不错的，除了门的隔音不好，走廊外的声音很清楚', 'star': 5}
{'descr': '临时休息，还行吧。', 'star': 3}
{'descr': '帮朋友定的房，据他讲房间设施还可以，但是服务跟不上，刷卡还得去另外楼里，总之住着还是有点别扭，不太习惯', 'star': 1}
{'descr': '位置非常好，交通方便，适合家庭旅游。硬件设施不错，价格合理，服务需要很大改善。', 'star': 5}
{'descr': '优点：城中心，离地铁口很近，交通方便，房间大气，硬件设施不错。\n缺点：房间打扫得不是很干净，桌上有灰尘，不知是不是因为国庆节的原因。', 'star': 5}
{'descr': '挺好，就是外面蘇寧搞活動很吵…', 'star': 3}
{'descr': '已经第二次入住，意外的住同一个房间，屋内有些潮，其他都还不错！酒店门口正在修路，但是交通还算方便！', 'star': 3}
{'descr': '位置较偏，没有停车位，但是房间设施挺好，服务好,但光线暗！', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '酒店位置非常好。离市区很近、环境好。卫生干净，态度不用说。总之很满意', 'star': 5}
{'descr': '卫生条件很一般 味道不好闻 地理位置还可以', 'star': 1}
{'descr': '还发现抽屉内很脏，没有打扫，厕所下水有问题。要改进。', 'star': 1}
{'descr': '酒店的管理要改进，要求客户付现金做押金。不方便。', 'star': 1}
{'descr': '酒店的环境及管理欠佳，钥匙管理混乱。夜里较吵。卫生间下水慢。暖气很足，床不错。', 'star': 1}
{'descr': '还行，设施一般，价钱太高', 'star': 3}
{'descr': '不太好，洗浴间是全玻璃的，居然连帘子都没有，一个人住还行，要是两个人太尴尬了。而且位置不好，太难找了。', 'star': 1}
