{'短评内容': '第一次用京东订酒店，很不错。', '短评打分': 5}
{'短评内容': '环境整洁，服务周到', '短评打分': 5}
{'短评内容': '环境整洁，服务周到', '短评打分': 5}
{'短评内容': '入住的房间不算大，但做为快捷酒店性价比还算可以了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错的，卫生也干净', '短评打分': 5}
{'短评内容': '很一般，噪音大', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不性价比很好，服务态度好', '短评打分': 5}
{'短评内容': '位置不错，环境也可以，价格很优惠。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务挺好的', '短评打分': 5}
{'短评内容': '晚上有发小卡片的，而且时不时有人要开我的门，其他还凑合，想问一句是不是在第三方平台订的酒店，酒店服务都不高呢？？？', '短评打分': 4}
{'短评内容': '酒店环境不错，服务态度也好！算是比较理想，不过房间太小了点，在路边也有点吵的感觉，旁边没有吃的！总体可以下次还来', '短评打分': 5}
{'短评内容': '房间大，干净卫生，安静舒适。', '短评打分': 5}
{'短评内容': '出差过夜要求不高，房间虽小设施齐全', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还是不错滴！下次有机会再住！', '短评打分': 5}
{'短评内容': '舒适 卫生 交通方便', '短评打分': 5}
{'短评内容': '凑活', '短评打分': 3}
{'短评内容': '干净卫生，就是房间有点小  性价比不高，比如家的小，但是比如家的贵 设施就是卫生间太小，感觉是木板隔的  隔音不好 窗帘不严实，厕所门锁不合理', '短评打分': 5}
{'短评内容': '干净舒适，性价比很好', '短评打分': 5}
{'短评内容': '挺不错的连锁酒店，干净！。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错,挺好的！推荐...:-):-):-):-):-)', '短评打分': 5}
{'短评内容': '有无线宽带很方便，酒店入住后整体感觉挺清新，其余暂无感觉。', '短评打分': 5}
{'短评内容': '分A，B两栋，交通方便，干净。\n楼下大厅有查询电脑，打印很贵。\n有公交指示牌\n', '短评打分': 5}
{'短评内容': '酒店比较新和干净，一楼有餐厅，有会员卡可以免费吃早餐，早餐是自助餐', '短评打分': 5}
{'短评内容': '酒店还是不错的,房间比较干净,床很舒服，环境比较安静，就是空调声音稍微有点大，卫生间没有异味，略小点。离汽车站近，火车站也不远。早餐不错。值得去注。', '短评打分': 5}
{'短评内容': '很不错的酒店，值得推荐，开业几年了品质没变。', '短评打分': 5}
{'短评内容': '餐饮特别不错，服务也很好！', '短评打分': 3}
{'短评内容': '除了房间比较迷你之外，都还不错！', '短评打分': 3}
{'短评内容': '第二次入住，整体感觉很好，帮朋友也订了2间，下次考虑继续入住', '短评打分': 5}
{'短评内容': '还不错啦，帮朋友订的，她说她每次去都住这家的。', '短评打分': 5}
{'短评内容': '汽车站对面，很方便，吃饭在对面的巷子里，有夜市，烧烤都还不错', '短评打分': 5}
{'短评内容': '房间真的很小很小 临马路的房间很吵 除了交通方便 没优势了', '短评打分': 1}
{'短评内容': '地理位置不错，房间也比较干净，就是隔音效果差点。总体还是性价比较高', '短评打分': 5}
{'短评内容': '交通还算方便，整体还不错，就是临近主干路，早上有点吵。卫生条件还算同价位中性价比比较高的', '短评打分': 5}
{'短评内容': '酒店还算干净，价格也适中，就是离市中心有点远，晚上门口什么都没有，比较荒凉', '短评打分': 5}
{'短评内容': '挺好的，干净整洁，暖气不错，免费上网也不错！', '短评打分': 5}
{'短评内容': '环境挺好的，前台服务很好，就是经常一个人在那服务，客人稍微一多就忙不过来了，需要等待一会，整体来说值得入住', '短评打分': 3}
{'短评内容': '不错不错！很好！交通便利，容易打出租！室内环境还可以，较温馨', '短评打分': 5}
{'短评内容': '非常好，服务很热情，一如既往，永远挺您锦江之星。', '短评打分': 5}
{'短评内容': '酒店很干净，就是太小，电视很不清楚，地理位置比较偏。', '短评打分': 1}
{'短评内容': '服务很热情，第一次住感觉很亲切，临近火车站出行很方便，卫生也很干净。', '短评打分': 5}
{'短评内容': '交通还算方便，出门就能打到车子，酒店对面是汽车总站，', '短评打分': 1}
{'短评内容': '很不错，住了蛮多次的。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境挺好的！就是为什么这家锦江之星不含早餐，我在其他锦江之星住的时候就含早餐！', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。good', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '变大了好了', '短评打分': 3}
{'短评内容': '环境还可以，服务也比较好，就是房间有点太小了，不过对得起那个价格，呵呵，以后还会选择锦江之星的', '短评打分': 5}
{'短评内容': '非常干净，安静，交通方便。早餐也很好吃。                          ', '短评打分': 5}
{'短评内容': '房间干净，地理位置方便，价格不高，下次还会住的', '短评打分': 5}
{'短评内容': '房间不错很干净~临街有点吵~', '短评打分': 5}
{'短评内容': '很不错的一个地方，让人感觉比较舒服。态度也很好', '短评打分': 3}
{'短评内容': '感觉挺不错的。干净整洁，服务很好，很热情', '短评打分': 5}
{'短评内容': '相当不错，位置也还可以，交通比较便利，房间比较舒适就是稍微小了点', '短评打分': 5}
{'短评内容': '酒店的环境卫生都很好，但是设施方面还稍微欠缺一点，锦江的价格在快捷酒店里面算是高的了，房间里没有擦鞋纸和沐浴液，就很不方便了了，门前的京广路正在拓宽改造，走过来的时候身上满是尘土，房间里没有办法擦鞋很不方便。', '短评打分': 5}
{'短评内容': '酒店比较干静，服务态度不错，早餐还可以，就是马路外面灰尘太多。', '短评打分': 5}
{'短评内容': '内部环境不错', '短评打分': 5}
{'短评内容': '酒店的pos刷卡系统似乎不是太好', '短评打分': 3}
{'短评内容': '房间内部环境还不错，比较整洁', '短评打分': 5}
{'短评内容': '房间太小，不过房间布置挺合理的，就是服务态度有点差。性价比一般。', '短评打分': 1}
{'短评内容': '经济实惠，特别是浴室的角落的地板衔接的都很好，出行交通也很便利的', '短评打分': 3}
{'短评内容': '还算一般，没有特别突出的地方，还过得去', '短评打分': 5}
{'短评内容': '卫生，干净，地理位置好。。', '短评打分': 5}
{'短评内容': '服务一般啦！', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '这家酒店的服务意识特别差，在前台办理入住手续时，服务员就忙于推销锦江的会员卡，整个酒店的服务员见到人都是冷冰冰的。', '短评打分': 1}
{'短评内容': '我感觉酒店还是不错的，房间设施还是挺齐全的，卫生方面也不错，弄的挺干净的，整体感觉价格还是蛮合适的。', '短评打分': 5}
{'短评内容': '酒店的环境，硬件设施以及他们的地理位置都没什么好说的，挺好的，就是服务比较呆板不够灵活，主要就呆板在他们的价格上了。', '短评打分': 1}
{'短评内容': '服务很规范,卫生状况很好,给人感觉很舒服,东西简单但都很实用,不凌乱,下次还会考虑入住.适合旅游门口的25路车直达世纪欢乐园很方便', '短评打分': 5}
{'短评内容': '干净卫生，服务热情，就是位置有些偏', '短评打分': 5}
