{'短评内容': '差', '短评打分': 1}
{'短评内容': '不好，', '短评打分': 3}
{'短评内容': '感觉真不好，住了一晚就换地方了', '短评打分': 2}
{'短评内容': '还不错，环境还可以，', '短评打分': 3}
{'短评内容': '还可以，就是电费还得自己交，', '短评打分': 3}
{'短评内容': '不错，服务态度也比较好', '短评打分': 3}
{'短评内容': '其实跟我想的还是有出入的，跟想象中的三室，两室一厅还是不一样的。但是服务人员服务态度非常好。它说有免费停车场，其实停车场跟他们不是一家，还是要收费的。', '短评打分': 5}
{'短评内容': '不错，每次出差都去这一家', '短评打分': 3}
{'短评内容': '满不错', '短评打分': 4}
{'短评内容': '太差了，房间门锁都是坏的，当时也就考虑已经凌晨了所以才勉强度过了一夜，再加上当晚下雪，不方便，要不早退房了。另外房间用电还是单独结算的，跑了这么多地方从来没见过这样的宾馆。', '短评打分': 1}
{'短评内容': '住了两夜，还算不错吧，这个地段这个价位，应该是很不错的了，电费7毛一度，出门就是公交站牌，离美食回民街特别近，钟楼什么的都很近 ，离西门只有一站路的距离。应该整体是很不错的', '短评打分': 5}
{'短评内容': '   房间的空调不好！吵人睡不着。', '短评打分': 3}
{'短评内容': '入住6个小时还没人清洁，采光通风很差，有异味，总之，性价比不值！好一点的是位置在西大街，出行比较方便，附近逛街还行！网上订购比到店还贵30多元，吃了亏！', '短评打分': 1}
{'短评内容': '史上最差酒店，地上到处是阴毛和皮屑', '短评打分': 3}
{'短评内容': ' 还可以比较卫生就是用电还收钱好晕，  就是住了一晚.', '短评打分': 5}
{'短评内容': '适合家庭游 地理位置优越 西北人的管理方式 前台服务人员一般 经理不错 需要自己结算电费 网络速度一般', '短评打分': 5}
{'短评内容': '设施有点旧，其他还好。家居式的，价钱也还好，会常来的。。。', '短评打分': 5}
{'短评内容': '优点是地理位置好 公交车能通达城内大部分景点\n\n缺点是与照片显示的差异实在太大  确实相当一般  用电要自己付钱不说  还不给开发票 也根本谈不上有什么服务    周边用餐也很麻烦', '短评打分': 1}
{'短评内容': ' 五一陪父母逛西安，在这里住了好几天，唯一不好的是两室一厅的房间比较吵', '短评打分': 5}
{'短评内容': '酒店服务态度很好，装修比较旧了，是一个大单间隔成的各种房间，地段不错', '短评打分': 5}
{'短评内容': '还行，不过我订的是219的那个两室一厅豪华房，可貌似前台给我安排的是普通的房间。。。略微不爽', '短评打分': 5}
{'短评内容': '酒店不错，但与实际图片上有较大的区别，建议各位自己实地考察一下', '短评打分': 5}
