{'短评内容': '在市区，非常的方便，很好，很便宜', '短评打分': 5}
{'短评内容': '还不错，交通方便，想偷懒的话，酒店有餐厅，可以点餐', '短评打分': 4}
{'短评内容': '最近来了两次，房间号不一样，7点多楼上就开始砸地板，前台说暂停，还是没完没了的，吵死了', '短评打分': 3}
{'短评内容': '位置还可以', '短评打分': 5}
{'短评内容': '位置还可以', '短评打分': 5}
{'短评内容': '价格实惠 环境不错 推荐', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '经常住的这家，价格实惠，环境也不错。希望越来越好。', '短评打分': 5}
{'短评内容': '经常住，方便，实惠。', '短评打分': 5}
{'短评内容': '来西安必需选的住所，很好，环境不错，价格实惠。', '短评打分': 5}
{'短评内容': '还可以吧，就是退房的时候还要查房，有点麻烦', '短评打分': 5}
{'短评内容': '很不错，经常去的一家，环境好，前台服务好。', '短评打分': 5}
{'短评内容': '很好，京东的就是方便快捷。经常订。', '短评打分': 5}
{'短评内容': '经常住这家，环境好，价格实惠。支持了', '短评打分': 5}
{'短评内容': '不错，房间大，实惠，希望越来越好，每次都住这家。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店地理位置优越，环境舒适！酒店外交通便利，周边可逛可吃，酒店服务设施均好！房间大小适宜，打扫干净整洁！', '短评打分': 5}
{'短评内容': '房间卫生不太好', '短评打分': 3}
{'短评内容': '酒店还行，就是地毯有点味道，没啥大问题，卫生什么的也不错，可惜是没有能吃饭挂房帐的地方，环境比较安静，适合出差住', '短评打分': 4}
{'短评内容': '挺好的，房间特别暖和', '短评打分': 5}
{'短评内容': '挺好，中央空调特别暖和', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店环境卫生，干净，服务态度好，个人觉得不错，已经连续入住了。', '短评打分': 5}
{'短评内容': '交通很方便，地理位置很好，房间很大很干净也很安静。', '短评打分': 3}
{'短评内容': '华辰酒店的房间比较大，光线好，交通方面，位于繁华的大差市十字，距离钟楼、东大街很近。不足的是卫生间淋浴喷头很旧，设施较旧。', '短评打分': 3}
{'短评内容': '环境还可以，交通方便，卫生也干净。性价比较高。', '短评打分': 3}
{'短评内容': '感觉还可以,房间蛮大,地理位置非常方便。就是淋浴的水小了点,比平时多花一倍的时间。对于这个价位来说可以了。', '短评打分': 3}
{'短评内容': '还行，房间面积大，一般，毕竟价位在哪儿呢', '短评打分': 5}
{'短评内容': '据朋友回到沈阳说 酒店位置临近西安中心 出门交通便利 服务与基本硬件条件不错', '短评打分': 5}
{'短评内容': '环境还行，整体还不错，离火车站又近，有一点就是不好，不能刷卡消费。', '短评打分': 5}
{'短评内容': '环境还行，服务态度好，就是房间有点味道。', '短评打分': 5}
{'短评内容': '不能刷卡,酒店设施陈旧,进门后一股发霉的味道,还有许多收费项目,没有早餐.\n房间比较宽敞,床还是舒服.', '短评打分': 1}
{'短评内容': '强烈建议不要居住！至少不要住8楼的普通标间。原因有：\n1. 房间、设施陈旧，感觉不干净\n2. 有骚扰电话\n3. 连网络都没有\n4. 床铺、枕头等不舒服，睡觉都觉得不舒适\n5. 还不支持刷卡（这什么酒店啊！！）\n住了一晚，果断换酒店！', '短评打分': 1}
{'短评内容': '条件还不错', '短评打分': 3}
{'短评内容': '交通便利,但怕蚊虫叮咬的朋友可要当心,酒店里蚊虫是很厉害的.', '短评打分': 5}
{'短评内容': '不错,干净舒适，地理环境比较方便，房间比较大。', '短评打分': 5}
{'短评内容': '性价比比较高，不算贵，电梯有些老态龙钟。', '短评打分': 5}
{'短评内容': '该酒店卫生状况较差，房间里有异味，且服务不够好，酒店商品部的消费还得单算，既不能计入房间消费，也不给提供发票。', '短评打分': 1}
{'短评内容': '国庆节可能人多，性价比不划算，地理位置好，在城里游览比较方便。', '短评打分': 5}
{'短评内容': '房间设施齐全，服务很好，卫生条件不错，各方面感觉都不错', '短评打分': 5}
{'短评内容': '酒店硬件设施很过硬，房间装修的比较大方简约，卫生条件很好，没有卫生死角，住着很放心', '短评打分': 5}
{'短评内容': '性价比高，而且酒店位置好，在市中心，去哪都很方便，附近吃饭购物都没问题，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '酒店在大差市，出行很方便，酒店门口吃法，购物多很方便，住宿环境很好，性价比较高', '短评打分': 5}
{'短评内容': '前台服务很好，都是面带微笑的，卫生条件也不错，设施齐全，住着很舒适', '短评打分': 5}
{'短评内容': '酒店位置好，位于市中心繁华地带，出行很方便，房间一些基础的硬件设施很齐全，服务很好，前台服务员很周到热情，我们住着也很舒适', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，附近购物吃饭都很方便，酒店的服务员还是蛮热情的，随叫随到，性价比很高', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员随叫随到，需要什么。她们会很快给拿过来，房间硬件设施齐全，卫生条件很好，很干净，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店靠近市中心繁华地带，附近有公交车站，距离钟楼五六分钟车程就可以到，交通很方便，房间很大，床很宽，住着很舒服，里面硬件设施也很齐全，性价比还可以', '短评打分': 5}
{'短评内容': '房间里的床品很好，被子软软的，盖着很舒服，而且看起来很干净，设施齐全，地理位置好，出行还是挺方便的', '短评打分': 5}
