{'descr': '干净，方便真的不错。', 'star': 5}
{'descr': '有停车场，免费', 'star': 5}
{'descr': '房间不错，给好评', 'star': 5}
{'descr': '位置非常不错，酒店服务也很好，就是硬件有些落后了', 'star': 5}
{'descr': '酒店位置很好找环境也很不错就是房间无线不能用前台接待态度也不怎么样问无线为什么不能用时态度很不耐烦，就说就这样连不上说明我输错了，其他都很好.', 'star': 5}
{'descr': '总体来说还不错，就是早餐太差了，这么大的酒店没想到早餐太对付了希望改进。', 'star': 5}
{'descr': '真的挺好的，基本符合描述，物有所值吧。', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '房间冷，感觉一般', 'star': 4}
{'descr': '感觉有点冷，空调的声音太大了，热水需要等很久', 'star': 3}
{'descr': '如果淋雨水再热一点就好了，干完活 十点后 基本就不敢考虑奕丰了，洗澡忒冷了，岁数大的 直接冻感冒的节奏啊，', 'star': 4}
{'descr': '老住他们家，习惯了，也懒得折腾了，和去年差别很大吧，服务还是挺好的，不要太客气，没毛病，就是早餐有的 咳咳咳', 'star': 4}
{'descr': '没毛病，挺好的，一直住，鲅鱼圈忒冷了，吃饭都不想出屋啊，在这人生地不熟的地方，点个外卖吧，哎呦呵，之前的房间盖浇饭单子没有了', 'star': 5}
{'descr': '一直住这个，之前上个月暖气没开，冻死，现在好了，洗澡水温可以再高点。还有就是拖鞋，忒次。。。', 'star': 5}
{'descr': '房间设备很差', 'star': 3}
{'descr': '酒店，有点旧，屋里的霉味太重了，开了窗好点，前台态度一般。', 'star': 2}
{'descr': '很好很便宜，可惜不含早餐', 'star': 4}
{'descr': '地理位置好，毗邻世纪广场，比较方便！', 'star': 4}
{'descr': '交通便利，环境干净，服务到位', 'star': 3}
{'descr': '住起来挺好的，网络信号不算太好，其他的还行的', 'star': 3}
{'descr': '\r\n前台服务员态度不好', 'star': 3}
{'descr': '住的不错，酒店环境很好，去山海广场、月牙湾浴场都不远，早餐有待改进', 'star': 5}
{'descr': '酒店位置挺好的，环境也不错，去月亮湖、山海广场都很方便，后院还有很大的一个停车场。建议不要在夏季的周五周六来，价格上会有上浮哦！不过这正常啊，市场经济么！', 'star': 5}
{'descr': '以前在这家住过，环境、卫生都不错，离海边也不是特别远！', 'star': 5}
{'descr': '这次住的也不错，早餐一般哦！改进一下吧！', 'star': 5}
{'descr': '都挺不错的，但是如果你睡眠清的话，不要定挨马路那边，因为早上五点世纪广场就放音乐', 'star': 5}
{'descr': '这家酒店挺实惠，这个价钱也合理！就是客房小点 ', 'star': 5}
{'descr': '酒店的服务员态度非常好,热情,热心,耐心.住的非常舒适满意！', 'star': 3}
{'descr': '交通便利服务还可以，价格小贵了点！总体还行。', 'star': 5}
{'descr': '第二次入住\n还算不错。基本各项都还算满意\n。', 'star': 5}
{'descr': '请客户  住这里  各方面  还都说得过去', 'star': 5}
{'descr': '环境还行服务也行就是房间有点小', 'star': 3}
{'descr': '早餐简单了点。住的还可以。尤其前台的服务不错，我早晨5点多到的还很敬业的帮我办入住手续哦。。。', 'star': 5}
{'descr': '性价比还行。', 'star': 3}
{'descr': '这家酒店挺实惠，这个价钱也合理！就是客房小点', 'star': 3}
{'descr': '卫生条件和交通条件都不错，只是没有电吹风和墙上的插座没有电，因而不能实现上网哈！早餐还可以，性价比还是不错的哈', 'star': 5}
{'descr': '酒店设施不错，装修用料实在，内部设施令人满意，与图片完全一致，周边吃饭的地方也挺多的，总体来说住得比较舒服。', 'star': 5}
{'descr': '酒店比较干净,周围也算比较方便,早餐一般.  \n  \n  \n  ', 'star': 5}
{'descr': '安静,干净,清净', 'star': 3}
{'descr': '房间还可以。就是前台接待态度太差。就像我欠她钱一样。', 'star': 3}
{'descr': '位置不错，距离景点不远。房间很干净，早餐有待加强。', 'star': 5}
