{'短评内容': '设施………不想多说 第二次入住了', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这酒店就一假货', '短评打分': 2}
{'短评内容': '这价位已经不错了', '短评打分': 4}
{'短评内容': '由于家人坐的飞机取消。原定四间房最后用了两间。但是和图片差太多。墙纸全起皮了。蟑螂挺多。反正怎么说呢，活该自己图便宜。不过周围很方便，下楼就是农贸市场和吃饭的地方，饭菜都不贵。', '短评打分': 4}
{'短评内容': '卫生差。', '短评打分': 1}
{'短评内容': '房间真的差，卫生间还不如公共卫生间干净。烧水的壶还是个坏的。他的优点，除了离机场近，开车10分钟，酒店送另行收费，我想不到别的了。', '短评打分': 2}
{'短评内容': '问路一问三不知。离机场也远。 不是很满意', '短评打分': 3}
{'短评内容': '周围环境吃喝玩乐应有尽有', '短评打分': 3}
{'短评内容': '非常干净，服务也很好，值得再来', '短评打分': 5}
{'短评内容': '地方不太好找，附近只有便利店，基本没有吃饭的地方，有一个冷饮店晚上才开门，人还挺多的，一进宾馆的门，里面都是放着电动车，大厅卫生有待提高。还好去房间有电梯，省了不少力气，房间挺大的，对于宾馆来说，房间还是可以的，正好住的时候星期五，还看了【爸爸去哪儿】', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '还不错，性价比不错，近机场', '短评打分': 3}
{'短评内容': '很脏，床头的木板发臭，发黄，发莓的，卫生太差了，其他也不好，反正就是很差', '短评打分': 1}
{'短评内容': '打车到机场需要20元，但是师傅嫌近找我要了30元，地方很宽敞，不过还是有一些潮湿的味道，可以理解，因为本人零点以后到的酒店，所以觉得不应该按实际价格收取。', '短评打分': 4}
{'短评内容': '他没有说什么，我也没问。', '短评打分': 4}
{'短评内容': '离机场距离还好，服务一般吧', '短评打分': 4}
{'短评内容': '位置比较偏，不好找。在白云机场无车接送。虽然宾馆有预约的士，坐车时候才发现就那么2两的士而已。一波走了等下一波，哎，问服务台小姐就一句话:已经预约 稍等。服务太差。宾馆所处位置不行，比较偏。房间倒是宽敞，唯一的优点、', '短评打分': 3}
