{'短评内容': '房间卫生很干净。如果房间稍微大点就舒服了。虽然靠近马路，很安静！', '短评打分': 5}
{'短评内容': '不是第一次来，但这次是我最满意的一次，前台小姐姐鲁李很棒 满足了我对房间的所有要求，房间很大很干净，还有水果赠送。满分好评', '短评打分': 5}
{'短评内容': '早餐比以前差多了', '短评打分': 3}
{'短评内容': '早餐很丰富 有我爱吃的海鲜 餐厅服务员也很热情 看我带孩子不方便 会主动帮我看小孩 每天都有牛奶 水果送 很棒哦！', '短评打分': 5}
{'短评内容': '本次入住体验愉快，酒店娱乐和餐饮很多，略显嘈杂。', '短评打分': 5}
{'短评内容': '服务好。 设施设备好  位置好。前台成玉服务好。 非常棒', '短评打分': 5}
{'短评内容': '干净，豪华，免费升级为小套房，真是给力，早餐丰富，口味不错。推荐大家入住！', '短评打分': 5}
{'短评内容': '住过几回，感觉还可以，所以朋友过来，我推荐住这里', '短评打分': 3}
{'短评内容': '京东的价格确实低！用券很划算', '短评打分': 5}
{'短评内容': '商务出行，性价比还行！出行方便！', '短评打分': 4}
{'短评内容': 'jdjjjjjsjsjshxb,nndkkxn,,,nckmccj#kxdnxxdzjzxcmzkdskckdk-kcc', '短评打分': 4}
{'短评内容': '服务很到位', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 1}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '绝对超值，出差首选', '短评打分': 5}
{'短评内容': '房间很大干净，很适合出差', '短评打分': 4}
{'短评内容': '地理房间挺大的，好像最近才换了地毯，还有一点味道，早餐不是很丰盛，品种多一点就更好了，最近来宁波一直住这个酒店。', '短评打分': 5}
{'短评内容': '还可以的还可以的还可以的还可以的还可以的还可以的', '短评打分': 4}
{'短评内容': '还可以的还可以的还可以的还可以的还可以的还可以的', '短评打分': 4}
{'短评内容': '周一特价房 性价比很高 交通方便 停车也有保安悉心照顾帮忙 住的很好 可惜没有时间品尝早餐', '短评打分': 5}
{'短评内容': '酒店附近吃的很多，靠近会展中心。房间很大，就是灯光比较暗。卫生还可以。', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
