{'短评内容': '非常好，非常快，非常让人感到满意', '短评打分': 5}
{'短评内容': '房间挺干净，就是酒店不跟着导航不好找，周围黑漆漆的，如家和莫泰168合并一家，只有一楼有两个接待的，其他空空如也', '短评打分': 5}
{'短评内容': '网络不是很好希望改进', '短评打分': 3}
{'短评内容': '环境一般，隔音效果不好！环境一般，隔音效果不好！环境一般，隔音效果不好！环境一般，隔音效果不好！环境一般，隔音效果不好！', '短评打分': 4}
{'短评内容': '这个价格 ，这个环境真的很值，旁边300米就有很大的超市，买东西都方便', '短评打分': 5}
{'短评内容': '价格合适，服务，卫生一般', '短评打分': 3}
{'短评内容': '非常不错，房间整洁干净，前台服务到位', '短评打分': 5}
{'短评内容': '出差到川沙都住这里，生活机能方便。', '短评打分': 4}
{'短评内容': '出差到川沙都住这里，生活机能方便。', '短评打分': 4}
{'短评内容': '出差到川沙都住这里，生活机能方便。', '短评打分': 4}
{'短评内容': '出差到川沙都住这里，生活机能方便。', '短评打分': 4}
{'短评内容': '以后再也不住如家了，环境不好不说，给我的房间太吵，是因为在京东订的吗，跟锦江之星没法比，一个天一个地', '短评打分': 1}
