{'短评内容': '花洒漏水压力不足，基本上没空调，早上太阳一晒根本不用睡了', '短评打分': 4}
{'短评内容': '待解决的小问题：没一次性拖鞋；有两个插座没电；卫生间的气味说明没装地漏。早餐环境及质量不好(只有馒头稀饭及1个煮鸡蛋可以放心吃, 菜呢，没看相)。', '短评打分': 3}
{'短评内容': '酒店位置好，从机场出来直接上机场大巴就可以在酒店门口停靠，实在太方便了！周边商店，超市自己饭店也多，下次再来一定还选择这里。', '短评打分': 5}
{'短评内容': '新装修，环境不错，交通便利，餐饮方便，出差经常住', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '乌市比较经济实惠的选择，就在碾子沟站边上，附近有红山农产品市场，适合伪驴友临时落脚。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '3年前住过，觉得不错。这次再住感觉仍然不错。我喜欢，以后来还想住这。唯一遗憾的是酒店外不见明显的标识，经仔细辨认，询问路人才确认没认错。', '短评打分': 5}
{'短评内容': '床小了点!毛巾有些旧!', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '万馨园宾馆价格有点高，卫生差，设施陈旧。', '短评打分': 3}
{'短评内容': '总体来说还是不错的，房间很大，视野很好。整体干净，卫生间稍有显旧，不过也好。自助早餐时间有两个小时很好。值得再次入住。', '短评打分': 3}
{'短评内容': '房间倒是比较大，但设施太陈旧，整体感觉不够卫生。', '短评打分': 1}
{'短评内容': '房间倒是挺大的，就是有点老旧，看上去感觉脏脏的。', '短评打分': 3}
{'短评内容': '宾馆的环境还是挺不错的，服务态度一般。结账的时候，我离开房间时，房间的东西都好好的，等到了一楼结账，查房的说我消费了一盒方便面，我说没有，他们就让我上楼看，上楼到房间一看，方便面居然真的变成了一个方便面盒子，我对总台说我没有吃方便面，他们就不理我也不给我办结帐，找到经理才同意给我办结帐。提醒入住的人，结账的时候最好等他们查完房再走！', '短评打分': 5}
{'短评内容': '挺不错，房间挺大挺舒适，基本设施都有。', '短评打分': 5}
{'短评内容': '酒店设计的挺古香古色的，看着很新很干净，设施挺齐全，感觉挺不错。', '短评打分': 5}
{'短评内容': '红木的家具，烤瓷的茶具，看着挺显档次，设施也不错，服务也不错，住的很满意。', '短评打分': 5}
{'短评内容': '第二次入住，主要是觉得性价比较高。酒店交通比较方便，门口就有到火车站和机场的公交车。房间环境和卫生都还可以，不过这次发现设施需要维护一下，洗手间台盆水龙头和淋浴龙头都漏水，浪费呀。有的房间有机麻，呵呵，适合大家来放松一下。最后仍要推荐他们的早餐，粥、面、奶、豆浆都有，还有搭配的小菜，吃得很舒服。', '短评打分': 5}
{'短评内容': '酒店挺中式化的，家具都是复古形式，房间干净卫生，住的蛮舒适的。', '短评打分': 3}
{'短评内容': '很一般，不是很满意   卫生不好，温度也不够高\n', '短评打分': 1}
{'短评内容': '整体感觉可以,尤其是早餐环境,干净清爽.如果细节再注意一下就更好了.对要求不高的人推荐入住.', '短评打分': 3}
{'短评内容': '房间装修的挺好，设施挺齐全，家具都是红木的，有点古香古色的，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店看起来还比较新，房间挺大的，设施挺齐全挺新，住起来挺舒适。', '短评打分': 5}
{'短评内容': '酒店设计的有点复古形式，卫生和服务都很好，设施也挺齐全，总体感觉挺不错。', '短评打分': 5}
