{'短评内容': '很不错的酒店，设备设施齐全，早餐也不错。下次会继续入住。', '短评打分': 5}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '商务出差，发现很多问题。房间整体灯光很是昏暗，洗手间的镜子不够亮，早上化妆都看不清。床稍微有点硬。洗手间的门不够紧闭，洗澡水会喷很多到外面来。厕所的纸巾不够。还有就是可以提供单独的牙膏，不要浪费套装资源。优点就是大堂装修不错', '短评打分': 4}
{'短评内容': '貌似凤凰楼还行@凤翔楼很是简陋亚', '短评打分': 3}
{'短评内容': '酒店停车场大，大堂漂亮，房间干净整齐！前台服务态度好，想去湄洲岛不知道怎么走，前台服务员很耐心讲解。体验到酒店的热情。很愉快的体验！！！', '短评打分': 5}
{'短评内容': '凤达酒店服务态度好', '短评打分': 5}
{'短评内容': '房间设施还是有些陈旧，但对于整体包括位置价格就不算什么了', '短评打分': 5}
{'短评内容': '挺好的不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还可以啊，设备不错。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的  环境也挺好', '短评打分': 5}
{'短评内容': '蛮舒服的，房间很大，卫生也做的很好，床有点点硬，但对腰背好，睡得很香', '短评打分': 5}
{'短评内容': '刚好', '短评打分': 5}
{'短评内容': '非常不错的选择！', '短评打分': 4}
{'短评内容': '非常好！不错！', '短评打分': 4}
{'短评内容': '据客人反馈早餐单调了点。', '短评打分': 4}
{'短评内容': '酒店设备比较新，早餐很好，停车方便', '短评打分': 5}
{'短评内容': '很实惠，比较推荐，价格便宜看起来档次也蛮高', '短评打分': 5}
{'短评内容': '还不错，木地板，性价比很不错', '短评打分': 5}
{'短评内容': '还可以吧，对得起这个价位吧，！', '短评打分': 4}
{'短评内容': '首先 床太硬了 而且被子那么薄 现在是冬天不是夏天 再者 房间插头也太少了吧 台灯当摆设是吗 水壶旁边没插头 台灯旁边没插头 也没有浴袍 床随便动一下声音都很大 感觉跟要塌了似的 地理位置也不好 这个价格真不值', '短评打分': 2}
{'短评内容': '楼下大厅应该是新装修的，感觉还挺好。其他真差。前台的服务员像我欠她钱一样，房间的床头柜看了就恶心。', '短评打分': 2}
{'短评内容': '忘了用优惠劵了，收了198，优点：房间很大，里面的感觉也不错 还送免费的两瓶水 带早餐。缺点：卫生间地上太脏了，洗澡房的防滑都黑了，酒店地点有点偏，早餐里面有沙子', '短评打分': 5}
{'短评内容': '差，网上订的价格低十块，结果服务比平常差好多。', '短评打分': 1}
{'短评内容': '一般般，房间很大……………………………………', '短评打分': 1}
{'短评内容': '酒店环境很好，服务也很好，满意100分。', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也很好，满意100分。莆田的城市规划和建设真的很好...比我们这个房价两仨万的城市好多了，这绝对可以体现出莆田城市领导者们的智慧。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '不错！下次还会来！价格贵了点！', '短评打分': 3}
