{'短评内容': '在仙女山顶，环境优美，空气清新', '短评打分': 5}
{'短评内容': '住的六号楼，门口可以停车，入住第二天早上9点，楼上就开始装修，敲敲打打无法忍受。这是在住酒店吗？房间与过道不隔音，走路说话都可以听见。6号楼里面设施设备很好，新翻修了的，可能因为室内设计木头选材较多，气味还是蛮大的。早餐也算丰盛，但工作人员说话语气实在是叫人难以接受。', '短评打分': 4}
{'短评内容': '真心不错！预定的舒适房，由于淡季，升级为山景房。孩子说下次还来。', '短评打分': 5}
{'短评内容': '早餐很丰富', '短评打分': 5}
{'短评内容': '房间给升级成园景了 特别棒！酒店风格古朴，设备齐全，阳台能望到外面的草原、马、羊。早餐特棒，吃的小面味道够劲儿。希望下次还来！', '短评打分': 5}
{'短评内容': '没定成功', '短评打分': 5}
{'短评内容': '没定成功', '短评打分': 5}
{'短评内容': '还不错的，挺好', '短评打分': 5}
{'短评内容': '环境幽雅，挺好的！', '短评打分': 5}
{'短评内容': '环境服务好', '短评打分': 5}
{'短评内容': '酒店环境很好，特别是1号楼和5号楼，外面就是草地，房间也很大，适合几家人带小朋友一起出去，小朋友玩的空间大', '短评打分': 5}
{'短评内容': '非常给力的酒店。。到的很晚蛮冷的天气。。房间内干净。。配套设施很好。。卫浴都是顶级品牌。。棒棒哒。。还有地暖。。很贴心！！这个价位这个房间很值！！唯一不足的是没有mini吧和保险柜。。。', '短评打分': 5}
{'短评内容': '房间非常好，景色非常美，软件是达到五星标准，但服务相当差，由于我们入住前几天山上下过大雪，我们入住的时候雪还未融化，大堂前台就给了我们一张房卡，我们办完入住就去景点玩了，晚上回房间的时候奇冷无比，因为地暖是需要时间升温，所以我们去餐厅吃饭的时候反应了房间冷的情况并建议知道客人入住是否可以提前打开地暖，当时的应该是大堂经理对我们提出的建议表示接受并当场通知工作人员把我们两间房间加各加一张房卡让地暖一', '短评打分': 4}
{'短评内容': '超美的环境 堪比瑞士 酒店设备一流 值得再去', '短评打分': 5}
{'短评内容': '酒店占地很大，环境很好，动物都散养，山顶如仙境般，酒店内部设计有特色，舒适和环境没的说。餐饮有特色，特别是烤羊。就在牧场边上，环境一流！！', '短评打分': 5}
{'短评内容': '酒店占地很大，环境很好，动物都散养，山顶如仙境般，酒店内部设计有特色，舒适和环境没的说。餐饮有特色，特别是烤羊。就在牧场边上，环境一流！！', '短评打分': 5}
{'短评内容': '安静，性价比高，办理入住时大堂经理推荐加150元换豪华房，果断答应，酒店早餐可以，下次过去玩的首选。', '短评打分': 5}
{'短评内容': '第一晚住6号樓，裝修老舊，房間只有一台暖風機，沒有中央空調，超冷。第二晚加錢住1號樓，有地暖，有露台，很舒服，裝修豪華，不過離餐廳有點遠。奉勸各位如果能力許可，冬天一定要住1號樓。', '短评打分': 4}
{'短评内容': '酒店在大面积装修，感觉混乱。早餐地点离住的地方稍远。景观房能远观大草原，但说实话，要走过去还很远，而且进大草原是要坐小火车进去的，虽然可以抄小路进去，但是觉得没必要。', '短评打分': 1}
{'短评内容': '是奔着酒店四星级别和所处位置去的，位置不错，在仙女山中，如果想节约上下山时间，住在这里不错，但是我们去恰逢酒店升级装修，办理住店手续都是临时的一个办公桌，感觉有些不好，酒店的确陈旧了，预订时没有被告知这一情况，但早餐虽然比起成都的四星酒店差很多，但还算好。', '短评打分': 5}
{'短评内容': '酒店的设施一般,但比起别的酒店,她旁边的草坪不错,很大', '短评打分': 5}
{'短评内容': '酒店价格偏高,性价比不高,空调效果也不好.', '短评打分': 1}
{'短评内容': '非常好，服务好，房间干净，价格公道，风景怡人。', '短评打分': 5}
{'短评内容': '华邦酒店很不错。', '短评打分': 3}
{'短评内容': '比想像中好，服务也很不错。餐厅价格很合适。', '短评打分': 5}
{'短评内容': '这个价格完全不值，三星还勉强，四星差远了', '短评打分': 1}
{'短评内容': '房间陈旧，且离大堂较远，露天淋雨。', '短评打分': 3}
{'短评内容': '很高兴向这家酒点走来，但给人太失望了：我是10月2日入住的830元的景观房，可以讲这种房间的设施远远达不到4星标准。最多2星半，再给我机会要我付300元都不会来。房间是830元，连沙发都没，卫生间更是简单，跟经济型酒店一样的设施。车要停在主楼门口，我们住在3号楼，开车也要3分钟呀。其二从仙女镇开车上来需要走12公里到门口，再进来走9公里。到了门口要买门票每人50元（这是非常不合理的霸王条款），无论', '短评打分': 1}
{'短评内容': '酒店在景区里面，周围的环境很不错，草原很美。不过酒店的设施有些陈旧。', '短评打分': 5}
{'短评内容': '在山上这样的酒店已经不错了，房间比较陈旧，墙面上有水迹、开裂、外观较不美观。但是，保安停车管理员素质较高，比较敬业。满意。', '短评打分': 5}
{'短评内容': '第一次入住，房间内部设施显得较旧，怎么看都没有四星的标准，但酒店外面环境还可以', '短评打分': 1}
{'短评内容': '酒店内部装修一般，但外围环境一流，内有石林，背靠大草原，占地面积大，位于山顶最高处，天然大氧吧，且服务态度很好。下次再来，还住这里。', '短评打分': 3}
{'短评内容': '山上空气很好，房间太差，最多二星标准', '短评打分': 3}
{'短评内容': '酒店的环境非常好，很幽静，距离大草场也很近，步行更快，但是酒店房间有点潮，晚餐不怎么样 ', '短评打分': 5}
{'短评内容': '＋刚入住房间锁就是坏的，连服务员都开了好久才开开，房间也不隔音，对不住这个价格', '短评打分': 3}
{'短评内容': '设施很陈旧房间连空调热水都没有，服务态度也不是很好，酒店的位置倒还好，就是硬件特别差，性价比也不高。', '短评打分': 1}
{'短评内容': '＋服务态度好，酒店设备一般，毫华标间洗手间与卧室墙的地毯有大片水渍，空调不暖，冬天入室内太冷', '短评打分': 3}
{'短评内容': '酒店环境不错房间设施也很好还是比较舒适，位置也是挺好找，服务态度还行，', '短评打分': 5}
{'短评内容': '酒店还是一般酒店外面墙上下雨留的痕迹很脏房间设施也一般，位置也不是太好找，一栋楼都看不到服务员，价格还是偏贵了。', '短评打分': 3}
{'短评内容': '酒店背靠仙女山大草原，步行可到，非常方便；客房比较舒适，中央空调、热水保障；在餐厅用餐价格不贵，味道也还不错。外面的羊肉烧烤有点贵！', '短评打分': 5}
{'短评内容': '酒店达不到四星，房屋陈旧异味重，伙食差！', '短评打分': 5}
{'短评内容': '山上的酒店，设施算不错的。但墙纸返潮等等应该及时维修。\r\n通往酒店的路面破损，也有一定减分。', '短评打分': 5}
{'短评内容': '我觉得整体都还是很不错的，服务态度很满意，也很整洁干净。', '短评打分': 5}
{'短评内容': '位置优越，环境优美，服务质量高，值得推荐', '短评打分': 5}
