{'短评内容': '服务很好，在市中心，购物方便。但房间旧一些。', '短评打分': 3}
{'短评内容': '服务很好，但房间旧一些。', '短评打分': 3}
{'短评内容': '酒店交通便利，离我们办事的地方很近。\n酒店装修一般，服务还行。', '短评打分': 5}
{'短评内容': '交通便利，位置比较好，离我们办事的地点很近。\n酒店装修一般，服务还行。', '短评打分': 5}
{'短评内容': '大堂还行，只是房间有点旧了', '短评打分': 3}
{'短评内容': '我们住的三人间，设施和服务都不错！ 性价比很高！', '短评打分': 5}
{'短评内容': '卫生条件还不错，早餐比较简单。行政套房的床较小，地理位置优越。', '短评打分': 3}
{'短评内容': '饭店设备太老性价比服务一般只是位置还可以', '短评打分': 3}
{'短评内容': '硬件一般，服务一般，推荐的唯一理由是：距离南屏步行街较近。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心，很方便。下次还会来。', '短评打分': 5}
{'短评内容': '入住本酒店还可以，价格优惠点更好。吃住行挺方便，地理好，服务好，赞。', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '这家酒店性价比真的不错哦。可延时下午两点退房，二点之后六点前按小时收费。。', '短评打分': 3}
{'短评内容': '还不错的 就是设施老了点 周边购物很方便 我觉得大家可以考虑去住一住 性价比比较高 3人间还不错  对面就有屈臣氏 听好的', '短评打分': 5}
{'短评内容': '酒店的地段不错是在市中心的商业区，小吃和大排档也很多，慢摇把和交际吧，也比较多，前台服务较周到，推荐这家酒店', '短评打分': 5}
{'短评内容': '地理位置很好，就是酒店有点老旧啦，床躺起来不是特别舒服的，不过性价比还是不错的啦~~~~', '短评打分': 5}
{'短评内容': '地理位置好，方便逛街，房间设施较旧，要求不高者可选。', '短评打分': 5}
{'短评内容': '房间陈旧，床太小，设施老化。但地理位置不错，待重新装修后可考虑入住。', '短评打分': 1}
{'短评内容': '酒店感觉一般···属于比较老的三星···总体来说 昆明的酒店价格偏贵', '短评打分': 1}
{'短评内容': '酒店环境还可以，就是设施旧了点，位置很好，位于市中心，比较方便', '短评打分': 5}
{'短评内容': '很一般，双床，床太小。。。设施比较陈旧，没什么理由下次再来住', '短评打分': 1}
{'短评内容': '第一次入住酒店，昆明的朋友说选这家酒店有眼光，主要是说这家酒店的位置很好。到那里去都方便！', '短评打分': 5}
{'短评内容': '位置甚佳，步行很快可进入金碧坊商业区。酒店很像样，服务正规。略有不足的是，房间设施有些老，不过还算舒适。', '短评打分': 5}
{'短评内容': '不错，挺干净的，地段也可以~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不太好!', '短评打分': 3}
{'短评内容': '酒店环境还不错，服务还行，而且经济适合大众，', '短评打分': 5}
{'短评内容': '房间就是普通的酒店，中规中矩，但是服务，硬件各方面还不错，就是没有特色', '短评打分': 5}
{'短评内容': '非常满意的一次入住，周边小吃街林立，2楼的韩式桑拿非常舒服', '短评打分': 5}
{'短评内容': ' 满意，很好。', '短评打分': 3}
{'短评内容': '1417 房间电话打不通，我不知道只是这一间还是所有的房间都一样，响了两声之后就是忙音，一接就断。', '短评打分': 5}
{'短评内容': '设施陈旧，服务一般，有的前台小姐服务态度很是那么一般，性价比低！尤其是没有停车位，还得自己在宾馆旁边的停车场自己出钱停车！', '短评打分': 1}
{'短评内容': '   谢', '短评打分': 5}
{'短评内容': '酒店位置非常好，在市中心商业区。酒店太旧，床是塌陷的，隔音不好，性价比高了些。', '短评打分': 1}
{'短评内容': '員工服務好,位置近商業中心區,不錯. 但硬件有少許舊.總括是可以的.\r\n我入住了兩次.', '短评打分': 5}
{'短评内容': '总体来说不错，但是就是床位太小，不舒服', '短评打分': 5}
{'短评内容': '服务不错，但设施较为陈旧，尤其是大堂休息区的沙发真是应该换换了。', '短评打分': 3}
{'短评内容': '早餐品种少，甚至连个煎鸡蛋都没有。酒店物业在对门口的植物浇水时，全然不顾停放在酒店门前的车辆，直接将水溅到车上。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店的环境和设施方面都挺好的,服务也很热情,而且价格也不贵,就是房间的隔音效果不是很好.', '短评打分': 3}
{'短评内容': '总体还不错，就外部环境感觉有点杂。', '短评打分': 5}
{'短评内容': '位置 价格 服务都可以 就是价格偏高 还没有免费宽带 简直不可思议。。。', '短评打分': 1}
{'短评内容': '地理位置很好在市中心交通很方便,设施一般,卫生很好很干净,服务还可以,总体感觉还不错.', '短评打分': 5}
{'短评内容': '酒店的位置特别好，就在商业区里，逛街购物都特别方便，就是酒店本身还是有点老了，设施都比较旧了 ', '短评打分': 5}
{'短评内容': '地理位置好，周围有很多饭馆，离步行街很近，购物很方便。设施陈旧，价格稍贵，停车要收费。因为酒店除了住宿，其它的都对外承包了。', '短评打分': 5}
{'短评内容': '住这里主要就是离我办事的地放近，他这个位置算是在商圈了，而且他们的服务和环境还都不错，就是比较老了，所以东西感觉都有点旧。', '短评打分': 5}
{'短评内容': '酒店各方面都还可以,地理位置也不错,交通挺方便,价格也不贵,只是设施有些陈旧,还有就是有些房间是不能上网的', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，位置挺不错交通购物挺方便的，价格偏高些。', '短评打分': 5}
{'短评内容': '房间设施老化，楼层环境差，感觉很压抑，打分50分！', '短评打分': 3}
{'短评内容': '设备陈旧，环境太差，服务还可以！', '短评打分': 3}
{'短评内容': '有没有谁住过这家酒店哦，能不能提点建议？', '短评打分': 3}
