{'短评内容': '交通便利，性价比还行。', '短评打分': 4}
{'短评内容': '还行，价格适中，可惜早餐太贵', '短评打分': 5}
{'短评内容': '老酒店了，服务不错，房间也不错，停车方便，价格实惠', '短评打分': 5}
{'短评内容': '还行，住了3天', '短评打分': 4}
{'短评内容': '还行，不能加', '短评打分': 4}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '环境不错，值得推荐', '短评打分': 4}
{'短评内容': '酒店位置比较方便，内部装修有点老，去的时候，停车场车超多，不让进，据说有会议餐，让开车住宿的人非常不方便。', '短评打分': 5}
{'短评内容': '设施稍微老旧了一点，但是位置没得说，边上就是五岭广场，晚上散步很方便，还有个沃尔玛超市可以买水果零食什么的。去政府办事也方便。', '短评打分': 4}
{'短评内容': '酒店不错，室内干净整洁，早餐还可以，房间内洗澡冲淋水好温度事宜，但房屋内有潮味，', '短评打分': 4}
{'短评内容': '整体还过得去吧。', '短评打分': 4}
{'短评内容': '酒店还不错，交通便利', '短评打分': 4}
{'短评内容': '房间里面很卫生，但是酒店就有点老旧了，位置是不错的', '短评打分': 4}
{'短评内容': '酒店不错，每次来郴州都住这，只是现在携程返现越来越少了', '短评打分': 5}
{'短评内容': '非常不错，交通很方便。下次还住', '短评打分': 5}
{'短评内容': '三九八价格甘既酒店质数向郴州算可以接受了\r\n房间地毯有食物没吸走。值班经理电话中好恶。上房后就态度好好，可能之前觉得我系无理取闹吧。也好惊讶点解卫生没搞好，最后换左间低层房比我。', '短评打分': 4}
