{'短评内容': '地理位置不错，出行方便，经济实惠。但有些房间没有空调。', '短评打分': 5}
{'短评内容': '大环境小环境都很差劲。大门口在夜晚是一个露天的垃圾堆放点，白天虽然没有垃圾，但是那股恶臭让人难受，没出门厅就能远远闻着臭气。房间里能彻底感受一次火锅的味道，这是因为楼上是家火锅店，这两股味道参杂期间真是受不了。而且前台服务员水平很差，没礼貌，真不适合干服务这一行，真是给兰州丢脸，倒是可以回家装大爷比较好！！！！！下次倒找钱也不住了。', '短评打分': 1}
{'短评内容': '房间比较大，离火车站很近。隔音不太好。', '短评打分': 3}
{'短评内容': ' 床硬', '短评打分': 3}
{'短评内容': '酒店没有信誉，我预定后半夜到达酒店且已预付第一晚房费但不给留房间，原预定的空调大房间只给腾出一间小间，卫生还未打扫，房间隔音太差，影响休息。', '短评打分': 1}
{'短评内容': '不错，夏天住着凉爽舒适，床大很给力！性价比高！', '短评打分': 5}
{'短评内容': '经济酒店还可以啦,卫生说的过去，就是现在服务员少点', '短评打分': 5}
{'短评内容': '价格实惠，我们是很晚入住，第二天出发去坐火车，就为何近火车站。房间还可以，可能隔壁有兰州拉面，走廊一股拉面味道，哈哈哈。', '短评打分': 5}
{'短评内容': '唯一的优点是有宽带。别的都不怎么样。一个人还给我开双人间。什么态度呢这是', '短评打分': 1}
{'短评内容': '房间很多，卫生还不错，不过隔音很差，隔壁说话听得很清楚，而且标间没空调，灯光暗，一般吧，性价比不高', '短评打分': 3}
{'短评内容': '房间不错，无线宽带，很好', '短评打分': 3}
{'短评内容': '服务态度很好，房间也不错，很多房间的，地方很大，有宽带。', '短评打分': 5}
