{'短评内容': '房间里面，差的要命，房间小！', '短评打分': 2}
{'短评内容': '不错 老板很好 地理位置也不错', '短评打分': 5}
{'短评内容': '房间比较小 就一张床加一个门的长度 厕所非常非常小 可能就1平方的样子 上个厕所胖一点可能都蹲不下 洗脸弯腰屁股都会碰到墙 水是太阳能加热的 忽冷忽热 小孩都冷哭了 位置倒是比较好 马路对面下坡2分钟就到邛海边 老板人也很好', '短评打分': 5}
{'短评内容': '房间面积和网上描述的不一致，小多了', '短评打分': 3}
{'短评内容': '这个位置 吃饭 去海边 去爬山 都方便不过不知道是不是突然假期客流太多，老板来不急搞卫生，窗帘下面还有别的客人留下的围巾，并且晚上睡着各种痒 热水也不热，诶', '短评打分': 3}
{'短评内容': '十月三号入住，正逢大假，应该也就值平时60到80的房间，买到588，也是醉了！也就私人小旅馆一间，不过老板还算热情服务好。', '短评打分': 3}
{'短评内容': '房间很不错 这次去住 人很少 风景很好 老板人也好', '短评打分': 5}
{'短评内容': '设施不行，但位置是真好。尤其是阳台很好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格太贵！', '短评打分': 3}
{'短评内容': '因为是去泸沽湖的图中，所以在火把节期间订到这家店。虽说价格便宜，但卫生条件实在太差了。脏的一塌糊涂，厕所转身都挤，又臭又脏。脚踏垫又湿又黑。幸好自己带了床单，不然晚上都不敢睡觉了。', '短评打分': 1}
{'短评内容': '住过的最糟糕的酒店，环境极差。卫生条件极差，又臭又脏。千万不要被图片及所谓的好评给骗了。', '短评打分': 1}
{'短评内容': '位置不错，节日期间价格太高，房间小。', '短评打分': 4}
{'短评内容': '离邛海还是比较近的哈，环境不怎么样啊！', '短评打分': 4}
{'短评内容': '太窄小', '短评打分': 4}
