{'短评内容': '位置佳，干净卫生', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '价格适中干净整洁', '短评打分': 5}
{'短评内容': '大兴不错的一家酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，服务质量不错。不错，服务质量不错。', '短评打分': 4}
{'短评内容': '房间好干净，有自助餐，方便', '短评打分': 5}
{'短评内容': '早餐厅不好找', '短评打分': 4}
{'短评内容': '没有其他更好选择 讲究还行吧', '短评打分': 3}
{'短评内容': '可以一住 非常一般吧 还行', '短评打分': 3}
{'短评内容': '周边环境好，服务还有待提高，希望他们能做的更好，酒店设施不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '各方面满意', '短评打分': 5}
{'短评内容': '很好，推荐', '短评打分': 5}
{'短评内容': '每次去必住这里，很好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '位置不是很起眼，但到地铁4号线清源站还挺方便的，坐电动三轮车6-7块钱就到了。房间里没有浴缸，有提供比较好的洗护用品。', '短评打分': 5}
{'短评内容': '房间空间很大，设备还可以，值得推荐。美中不足的是房间灯光比较昏暗，另外没有设置电脑。', '短评打分': 5}
{'短评内容': '对酒店的环境和设施相当满意！下次还住这里', '短评打分': 3}
{'短评内容': '服务态度很好，环境干净整洁，价位稍高一点，总体来说还可以吧', '短评打分': 5}
{'短评内容': '酒店整体服务还可以，床上用品很干净，细节地方有待提高，酒店价格有些偏高，可能是缺少竞争吧！', '短评打分': 5}
{'短评内容': '酒店非常干净.很好.下次还会光临', '短评打分': 3}
{'短评内容': '酒店的早餐还不错，环境卫生以及服务还可以，但交通一般，很难达到出租车，只有黑车。', '短评打分': 5}
{'短评内容': '环境不错，服务也还不错', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '觉得门口的门童很好，还碰到桂林的老乡，态度很热情~表扬一下。房间 挺大的，装修也不错，就是地毯看起来有点掉价。拖鞋是我觉得最 值的地方，很舒服哦~', '短评打分': 5}
{'短评内容': '酒店基本条件相对北京大兴区来说还是很不错的，早餐很丰富。', '短评打分': 5}
{'短评内容': '服务还是不错的，比较热情。早餐最丰富，以后来大兴就住这里了。', '短评打分': 5}
{'短评内容': '环境可以，卫生条件不错，就是没有出租，只有黑车。', '短评打分': 5}
{'短评内容': '很不错的酒店，设施，服务都很好。就是我定的房间没有早餐，单独支付的哦。早餐倒是很丰盛，也不贵。下次还会来的。', '短评打分': 5}
{'短评内容': '挺干净的。位置离地铁挺近的.床挺大的。卫生间也挺干净的', '短评打分': 5}
{'短评内容': '  环境不错。服务也很好。就是楼道里装修材料味道有点大。考虑到是新建酒店也就释然了。房间里倒是没味。下次来北京大兴还住这。', '短评打分': 3}
{'短评内容': '酒店装修不错，很好。下次还会入住。不过早餐的地点不好，在地下室。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务员服务很好，就是价格稍高了，性价比一般。', '短评打分': 5}
{'短评内容': '原来就是一个洗浴中心的宾馆嘛，早餐很是丰富。', '短评打分': 5}
{'短评内容': '房间还蛮宽敞明亮的，设备也还不错，服务业还算可以。就是价格稍微偏高', '短评打分': 5}
{'短评内容': '卫生、设施以及服务都还不错，就是浴室门缝不严实，洗完澡水都跑到浴室外面地上了，会容易滑倒。', '短评打分': 5}
{'短评内容': '入住时已经是凌晨1点了,5点就离开,对酒店没有太多的感觉,不过房间住起来还是挺舒服的.', '短评打分': 5}
{'短评内容': '挺干净的.', '短评打分': 3}
{'短评内容': '凯悦是家新酒店，环境配置设施都非常不错，环境舒适价位合理。', '短评打分': 5}
{'短评内容': '配置设施比较新，环境硬件都比较好。', '短评打分': 5}
{'短评内容': '酒店是新开的,很卫生', '短评打分': 5}
{'短评内容': '隔音一般', '短评打分': 5}
{'短评内容': '房间宽敞舒适，彩光很好。新开业的酒店。', '短评打分': 5}
{'短评内容': '位置位于郊区大兴，去南城的话可以考虑这家店，那边很不错的星级酒店。', '短评打分': 5}
{'短评内容': '服务很好，员工热情专业，素质很好。', '短评打分': 5}
