{'短评内容': '环境不错，很安静', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '不错的，希望下次能够有机会再住长一点的时间，好好！', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '顾客户口本牛逼我们都不能订一下，', '短评打分': 4}
{'短评内容': '位置稍偏', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一如既往的好，赞！！！！！！！', '短评打分': 5}
{'短评内容': '酒店房间卫生较差，周边环境很乱，早餐很差，服务非常一般，不配五星。', '短评打分': 3}
{'短评内容': '酒店环境不错！多次入住！价格不错！', '短评打分': 5}
{'短评内容': '环境不错，多次入住了！价格不错！', '短评打分': 5}
{'短评内容': '国家领导人都住在这里，房间特别大，很通透，早上醒来阳光照在房间感觉特别好！早餐还行，不算丰盛，算是长治最好的酒店了', '短评打分': 5}
{'短评内容': '国家领导人都住在这里，房间特别大，很通透，早上醒来阳光照在房间感觉特别好！早餐还行，不算丰盛，算是长治最好的酒店了', '短评打分': 5}
{'短评内容': '位置太偏了哦 真的不好找 转来转去的 位置不大好', '短评打分': 1}
{'短评内容': '酒店环境、服务各项指标都不错~赞一个~！下次来了还要住的！', '短评打分': 5}
{'短评内容': '酒店应该是长治最好的了。出门打车不方便，感受不到服务。早餐一般。整体感觉一般，性价比不高。前台服务不错。', '短评打分': 5}
{'短评内容': '还不错，下次还应该会入住的！一定要继续加油哦!', '短评打分': 5}
