{'短评内容': '京东订酒店，一直很优惠，酒店硬件软件都还行', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '还不错 登高望远', '短评打分': 5}
{'短评内容': '早餐好，适合带家人和孩子，交通方便。', '短评打分': 5}
{'短评内容': '空调暖气太热了，温度调了没有用，只能关了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置好，房间大', '短评打分': 5}
{'短评内容': '酒店设施有点点老，别的都不错，免费升级了景观房，前台接待热情！满分吧！', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '不错已经住很多次了', '短评打分': 5}
{'短评内容': '不错已经住很多次了', '短评打分': 5}
{'短评内容': '一如既往地不错，下单到酒店确认也很快，棒棒哒', '短评打分': 5}
{'短评内容': '交通便利，可直达地铁站', '短评打分': 5}
{'短评内容': '点个赞，位置很好，闹中取静，交通不方便', '短评打分': 5}
{'短评内容': '酒店离南京站挺近，还赠了下午茶和券，买了一只酒店的，包装精美。', '短评打分': 5}
{'短评内容': '价格实惠，蛮好的，用的携程平台', '短评打分': 5}
{'短评内容': '好不错，预定什么的，蛮快的！', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '入住时比较晚 房间自动升级 小小惊喜', '短评打分': 5}
{'短评内容': '很好的酒店，服务很好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '非常满意，位置佳，离地铁口很近，出行非常方便，酒店干净整洁，淋浴出水很大，隔音效果不错，非常推荐，下回还会入住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错。交通有点堵。', '短评打分': 5}
{'短评内容': '总体还不错 洗澡水太冷了', '短评打分': 4}
{'短评内容': '酒店的大门不是很好找，虽然酒店就在珠江路金鹰，但是房间安排在朝北的方向，窗外望去景色差强人意，不过落地窗很大。卫生间里既有浴缸又有淋浴间，这个倒是给人感觉很好。还有，建议酒店在客人入住时直接给两张房卡，下楼买个东西不方便。', '短评打分': 5}
{'短评内容': '总的来说不错，卫生也可以，服务一般', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 4}
{'短评内容': '性价比挺好，早餐也还行。值得推荐', '短评打分': 5}
{'短评内容': '位置很好，地铁出来就是，服务人员态度都很好，很有礼貌，也会微笑。房间也蛮不错的，比较宽敞。下次会考虑继续入住。', '短评打分': 5}
{'短评内容': '中午到，前台比较忙！本来一年住五晚送果盘，现在突然说10盘！客人在意的不是水果是心意，其他服务还过的去吧！', '短评打分': 4}
{'短评内容': '地理优势明显 地理优势明显', '短评打分': 4}
{'短评内容': '正品行货  信任京东正品行货  信任京东', '短评打分': 5}
{'短评内容': '酒店挺好的，比老旧的鸿侨皇冠假日好！就是早餐品种再丰富些就更好了！', '短评打分': 5}
{'短评内容': '酒店大堂太小,而且配套设施不齐全,房间还不错,住着蛮舒适的,还可以吧', '短评打分': 5}
{'短评内容': '酒店位置比较好，服务也很周到，房间很大，枕头虽然高，但你可以要求更换，餐饮也不错，我的外国朋友说牛排做得很不错，他们通常都很挑剔，能得到这样的评价说明做得很好了，只是现在酒店里的一切都是崭新的，不知道以后能否保持，真希望能继续保持下去。', '短评打分': 5}
{'短评内容': '酒店的环境设施，服务都挺不错的，但是我当时住的价格和他们前台价格一样，而且好像有个酒店和他们名字一样。', '短评打分': 5}
{'短评内容': '酒店的环境设施都很好,位置交通出行也很方便.', '短评打分': 5}
{'短评内容': '春节期间入住，非常不错。设施和服务都很好，地段也不错。', '短评打分': 5}
{'短评内容': '春节期间入住，酒店很新，硬件设施、服务都不错，总体比较满意，举例：房间大、电视机37液晶、卫生间设备不错、房间隔音好等，另外7楼的游泳池也不错，从上午到晚上都有，特别要说一下的是早餐，品种很多，味道也不错。另外交通十分便利，楼下就是地铁站，到夫子庙、湖南路等都只要2元钱，十分方便。\r\n小的不足之处：房间里没有钟，看时间不方便；枕头两个都太高，建议一高一低；床太软，睡时间长容易疲劳；早餐厅稍小，人多', '短评打分': 5}
{'短评内容': '春节期间入住的，此酒店的硬、软件设施都很好，还是新开的，交通也很方便，服务也很到位。', '短评打分': 5}
{'短评内容': '酒店非常的不错，服务一流，透明式的餐厅特别温馨。是一家性价比不错的酒店', '短评打分': 5}
{'短评内容': '因为定玄武没定到，才定的这边。很意外的惊喜。\r\n1：虽然是10月才开的新酒店 但没有装修的味道。设备 环境 都无可挑剔 符合中档五星档次\r\n2：房间很大。超过很多同级别五星 这点很大气。卫生间面面俱到 虽然不奢华。但足够了\r\n3：早餐赠送。品种不多，但7楼的环境很好。尤其是餐厅服务小姐态度很好。印象深刻。\r\n4：楼层隔音效果一般。网速一般。\r\n5：前台服务效果很高。但态度一般\r\n6：床非常的舒适、', '短评打分': 5}
{'短评内容': '酒店设施很好，我住的豪华间面积有60平米，很宽敞，楼下不出酒店就是金鹰商场，地下是地铁站，出行很方便，来南京玩的朋友选这里没错！', '短评打分': 5}
{'短评内容': '比较新  装修不错   交通方便   住的挺舒服的\r\n不过ELONG的折扣不多   价格略贵', '短评打分': 5}
{'短评内容': '酒店的位置非常好位于珠江路交汇处 ,距离新街口很近.环境设施也很不错.就是价格能再优惠点就更好了.', '短评打分': 5}
{'短评内容': '11月中旬去南京旅游,查询发现这家比较新也交通方便,因此预订.不过可能太新了,出租车司机多不知道(3次),不过位置是比较好找的,就在十字路口,只不过楼下是商场,酒店大门在内街而已.楼下商场又有地铁口,很方便.酒店设施很新,很干净,已经没有装修味了.各方面还是很满意的,下次去还会选这家酒店.', '短评打分': 5}
{'短评内容': '希望能摆放一薄一厚两个枕头。。。\r\n不是每个人都喜欢厚枕头的', '短评打分': 5}
{'短评内容': '酒店是新开业的环境挺好的，设施也是新的，房间布置的也挺温馨的，价格也比较实惠。', '短评打分': 5}
{'短评内容': '整体对酒店的感觉都不错', '短评打分': 5}
{'短评内容': '非常好的酒店，大气、安静、舒适、精致，价钱要再便宜点就更好了，以后会去常住。', '短评打分': 5}
