{'短评内容': '洗澡的不行  被子不行  地毯湿的  ', '短评打分': 1}
{'短评内容': '很偏的酒店，还是挺便宜的。酒店的结构有点奇怪，房间不太精致。怎么说呢，还算是凑合吧，能够住。如果比较讲究的人可能不适合住。', '短评打分': 3}
{'短评内容': '不怎么样，太一般', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '这价格也就这种配置嘛！不差', '短评打分': 3}
{'短评内容': '与图片不符。房间挺大的，也挺干净，只是去的时候马桶抽水坏的，我们自己修的。', '短评打分': 4}
{'短评内容': '床很软  有点小   这价格挺好的', '短评打分': 5}
{'短评内容': '卫生纸没有。无线网用不了，最主要一晚上房子不知道怎么的，一晚都有声音！果断第二天一早退房换地方住！', '短评打分': 3}
{'短评内容': '不错，精致小巧，干净利落，这个价格不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以，就是周围房间打麻将太吵', '短评打分': 4}
{'短评内容': '可以还可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '我住的标间，没窗，开门就一股很大的味', '短评打分': 5}
{'短评内容': '空调不给力', '短评打分': 5}
