{'短评内容': '下次再来', '短评打分': 4}
{'短评内容': '老板热情，地理位置佳，周边出行方便', '短评打分': 5}
{'短评内容': '定了两个房间，自己住的房间挺好，另一个房间据说被子不是很干燥，忘记拍图了，但总体很满意，老板烧菜很好吃，下次还会再来！', '短评打分': 5}
{'短评内容': '位置很方便的，老板很热情，去码头用自行车给我们带过去了行李。房间很干净，很温馨，还可以在老板家里吃饭～', '短评打分': 5}
{'短评内容': '不错的民宿，床很大，出行方便！', '短评打分': 5}
{'短评内容': '很不错的一次出游住宿，店主很热情，房间也很干净整洁，出游住宿要求不高，也只要干净整洁洗漱方便，这三样都符合标准，洗漱也特别方便。下次还住这里。', '短评打分': 5}
{'短评内容': '老板不错，给调了带单独卫生间的房间，设施也不错，劳累了一天洗个热水澡真是很棒，感觉普陀山上的农家乐比其他地方的装修档次略高', '短评打分': 5}
{'短评内容': '全方位服务！好好好', '短评打分': 5}
{'短评内容': '忘记照相了，卫生条件，服务态度，歺饮各方面都不错，环境也不错', '短评打分': 5}
{'短评内容': '老板人很好，我们因为大风耽误了时间回程，和老板商量给我们延长了退房时间，服务态度一流的住的也窝心！周边餐馆，小卖部也比较多的，虽然沿途没有车辆接送就当锻炼身体吧！', '短评打分': 5}
{'短评内容': '房东人很好，而且房间也卫生整洁！价格也适中！不错的选择', '短评打分': 5}
{'短评内容': '三人间，这次最好的一个房间，因为可以有窗台晒衣服，这是比单人和双人优越的地方。', '短评打分': 4}
{'短评内容': '双人间，还可以，比单人好一些。', '短评打分': 4}
{'短评内容': '单人房，小小的设备齐全，还不错的，离饭馆很近，方便，但早晨会很吵。', '短评打分': 4}
{'短评内容': '整体还不错', '短评打分': 5}
