{'短评内容': '灯光很暗，老板是老年人？', '短评打分': 3}
{'短评内容': '地段很好，房子也很好，空调不太管用，屋子里很暗，灯坏了好久了，没人管，跟服务员反应，无动于衷！', '短评打分': 3}
{'短评内容': '是别墅，但感觉档次，装修，服务，卫生，配套设施远没有别墅级别，充其量就是个很普通的商务酒店，是适合那种旅行团住的，比较次，窗子上的蜘蛛网都接满了，十一价格涨得太夸张，530元，基本是平时的2倍多，无耻。先前住过的左右客，十一的价格虽然是510，但平时的价格也370左右，涨幅也没它的大。', '短评打分': 3}
{'短评内容': '这个价位个人认为是可以接受的。有点建议:纯净水是空的，橱柜里的被子凌乱，至于水我个人认为哪怕才50元一晚也应该有。', '短评打分': 5}
{'短评内容': '房间味道太大，上次客人驻的床单都没换', '短评打分': 1}
{'短评内容': '酒店交通很好。對面有大排檔吃方便。有2號公車門口。房間大。什麼都有。網絡不穩定。物有所值。介紹朋友來騰衝住這裡。', '短评打分': 5}
{'短评内容': '标准间空调，开了一个晚上，直接没反应，又小又差', '短评打分': 1}
{'短评内容': '我只能说呵呵，那么糟糕的酒店敢卖这个价格，狗屁的别墅', '短评打分': 2}
{'短评内容': '腾冲第一个商品别墅区，老板承包下来做的酒店。别墅区的酒店有七八家吧，每家都有很多栋。这家酒店，外观看着很吊，房间的硬件设置就，只能说对的上它的房价。入住还送果盘，有问题打前台，立马有人来解决。住了三天，就是第三天是叫了服务员才来打扫的卫生。整体来说不错，位置在市中心附近，性价比高。', '短评打分': 5}
{'短评内容': '腾冲第一个商品别墅区，老板承包下来做的酒店。别墅区的酒店有七八家吧，每家都有很多栋。这家酒店，外观看着很吊，房间的硬件设置就，只能说对的上它的房价。入住还送果盘，有问题打前台，立马有人来解决。住了三天，就是第三天是叫了服务员才来打扫的卫生。整体来说不错，位置在市中心附近，性价比高。', '短评打分': 5}
{'短评内容': '腾冲环境不错，酒店性价比高', '短评打分': 4}
{'短评内容': '住的楼层标间，设备旧空调漏水，后来居然摆工，最后再三要求才给换房', '短评打分': 3}
{'短评内容': '不好住不好住不好住不好住', '短评打分': 3}
{'短评内容': '老旧，下水道好堵，不好住', '短评打分': 3}
{'短评内容': '还可以帮忙升级了别墅标间，就是房间有点小', '短评打分': 3}
{'短评内容': '服务很好，在一个别墅区里，环境很不错。腾冲城不大，交通方便。', '短评打分': 5}
{'短评内容': '环境好，设施齐备，但是价格如果是平时的价格就好了。总之，不错\n', '短评打分': 5}
