{'短评内容': '性價比不好', '短评打分': 3}
{'短评内容': '不能加床，而且房间微小，不挑剔的人应该会觉得还行，就在街边，还算好找', '短评打分': 5}
{'短评内容': '一般，图方便', '短评打分': 3}
{'短评内容': '忘记第几次入住了，酒店一向很好，虽然空间有限，但是设备齐全，特别是洗澡的水压很强大，酒店没有早餐，不能加床', '短评打分': 5}
{'短评内容': '无早餐', '短评打分': 4}
{'短评内容': '帮老弟订的，他在那边出差，有点不太好找。。。房间好小。。。', '短评打分': 5}
{'短评内容': '酒店住着很舒服，安全，干净卫生，服务好！', '短评打分': 5}
{'短评内容': '酒店住着很舒服，安全，干净卫生，服务好！', '短评打分': 5}
{'短评内容': '性价比还不错的啊，两天不同价格', '短评打分': 4}
{'短评内容': '京东自营就是快，品质也有保障。很好很不错！', '短评打分': 5}
{'短评内容': '整体来说，酒店还行！虽然很小，但是我觉得这样挺温馨的！就是每次整理拿东西什么的，要把箱子打开来再合起来，因为没什么地方摊开来！这样整理的也挺好！最主要让我有点不喜欢的是房间里面有小强，吓死了！一个早上看到3个小强，还有一个在我的背包上，还好及时发现！幸好后面几天没有在看到了！其它的都能接受，那边地段也很好，出行方便！如果没有小强，我会觉得很不错！', '短评打分': 4}
{'短评内容': '被子有点污质，太累了，也懒得叫服务员更换了。希望酒店看到要注意下，美好形象尽毁。', '短评打分': 4}
{'短评内容': '房間很細！房間很細！房間很細！房間很細！房間很細！位置唔錯！位置唔錯！位置唔錯！位置唔錯！', '短评打分': 3}
{'短评内容': '这个价位在香港已经不错了，但是工作人员不是很热情。', '短评打分': 5}
{'短评内容': '千万不要住 是一间我第一次在HK住过不会考虑再住第二次的酒店 黑名单1.WiFi收钱 60hkd一天 抠门 大型酒店就会 但这个酒店居然也要2.问酒店拿多个枕头 居然说酒店没有多余的3.这酒店的地理位置 一般 不算特别方便 如果还要拖箱子的话就不要去了 走到地铁站很累看到有人点评说好、方便我才选择 真的太失望 4.房卡经常失灵 5.厕所马桶一直流水(怕吵人士谨慎)6.房间格局奇怪 三菱八角 不复合', '短评打分': 2}
{'短评内容': 'so soso soso soso soso soso soso soso soso soso soso so', '短评打分': 3}
{'短评内容': '距离时代广场很近，附近也有便利商店和小食店，超级方便', '短评打分': 5}
{'短评内容': '酒店真的超级赞，地理位置也非常棒，楼下菜市场，后身时代广场，崇光百货，希慎广场等等，酒店房间虽然小，但应有尽有，我觉得来香港是旅游来的不是住香港不走了，太大酒店没必要，够住方便就好！服务员服务态度也好，本来下午三点才check in 的，看我们一老一小又是行李又是推车的，让我们12点就进去了，好的没的说，对了，酒店没有WiFi，但不重要，网上30块钱的香港七天无限量上网已够用，总之就是好，下次会再', '短评打分': 5}
{'短评内容': 'Location is excellent, close to Times Square, Wanchai and Causeway Bay MTR. The room was tiny but very clean. A pleasant surprise was the loan of a mobile phone to make unlimited local calls on top of', '短评打分': 5}
{'短评内容': '地理位置好，就在时代广场后面，但房间非常窄，酒店服务很一般。', '短评打分': 3}
{'短评内容': '一個字～～爛～～低樓層～吵得要命～建議大家不要訂 一個字～～爛～～低樓層～吵得要命～建議大家不要訂 一個字～～爛～～低樓層～吵得要命～建議大家不要訂', '短评打分': 2}
{'短评内容': '因为天气开始冻，夜晚12点后无热水，非常冻.都无暖气，', '短评打分': 4}
{'短评内容': '怎么说呢，这个时候这个价格香港就那样吧！以前住过，只能说下了单不可退也！香港人的服务态度看着他们也不是打心眼里真诚的笑容，憋着…看评价下次肯定宁愿多100元住隔壁的南洋酒店了！', '短评打分': 3}
{'短评内容': '酒店房间不大，但设施还算齐全，对于香港酒店来说，性价比还可以了，比较舒适实惠，值得推荐', '短评打分': 5}
{'短评内容': '早餐个人感觉几好下，地理环境不错，住的大细同结茶馆差唔多，冲凉房细得可怜啊，没有遮阳的设备很早就被阳光影醒。', '短评打分': 3}
{'短评内容': '酒店的地段很好，离时代广场就5分钟，附近有个菜场，可以深入体验一下香港人的生活。房间确实很小，不过装修很新，空间利用也很合理。免费赠送的早餐也很精致，还借了一个手机和手机卡给客人，不过只能打香港本地电话。', '短评打分': 5}
{'短评内容': '这次入住比起之前几次入住差别好大，一次比一次差，需要改善的地方有：\n1）酒店前台人员礼貌方面需要改善（强调，香港是（礼貌）旅游之都，你们别搞坏啊。）\n2）酒店配备的用品要换（洗头水.沐浴露和牙膏用料比以前差多了。）\n3）酒店通风要维修（根本没抽风，房间有点别扭的气味，难闻。）\n4）沐浴间排水口要定期检查和维修（我去沐浴间洗澡时发现排水口排水速度超慢{塞}，要等水位低点后再洗身，超烦）\n我以后不会再', '短评打分': 1}
{'短评内容': '房间不错，就是地理位置有点偏，老板很热请', '短评打分': 5}
{'短评内容': '地理位置很好，离时代广场很近，地铁也近，房间小，床窄，不过香港都是这样的', '短评打分': 5}
{'短评内容': '这酒店我这次订挨了880港币,说真的,这个价格相对于这个酒店来说不是很值,又小,不过近逛购物的地方,送的早餐还可以,入住办理速度也够快,还送了个电话,在香港免费打,94隔音效果太差了.我一个人住的单间(我的客人安排在香港铜锣湾海景酒店那边)刚好隔壁是一对青年男女...晚上那做爱声音穿透力太强,害得我半夜出去看3D肉蒲团,无良啊!', '短评打分': 1}
{'短评内容': '朋友说，就是好小，挺干净的。也许是地段价格高吧，寸土寸金。', '短评打分': 5}
{'短评内容': ' 房子很小 但干净', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店干净，服务也好。就是比较不好找。', '短评打分': 3}
{'短评内容': '房間小的可憐,沐浴間再胖點就進不了..............!价錢又不平哦', '短评打分': 1}
{'短评内容': '地理位置很好，如果是逛街的話住這邊很方便!可是房間真的好小!!尤其是沖凉房!!轉身都沒辦法~~而且排水位不通!洗澡沒一會都浸到腳踝以上了~~跟前臺反應，都還沒說完她就說知道了~這個問題應該早就存在囖~嗯!還有送早餐蠻方便的~~另外房間的被子真的好暖和好舒服!!如果是逛街的話就蠻不錯~附近都有吃喝逛的地方~~跟家人來旅遊就不太推薦囖~~', '短评打分': 5}
{'短评内容': '地理位置非常优越，离时代广场、铜锣湾地铁站很近。规模不大，但是服务卫生做得还是很到位的。', '短评打分': 5}
{'短评内容': '太小了，两个人都转不过身，地理位置很方便', '短评打分': 3}
{'短评内容': '太小了!太小了!太小了!太小了!太小了!太小了', '短评打分': 1}
{'短评内容': '位置较好，服务也还行，就是房间有点小，低楼层也噪，性价比还过得去。', '短评打分': 5}
{'短评内容': '距离时代广场很近，地铁出口就在时代广场，逛街方便，交通方便，性价比高！', '短评打分': 5}
{'短评内容': '房间设计的挺现代化的，打扫的也很干净，位置很好，购物很方便。', '短评打分': 5}
{'短评内容': '酒店环境还行，卫生设施还行吧，房间还是小了一些因为也是靠近马路就是比较吵，服务也还不错，位置还是很明显的，价格也算适中。', '短评打分': 5}
{'短评内容': '酒店位置很好，购物很方便，交通也比较便利。', '短评打分': 5}
{'短评内容': '房间面积不大，但是很干净，设施摆放的挺整齐的。', '短评打分': 5}
{'短评内容': '酒店不大，但是服务很专业，可以跟五星级媲美。', '短评打分': 5}
{'短评内容': '位置便于购物，房间干净整洁。', '短评打分': 5}
