{'短评内容': '很好！！！！！', '短评打分': 5}
{'短评内容': '居然空调出的是冷风，醉了，果断退房换了一家', '短评打分': 4}
{'短评内容': '酒店暖空调好像有问题  一晚上都没热风 上午突然好了 莫名其妙的感觉', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '住的非常满意  环境,设施以及服务都很好，旁边走两步就是步行街，可以一路吃下去~', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次出差到郴州都住这里，各样都很好，衣食住行都非常方便，唯一不足就是酒店没有早餐，希望酒店能够考虑增加方便住客。', '短评打分': 4}
{'短评内容': '非常好，前台的小姑娘很热情，房间也不错，适合年轻人', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '198的床太小了', '短评打分': 5}
{'短评内容': '价格有些贵', '短评打分': 5}
{'短评内容': '价格贵了', '短评打分': 5}
{'短评内容': '隔应太差，睡床上居然听到隔壁放电视声音', '短评打分': 3}
{'短评内容': '空调效果太差', '短评打分': 4}
{'短评内容': '房间很干净，很漂亮，就是太小，床是1米2的，', '短评打分': 5}
{'短评内容': '商业区附近，交通吃饭都比较方便，再去郴州还可以考虑', '短评打分': 5}
{'短评内容': '服务热情，位置好，房间装修很漂亮，停车不是很方便。周围吃的地方也比较多', '短评打分': 5}
{'短评内容': '房间非常干净，卫生很好。床睡的很舒服，早上告知下水管坏了，修理非常及时。还送免费水果，非常好。不足：上网无桌子，在茶几上上网，腰很累。电视未对着床，躺在床上不能看电视，245元这家酒店又无早餐，价格偏贵。', '短评打分': 5}
{'短评内容': '挺不错的。下次去依然会去摩泰。。。。。。。。。', '短评打分': 5}
{'短评内容': '多次入住了，硬件和软件都不错。。。。。。', '短评打分': 5}
{'短评内容': '还不错，位置很好，出行逛街很方便，房间也还不错，但是毛巾很旧，价格偏高！', '短评打分': 5}
{'短评内容': '没有早餐，而且这个价格也比较贵，不知道贵在哪里，酒店灰常灰常的小。', '短评打分': 1}
{'短评内容': '在市区，虽外面看不怎么样，但真的非常干净，非常的舒服。很不错的酒店。', '短评打分': 5}
{'短评内容': '很干净 单人间性价比高 在市中心交通买东西也很方便 ', '短评打分': 5}
{'短评内容': '虽然地方比较小，但是非常温馨，干净，值得推荐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '价格偏高，但内部环境还可以，只是不提供一次性拖鞋，感觉不及卫生。水也不够热，现在室内温度有二十三度还过得去，如果冬天的话肯定冷S了。单间没有桌子放电脑，比较不方便。因为在马路边车多，晚上摆卖的小摊也多，有点小吵。总体来如果价格能下来点的话还是OK的。', '短评打分': 5}
{'短评内容': '不错，性价比可以，能接受，下次来依然第一选择!', '短评打分': 5}
{'短评内容': '只图方便而已，比较熟悉了，就没换别家了，还不错的', '短评打分': 5}
{'短评内容': '酒店好找，前台服务态度很好。我所入住的客户干净整洁，装修很新。美中不足是隔音差，隔壁房的开了整晚的电视，我这边听得很清楚。', '短评打分': 5}
{'短评内容': '不值这个价格，设置一般，前台服务也不够热情', '短评打分': 1}
{'短评内容': 'chongfudianping,haibucuo ', '短评打分': 5}
{'短评内容': '蛮好的酒店，时尚，很喜欢，下次还去，地理位置很好', '短评打分': 3}
{'短评内容': '感觉超值，地理位置不错，附近似乎是商业街，吃的地方很多。酒店整体干净体面，房间整洁舒适，不会吵。房间设施齐备。价格适中。', '短评打分': 5}
{'短评内容': '多次入住了，为券重复点评，不错的店家，方便。///////', '短评打分': 5}
{'短评内容': '房间不错.就是床不是很大', '短评打分': 3}
{'短评内容': '房间面积说是40平米，但是实际连20平米也不到，电视也就那么几个频道可选，无早餐。价格偏贵，其他还可以！', '短评打分': 5}
{'短评内容': 'Good hotel, high C/P ratio.', '短评打分': 5}
{'短评内容': '价格偏高了。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '习惯了住这里，为了券，还要重复点评！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '经常住，都忘记要换别家了。习惯了吧。。。。。。。。', '短评打分': 5}
{'短评内容': '因连续入住，前台告知可以办卡有优惠，不过优惠幅度并不大。所以啊，可以两种订房方式咯。', '短评打分': 3}
{'短评内容': '第一次住这里后，以后每次都是住这里的。还不错！！！！！！', '短评打分': 5}
{'短评内容': '已多次入住，还会住。!!!!!!!!!!!!!!!!', '短评打分': 5}
