{'短评内容': '房内没提供矿泉水', '短评打分': 5}
{'短评内容': '总体还是不错的吧', '短评打分': 4}
{'短评内容': '选择这里是觉得大学的宾馆安全，条件只能说一般吧，不要抱太高希望，设施有点陈旧了，位置还行，我们自驾去的', '短评打分': 3}
{'短评内容': '性价比非常高', '短评打分': 5}
{'短评内容': '靠近老街区，停车方便，客房条件很好，卫生很不错', '短评打分': 5}
{'短评内容': '位置好，环境不错', '短评打分': 5}
{'短评内容': '房间卫生不错，服务态度可以的', '短评打分': 4}
{'短评内容': '整一个招待所。唯一的好处是在古城里面还有个免费停车位。', '短评打分': 4}
{'短评内容': '环境不错，价格适中', '短评打分': 5}
{'短评内容': '性价比很高！值得推荐', '短评打分': 5}
{'短评内容': '在苏州大学旁边、环境很好、很安静、出行也算方便，在网师园边上，推荐', '短评打分': 4}
{'短评内容': '国庆节预定的，价格很实惠，出行也很方便，值得推荐', '短评打分': 5}
